Details,Predict Type of finding,Type of finding
อุปกรณ์นั่งร้านเป็นสนิม/ ชำรุด,,Unsafe Condition
ปิดล้อมผ้ากันไฟไม่ครอบคลุม เนื่องจากมีลูกไฟตกจาก Grating ซึ่งมีถุง Insulation อยู่ด้านล่าง,Unsafe Condition,Unsafe Condition
"ใช้งานหินเจียร 4"" โดยไม่มี Handle",Unsafe Action,Unsafe Action
ไม่สวมใส่ถุงมือในงานยก,,Unsafe Action
ถอดหมวก/ ไม่สวมใส่แว่นตา นักพักที่จุดทำงาน,Unsafe Action,Unsafe Action
วิธีการติดต่อสื่อสารระหว่า Hole Watch และผู้ปฏิบัติงานด้านใน CSE ไม่ Effective,Unsafe Action,Unsafe Action
ยืนทำงานบน Pipe (งาน Cold cut) เสี่ยงต่อการพลัดตก,Unsafe Action,Unsafe Action
สายไฟพาดเกี่ยวกับนั่งร้านโดยตรง,,Unsafe Condition
ทำงานงานถอดประกอบโดยไม่สวมใส่ถุงมือป้องกันการหนีบ กระแทก,Unsafe Action,Unsafe Action
Safety Latch รอกโซ่ที่นำมาใช้ในงานถอดประกอบมีสภาพชำรุด ,Unsafe Condition,Unsafe Condition
Steam Drum ไม่มีป้ายเตือนอันตรายในที่อับอากาศ,Unsafe Action,Unsafe Condition
น้ำขังบนหลังคาผ้าใบชั้น 6 เสี่ยงที่โครงสร้างนั่งร้านจะพังลงมา,Unsafe Condition,Unsafe Condition
ไม่มีถุงคลุมป้องกันสิ่งปนเปื้อนเข้าไปในท่อ,Unsafe Action,Unsafe Condition
หลังคาเตาไม่มี Handrail กันตก,Unsafe Action,Unsafe Condition
งานรื้อถอนนั่งร้านมีแสงสว่างในที่อับอากาศไม่เพียงพอ (OLE-Ccon-006),Unsafe Condition,Unsafe Condition
งานประกอบฝา Shadow Box ใช้ Hook Safety Harness เกาะ เพื่อยกุปกรณ์แทนการใช้รอก,Unsafe Action,Unsafe Action
มี Safety Lead ดูแลงานพร้อมกัน 3 จุด,Unsafe Action,Unsafe Action
Plate รองนั่งร้านไม่ได้ผูกมัดกันตก,Unsafe Action,Unsafe Condition
จำนวน Pipe ที่ใช้ต๋งอุปกรณ์รับน้ำหนักไม่เหมาะสมทำให้ Grating ยุบ,Unsafe Condition,Unsafe Condition
นั่งร้านกองไว้ไม่ได้จัดเก็บออกจากพื้นที่,,Unsafe Condition
นั่งร้านด้านหน้าทางเข้า Tank เป็น Tag แดง,Unsafe Action,Unsafe Condition
ปั๊มดูดของรถในงานกวาดตะกอนและขนย้าย Naptha รั่ว,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานทำงานถอดประกอบ ติดตั้งอุปกรณ์อยู่ในจุดเสี่ยงต่อการตก โดยคล้อง Safety Harness จุดที่ไม่มั่นคงแข็งแรง,Unsafe Action,Unsafe Condition
งานดึง/ ตัด Tube แสงสว่างไม่เพียงพอ,Unsafe Condition,Unsafe Condition
งานดึง/ ตัด Tube ช่องเปิดไม่มี Handrail กันตก,Unsafe Action,Unsafe Condition
งานดึง/ ตัด Tube ช่างทำจุดแขวนรอกเองโดยไม่ได้คำนวณน้ำหนัก,Unsafe Condition,Unsafe Condition
Lock U-bolt ชั้นเดียว งาน Re-tube TLE (lesson learned tube รูดระหว่างทำงาน),Unsafe Condition,Unsafe Condition
ปิดล้อมพื้นที่ไม่ครอบคลุม,,Unsafe Condition
ทีมงานติดตั้งนั่งร้านยืน/ เหยียบบน Pipe ของ plant,Unsafe Condition,Unsafe Condition
ทางขึ้น PIT-3060 ไม่มี Barricade และป้ายเตือนอันตราย,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานโหลดสารเคมีสวมใส่ชุดกันสารเคมีไม่เรียบร้อย,Unsafe Action,Unsafe Action
ทีมงานโหลดสารเคมีไม่นำ Face shield ขณะทำงาน,Unsafe Action,Unsafe Action
วางถังออกซิเจนที่หมดแล้วกับ spare ใกล้กัน (แนะนำให้ทำป้ายติดบอกสถานะให้ชัดเจน),Unsafe Condition,Unsafe Condition
งานติดตั้งนั่งร้าน ไม่มีถุงตาข่ายส่ง Clamp นั่งร้านและวางโดยไม่มี bracing เสี่ยงต่อการตก,Unsafe Condition,Unsafe Condition
จุดแขวนรอกไม่มีผ้ารองกันบาด,Unsafe Action,Unsafe Condition
วัสดุกีดขวางพื้นที่ปฏิบัติงาน,,Unsafe Condition
ตี Tube เพื่อถอด ทำให้ support tube ตัวอื่นเคลื่อนตัวอาจทำให้ tube หลุดจาก TLE ได้ (แนะนำให้ดึง Tube ตัวที่หลุดขึ้นไปก่อนและ lock ด้วย U-bolt  และให้ติดตั้งนั่งร้านรองด้านล่าง),Unsafe Action,Unsafe Condition
คล้องเกี่ยว Safety Harness กับอุปกรณ์ Plant,Unsafe Action,Unsafe Action
งานติดตั้งนั่งร้าน ไม่มีป้ายเตือน ระวังอุปกรณ์ควบคุมบริเวณจุดที่ทำงาน,Unsafe Action,Unsafe Condition
Lock U-bolt ชั้นเดียว งาน Re-tube TLE (lesson learned tube รูดระหว่างทำงาน),Unsafe Condition,Unsafe Condition
ปฏิบัติงานใกล้ช่องเปิด ไม่ได้สวมใส่ Safety Harness,Unsafe Action,Unsafe Action
ทำงานบนนั่งร้าน Tag แดง,Unsafe Action,Unsafe Condition
งาน Cut Y-piece Safety Lead ไม่อยู่ที่หน้างาน (สุเทพ) และลงชื่อใน PTW 2 จุด ทั้งชั้น 4 และชั้น 1,Unsafe Action,Unsafe Action
ใช้ผ้าใบมุงหลังคา Hot Box,Unsafe Action,Unsafe Condition
ใช้หินเจียรในด้านที่ไม่ถนัดและไม่ปลอดภัย,Unsafe Condition,Unsafe Action
ใช้ถุงพลาสติก/ กระสอบผูกเชือกขนย้ายอุปกรณ์ขึ้นที่สูง มีโอกาสขาด ตกลงมาได้ (lesson learned ของตกขณะสาวเชือกขึ้นที่สูง),Unsafe Condition,Unsafe Condition
Platform มีช่องเปิด,,Unsafe Condition
ถุง Insulation ไม่มี Sticker ระบุ,,Unsafe Condition
น็อตยึดบันไดลิงหาย ใช้ลวดมัดแทน,Unsafe Condition,Unsafe Condition
รังผึ้ง,,Unsafe Condition
ปิดล้อมผ้ากันไฟไม่มิดชิดงานประกอบเชื่อม Line PG,Unsafe Condition,Unsafe Condition
ใช้ Pipe นั่งร้านงอ ในการตั้งนั่งร้าน,Unsafe Action,Unsafe Condition
แผ่น plate รองนั่งร้านอยู่ปลายตีนเป็ด ทำให้น้ำหนักไม่ balance บน grating,Unsafe Condition,Unsafe Condition
คล้องสาย Argon ที่จุดเดียว ควรเพิ่มจุดคล้องเพื่อถ่ายเทน้ำหนัก,Unsafe Action,Unsafe Condition
Manifold ไม่มี Pressure gauge แสดง และแนะนำให้เพิ่มลวดสำหรับ lock ก็อกที่ไม่ใช้งาน,Unsafe Condition,Unsafe Condition
สาย LPG มีสภาพผุกร่อน แนะนำให้ตรวจสอบก่อนใช้งาน,Unsafe Condition,Unsafe Condition
ถุง Insulation ไม่มี Sticker ระบุ,,Unsafe Condition
น็อตที่ถอดมารอการติดตั้ง/ Clamp นั่งร้าน กองกระจัดกระจาย ไม่มีภาชนะใส่,Unsafe Condition,Unsafe Condition
หลอดไฟแสดงสถานะตู้ไฟ แสงอ่อน มองเห็นไม่ชัดเจน,Unsafe Condition,Unsafe Condition
สายไฟกีดขวางทางเข้า-ออก CSE,,Unsafe Condition
Fire watch ดูแลงาน HW ใน CSE ไม่มีชุด Tyvek,Unsafe Action,Unsafe Action
Fire watch ดูแลงาน HW ใน CSE นั่งหลับ,Unsafe Action,Unsafe Action
ช่างเชื่อมทำงานบนนั่งร้าน ไม่สวมใส่ Safety Harness,Unsafe Action,Unsafe Action
Safety Lead งาน CSE ไม่อยู่หน้างาน/ ไม่เข้าไปตรวจสอบงานด้านใน,Unsafe Action,Unsafe Action
ฝารางระบายน้ำเปิดทิ้งไว้ (ใช้กรวยกั้นชั่วคราว),Unsafe Condition,Unsafe Condition
"ผู้ปฏิบัติงานประกอบ เชื่อม อุปกรณ์ Line 14"" TLE ไม่สวมใส่ถุงมือ",Unsafe Action,Unsafe Action
สลิงผ้าใบที่ใช้ในงานยกมีสภาพเก่าใกล้ชำรุด,Unsafe Action,Unsafe Condition
ปลั๊กไฟและไฟส่องแสงสว่างยังไม่ได้ตรวจสภาพประจำเดือน,Unsafe Condition,Unsafe Condition
งานยกกาง boom มากกว่า 45 องศา,Unsafe Action,Unsafe Condition
ใช้เชือกฟางผูกมัดเครื่องมือ,Unsafe Action,Unsafe Condition
นำขวดน้ำที่ดื่มแล้วกลับไปแช่ในถังน้ำแข็งที่แช่ขวดใหม่,Unsafe Action,Unsafe Action
Rigger ใส่เสื้อสะท้อนแสงสีเขียว,Unsafe Action,Unsafe Action
นำอุปกรณ์ PPE ล้างทำความสะอาดที่ Eye washer,Unsafe Action,Unsafe Action
แขวนเสื้อทิ้งไว้ที่หน้างาน,,Unsafe Action
Blower ไม่ได้ inspect ประจำเดือน,Unsafe Action,Unsafe Condition
Pressure gauge ไม่ได้ inspect ประจำเดือน,Unsafe Condition,Unsafe Condition
Safety Latch รอกโซ่ที่นำมาใช้มีสภาพชำรุด ,Unsafe Condition,Unsafe Condition
ฝาตะแกรงและ Cap Line D-Coke หลุด,Unsafe Condition,Unsafe Condition
ใช้รอกดึงอุปกรณ์แทนกำมะลอ (ใช้อุปกรณ์ผิดประเภท),Unsafe Action,Unsafe Action
ประแจที่นำมาใช้งานไม่มีเชือกผูก,Unsafe Action,Unsafe Condition
ใช้หินเจียรปัดแต่งแนวเชื่อม โดยไม่ได้ปิดล้อมผ้ากันไฟ,Unsafe Condition,Unsafe Condition
ช่องเปิดบริเวณ TLE ไม่ได้ปิดกั้น,Unsafe Action,Unsafe Condition
แขวนอุปกรณ์ PPE ไว้กับอุปกรณ์ Plant,Unsafe Action,Unsafe Action
รอกและสลิงผ้าใบไม่ได้ตรวจสภาพประจำเดือนวางไว้ที่หน้างาน,Unsafe Condition,Unsafe Condition
ขนย้ายอุปกรณ์นั่งร้านด้วยรถเข็นธรรมดา,Unsafe Action,Unsafe Action
ใช้โซ่ขาวแดงปิดกั้นช่องเปิด,Unsafe Condition,Unsafe Condition
ทางขึ้นบ่อ PIT ไม่มี Handrail กันตก,Unsafe Condition,Unsafe Condition
ไม่มี Sticker แยกกลุ่มทำงานตามมาตรการ COVID-19,Unsafe Action,Unsafe Action
นั่งร้านเป็นสนิม,,Unsafe Condition
งานยกใช้รอกโซ่รับน้ำหนักอุปกรณ์โดยไม่มีสลิงรองรับ ป้องกันกรณีเกิดการรูด,Unsafe Condition,Unsafe Condition
Manbasket หุ้มผ้ารองกันจุดหนีบกระแทกไม่ครอบคลุม,Unsafe Condition,Unsafe Condition
จัดเก็บเศษพลาสติกและ 5ส. พื้นที่ไม่เรียบร้อย,Unsafe Action,Unsafe Condition
ผ้ากันไฟมีสภาพชำรุด,,Unsafe Condition
คล้อง Safety sling ไม่ปลอดภัย,,Unsafe Condition
กั้นธงขาว-แดงพันไว้กับนั่งร้านที่ทำงาน/ ไม่ครอบคลุม,Unsafe Action,Unsafe Condition
งาน Load chemical ผู้ให้สัญญาณใส่เสื้อสะท้อนแสงสีน้ำเงิน,Unsafe Action,Unsafe Action
งาน change lube oil ใช้ถุงมือผ้า (แจ้งว่าถุงมือไนโตรหมด),Unsafe Action,Unsafe Action
งานใช้เครนยกขนย้ายอุปกรณ์ ปิดล้อมพื้นที่ไม่ครอบคลุม อาจทำให้ผู้ไม่เกี่ยวข้องเข้าไปอยู่ใน Line of fire ได้,Unsafe Action,Unsafe Condition
งานรือนั่งร้าน ผู้ปฏิบัติงานไม่คล้องเกี่ยว Safety Harness,Unsafe Action,Unsafe Action
16:10-17:00 ค่า lightning เป็นสีแดง,Unsafe Condition,Unsafe Condition
โคมไฟไม่ได้ใช้งาน มีน้ำเข้า ,,Unsafe Condition
ตู้ไฟฟ้าไม่มี Checklist,,Unsafe Condition
ผู้ไม่เกี่ยวข้องเดินเหยียบ Air line ด้านหน้าปาก manhole,Unsafe Action,Unsafe Action
ทีมงานนั่งฝาท้ายรถเฮี้ยบ,,Unsafe Action
อุปกรณ์ช่วยยกไม่ได้เปลี่ยน sticker ตามเดือน,Unsafe Action,Unsafe Condition
ใช้ถุงมือผ้าในงาน Swing blind,Unsafe Action,Unsafe Action
ผูกธงขาวแดงกับอุปกรณ์ Plant (ก้าน Valve),Unsafe Condition,Unsafe Condition
นั่งบน Handrail มีโอกาสเสี่ยงตกลงบ่อ,Unsafe Action,Unsafe Action
ไม่จัดเก็บอุปกรณ์นั่งร้านที่เหลือจากการติดตั้ง,Unsafe Condition,Unsafe Condition
วาง Air hose กระจัดกระจาย (5 ส.),,Unsafe Condition
ใช้เชือกฟางผูกมัด Air line (บน Tank),Unsafe Action,Unsafe Condition
เครื่องมือไม่มีเชือกผูกมัดป้องกันการตก,Unsafe Action,Unsafe Condition
งานยกขนย้ายอุปกรณ์ด้วยรถเฮี้ยบ ไม่มีป้ายชี้บ่งอันตรายและใช้กรวยตั้งเป็น Barricade,Unsafe Action,Unsafe Condition
ไม่จัดเก็บนั่งร้านที่เหลือจากการติดตั้ง,,Unsafe Condition
ใส่เสื้อสะท้อนแสงไม่ตรงกับประเภทงาน (สีเขียว),Unsafe Action,Unsafe Action
Grating ชำรุด เนื่องจาก Clamp lock หลุด,Unsafe Action,Unsafe Condition
ไม่จัดเก็บนั่งร้านที่เหลือจากการติดตั้ง,,Unsafe Condition
ใช้ขวดน้ำดื่มใส่น้ำหล่อเย็น,Unsafe Action,Unsafe Action
ลืมสวมใส่แว่นตาก่อนเข้าพื้นที่,Unsafe Action,Unsafe Action
ไม่ลงชื่อ JSA Talk และไม่ได้ตรวจสอบมาตรการในเอกสาร,Unsafe Action,Unsafe Action
ลงชื่อตรวจสอบพื้นที่ก่อนเริ่มทำงานล่วงหน้า (ยังไม่ได้เริ่มทำงาน),Unsafe Action,Unsafe Action
ไม่ใส่ถุงมือผสมปูน/ ฉาบปูนใช้ถุงมือผิดประเภท,Unsafe Action,Unsafe Action
ป้ายเตือนผิดประเภทงาน,Unsafe Action,Unsafe Condition
ใช้ถุงมือผ้าในงาน Swing blind,Unsafe Action,Unsafe Action
รถ Hiab ไม่มีธงขาว-แดงปิดล้อมพื้นที่,Unsafe Condition,Unsafe Condition
คนให้สัญญาณใส่เสื้อสะท้อนแสงสีน้ำเงิน,Unsafe Action,Unsafe Action
Operation ไม่ได้ลงค่าตรวจวัด gas ก่อนเริ่มงาน (แต่มีการว.แจ้งให้เริ่มงานได้),Unsafe Action,Unsafe Action
วางน็อตไว้บนคาน Beam มีโอกาสร่วงหล่นได้,Unsafe Action,Unsafe Condition
ตั้งเต็นท์พักใกล้จุดที่มีการทำงานนที่สูง,Unsafe Action,Unsafe Condition
ผู้ปฏิบัติงานรื้อ Extension joint ในมุมคับแคบ มีโอกาสถูกหนีบ กระแทก ได้รับบาดเจ็บได้ (รื้อ insulation เพื่อให้ทำงานสะดวกมากขึ้น),Unsafe Condition,Unsafe Condition
นั่งร้านตั้งทิ้งไว้นานจนเกิดสนิม,Unsafe Condition,Unsafe Condition
Rigger งาน Load test overhead crane ไม่สวมใส่เสื้อสะท้อนแสง (แจ้งว่าไม่พอใช้),Unsafe Action,Unsafe Action
ทางขึ้น-ลงบันได Tank มีโอกาสหงายหลังตกลงมาได้ (แจ้งให้ติดตั้ง Hard Barricade),Unsafe Action,Unsafe Condition
ปิดล้อมพื้นที่โดยไม่มีป้ายเตือนอันตราย,Unsafe Action,Unsafe Condition
Rigger สวมเสื้อสะท้อนแสงสีเขียว (ไม่ตรงกับประเภทงานยก),Unsafe Action,Unsafe Action
Rigger ยืนควบคุมเชือกบนหลังรถเฮี้ยบ มีโอกาสตกลงมาได้,Unsafe Action,Unsafe Action
ติดตั้งสาย Ground ซ้อนกับ Ground อุปกรณ์ Plant,Unsafe Condition,Unsafe Condition
นำเครื่อง Hydraulic pump มาใช้งานโดยไม่ได้ประเมินความเสี่ยงใน JSA,Unsafe Action,Unsafe Action
งานโหลดน้ำเสียไม่สวมใส่หน้ากากและ Face shield ,Unsafe Action,Unsafe Action
ติดตั้งนั่งร้าน ไม่ปิดล้อมพื้นที่,,Unsafe Condition
ปั่นจักรยานมือเดียว และมืออีกข้างถือบันไดไปด้วย,Unsafe Action,Unsafe Action
มีการเติมอากาศขณะดูด Waste ทำให้เกิดกลิ่นถึง Main gate (จึงให้ยุดเติมและเพิ่มหัว spray น้ำหอม),Unsafe Condition,Unsafe Condition
ใช้ขวดน้ำดื่มใส่น้ำหล่อเย็น,Unsafe Action,Unsafe Action
ไม่มีป้าย/ สัญลักษณ์ชี้บ่งอันตราย,,Unsafe Condition
งาน Remove & Install PSV ไม่ได้ลงค่าวัด gas และไม่ได้ sign work เริ่มทำงานหลังจากหยุดงานมากกว่า 1 ชั่วโมง,Unsafe Action,Unsafe Action
ขนย้าย Clamp/ ข้อต่อนั่งร้านโดยไม่ได้ใช้ถุงตาข่ายป้องกันการตก,Unsafe Action,Unsafe Action
จัดเก็บอุปกรณ์นั่งร้านไม่เป็นระเบียบและไม่มีธงขาวแดง,Unsafe Condition,Unsafe Condition
จอดรถไม่ได้ปิดล้อมพื้นที่ (มีกรวยด้านหน้าอันเดียว),,Unsafe Condition
ยืนขนย้ายอุปกรณ์นั่งร้านอยู่บนจุดเสี่ยงต่อการตก (ยืนนอก Handrail บน Beam),Unsafe Action,Unsafe Action
ผูกเชือกธงขาว-แดงกับรถเข็นอุปกรณ์,Unsafe Action,Unsafe Condition
เวลา 16:15 น. งานสกัด Concrete ข้อต่อสายไฮดรอลิกของรถ Backhole แตก เนื่องจากชนกับขอบบ่อ ทำให้น้ำมัน hydraulic spill ออกมาประมาณ 20 ลิตร,HNM,HNM
ไม่จัดเก็บลวดเชื่อม Cover plate และฝุ่นจากงานเจียร,Unsafe Action,Unsafe Condition
เศษ Copper slag และน้ำขังอาจทำให้ลื่นได้,Unsafe Condition,Unsafe Condition
ไม่ระบุแผนช่วยชีวิตใน Rescue plan งานซ่อม Dome Roof,Unsafe Action,Unsafe Action
ทางขึ้น-ลงบันได Tank  มีนั่งร้านอยู่ด้านบนมีโอกาสที่ศีรษะชนได้ (แก้ไขโดยติดป้ายเตือนและผ้ารองลดแรงกระแทก),Unsafe Condition,Unsafe Condition
ผู้ขออนุญาตไม่ได้ระบุชื่อใน PTW ของงานกำจัดวัชพืช,,Unsafe Action
เสา Barricade ชำรุดเสื่อมสภาพ เนื่องจากเป็นพลาสติกสามารถเป็นเชื้อเพลิงได้และดูไม่เรียบร้อย,Unsafe Condition,Unsafe Condition
วางกระบอกใส่น้ำดื่มบนอุปกรณ์ Plant,Unsafe Action,Unsafe Condition
ไม่มีป้ายเตือนระวังอุปกรณ์ Plant,Unsafe Action,Unsafe Condition
งาน Remove & Install Surge and Stroke test valve ผู้ปฏิบัติงานไม่สวมใส่ถุงมือ,Unsafe Action,Unsafe Action
จัดเก็บ Insulation ที่ไม่ได้นำมากลับมาใช้งานไม่เป็นระเบียบ,,Unsafe Condition
เชือกโรยตัวไม่ได้มาตรฐาน,,Unsafe Condition
ผู้ปฏิบัติงานนั่งร้านยืนอยู่ในจุดเสี่ยง Line of fire (อุปกรณ์ด้านบนตกลงมาด้านล่าง),Unsafe Condition,Unsafe Condition
งานคัดแยก Insulationป้องกันการฟุ้งกระจายไม่ครอบคลุม,Unsafe Condition,Unsafe Condition
ย้ายจุดเก็บนั่งร้านจากด้านข้าง FAR 1 (SL แจ้งว่าช่างปีโป้คุยกับเจ้าของพื้นที่แล้ว),Unsafe Condition,Unsafe Condition
ต่อสาย Ground ย้อนกลับโดย jump เข้ากับ Generator แล้วลาก Ground ผ่านไป Ground bar,Unsafe Condition,Unsafe Condition
ระบบ Ventilation failed,,Unsafe Condition
งานรื้อถอนนั่งร้าน ปิดล้อมพื้นที่ด้วยธงขาว-แดง ไม่ครอบคลุม,Unsafe Condition,Unsafe Condition
ไม่มีเชือกผูกประแจและภาชนะใส่น็อต,Unsafe Action,Unsafe Condition
ยืนปฏิบัติงานบนนั่งร้านในจุดเสี่ยงที่มีโอกาสตกลงมาได้,Unsafe Action,Unsafe Action
Tag นั่งร้านหมดอายุ,,Unsafe Condition
ปิดล้อมพื้นที่โดยไม่มีป้ายเตือนอันตราย,Unsafe Action,Unsafe Condition
ไม่ได้ update และไม่ได้ลงข้อมูลตรวจสอบ Checklist ของ Generator และ ถัง Argon,Unsafe Condition,Unsafe Condition
ใช้ถุงกระสอบขนย้ายอุปกรณ์ขึ้นที่สูง,Unsafe Condition,Unsafe Condition
ไม่ได้ผูกเชือกอุปกรณ์ที่นำไปใช้งานบนที่สูง,Unsafe Action,Unsafe Condition
ไม่มีผ้ารองสลิงผ้าใบจุดที่ผูกมัดกับส่วนที่แหลมคม,Unsafe Action,Unsafe Condition
ติดตั้ง Handrail กันตกไม่ครอบคลุม,Unsafe Action,Unsafe Condition
งานยกแผ่นคอนกรีตขึ้นจากบ่อด้วยเครน ประเมิน JSA ไม่ครอบคลุม,Unsafe Action,Unsafe Action
ช่องเปิดบริเวณจุด Rescue เสี่ยงต่อการพลัดตก,Unsafe Action,Unsafe Condition
จุดยืนปฏิบัติงานไม่มั่นคง เสี่ยงต่อการพลัดตก,Unsafe Action,Unsafe Condition
ถอด Insulation วางทิ้งไว้โดยไม่ได้ปิดล้อม Barricade,Unsafe Action,Unsafe Condition
จอดรถเข็นอุปกรณ์นั่งร้านโดยไม่ได้หนุนล้อ,Unsafe Condition,Unsafe Condition
งาน load waste ไม่มี spill kit stand by ตามที่ระบุใน JSA,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานที่เกี่ยวข้องไม่มีหน้ากา R95 ตามที่ระบุใน JSA,Unsafe Action,Unsafe Action
งาน load waste ผู้ปฏิบัติงานไม่ทราบจุดล้างตาที่ใกล้ที่สุด,Unsafe Action,Unsafe Action
งาน swing blind ช่างยืนบน pipeline,Unsafe Action,Unsafe Action
งาน clean STR ไม่มี safety sling คล้องจุด connect hose,Unsafe Action,Unsafe Condition
สารเคมีซึมออกมาเป็นหยดๆ (1 นาที/หยด) ที่ข้อต่อหน้าแปลนกับสาย load NaClO,Unsafe Condition,Unsafe Condition
งานติดตั้งนั่งร้านไม่ได้ติดป้ายระวังอุปกรณ์และป้ายชี้บ่งอันตราย,Unsafe Condition,Unsafe Condition
งาน load สารเคมีของ Operation ไม่มี bund รองถังสารเคมี,Unsafe Condition,Unsafe Condition
ใช้ถุงปุ๋ยเพื่อสาวอุปกรณ์ขึ้นด้านบนด้วยเชือก,Unsafe Condition,Unsafe Condition
บ่อ A ไม่มีเชือก Rescue สำหรับช่วยเหลือตามที่ระบุใน Rescue plan ,Unsafe Action,Unsafe Condition
จำนวนคนปฏิบัติงานมากกว่าที่ Ventilation plan คำนวณไว้ (คำนวณ 3 ลงไปทำงาน 8),Unsafe Action,Unsafe Condition
วางกระเช้าใส่คอนกรีตบนนั่งร้านที่ไม่ได้คำนวณมาสำหรับรองรับน้ำหนัก (สำหรับให้คนยืนปฏิบัติงานเท่านั้น),Unsafe Action,Unsafe Condition
Handrail จุดสกัดคอนกรีตขอบบ่อไม่มี middle handrail,Unsafe Condition,Unsafe Condition
Hood ไม่มี sticker ตรวจสภาพ,Unsafe Action,Unsafe Condition
ไม่จัดเก็บ 5 ส.หลังจบงาน,,Unsafe Condition
ขอบเหล็กเหลืองดำที่ทำไว้สำหรับจุดจอดรถ load chemical มีความแหลมคม มีความเสี่ยงที่ล้อรถอาจเหยียบได้,Unsafe Action,Unsafe Condition
จอดรถในพื้นที่กระบวนการผลิตโดยไม่หนุนล้อ,Unsafe Condition,Unsafe Condition
คนขับรถเฮี้ยบนั่งบนขอบกระบะ,Unsafe Action,Unsafe Condition
"ไม่ระบุชื่อบริษัทคู่ธุรกิจที่ทำงานใน work permit, SL ไม่อยู่ที่หน้างานตลอดเวลา",Unsafe Action,Unsafe Condition
สวมใส่ถุงมือผ้าในงาน loose bolt,Unsafe Action,Unsafe Condition
ผู้ปฏิบัติงานไม่ได้ลงชื่อ JSA Talk ใน work permit,Unsafe Action,Unsafe Condition
ใช้อุปกรณ์ช่วยยกไม่เหมาะสม,Unsafe Action,Unsafe Condition
ฝา Cover ติด pipeline ด้านบน ทำให้คนลงไปลำบาก และไม่ได้ติดตั้งนั่งร้านช่วยชีวิต,Unsafe Condition,Unsafe Condition
HOT-LH-002 ตัวหนังสือ JSA มีขนาดเล็ก อ่านไม่ออก,Unsafe Action,Unsafe Condition
ข้อต่อสาย Hose เครื่อง Air com งาน Sand Blast หลุด,Near Miss,Near Miss
ผู้ปฏิบัติงานนั่ง stand by บนนั่งร้านที่อยู่ติดกับบ่อ เป็นจุดที่อยู่นอก Handrail,Unsafe Condition,Unsafe Condition
พื้นนั่งร้านมีจุดต่างระดับ,,Unsafe Condition
จุดโหลดเศษคอนกรีตลง Roll box มีระยะห่างมาก มีโอกาสเสี่ยงตกลงมาได้,Unsafe Condition,Unsafe Condition
ไม่ได้ปิดช่องเปิดระหว่าง Exchanger กับ grating ซึ่งเป็นจุดที่มีการทำงาน,Unsafe Condition,Unsafe Condition
ขนาดคอนกรีตที่ยกเลยขอบ Basket และมีผู้ปฏิบัติงานอยู่ใน Line of fire,Unsafe Condition,Unsafe Condition
ฝนตก น้ำท่วมขังพื้นที่ทำงาน,,Unsafe Condition
งานยกแท่นคอนกรีตมีผู้ปฏิบัติงานอยู่ใน Line of fire,Unsafe Action,Unsafe Condition
เศษคอนกรีตอาจจะร่วงหล่นระหว่างปฏิบัติงาน,,Unsafe Condition
ปีนป่ายออกไปทำงานนอกราวกันตก,,Unsafe Action
ไม่สวมใส่แว่นตานิรภัย ขณะปฏิบัติงานถอด Pump,Unsafe Action,Unsafe Action
ไม่สวมใส่ถุงมือขณะถอด STR งาน clean STR,Unsafe Action,Unsafe Action
ยืนบนฐานวางถังสารเคมี เพื่อ operate มีโอกาสเสี่ยงลื่นตกลงมาได้,Unsafe Condition,Unsafe Condition
จอดรถเข็นอุปกรณ์นั่งร้านโดยไม่ได้หนุนล้อ,Unsafe Condition,Unsafe Condition
สายไฟ Spot light ชำรุด,,Unsafe Condition
ระบุว่ามีเอกสาร Deviation ใน Safe Work Checklist ,Unsafe Action,Unsafe Action
ตรวจสอบ Safe Work Checklist ไม่ครบทุกข้อ,Unsafe Action,Unsafe Action
ไม่มีเอกสาร SDS แนบตามที่ระบุหน้า Work,Unsafe Action,Unsafe Action
ระบุว่ามีเอกสาร Deviation ใน Safe Work Checklist ,Unsafe Action,Unsafe Action
ถังดับเพลิง stand by ไม่เพียงพอ,,Unsafe Condition
ราวกันตกที่ติดบน Handrail มีช่องห่าง (แก้ไขโดยติดตั้ง middle),Unsafe Condition,Unsafe Condition
จุดลำเรียงที่เพิ่มที่บ่อ C ไม่ได้แขวนรอกช่วยเหลือ,Unsafe Action,Unsafe Condition
ใส่น้ำผสมน้ำยาล้างจานสำหรับทดสอบถังแก๊สในขวดน้ำดื่ม,Unsafe Action,Unsafe Action
ใช้งานสลิงผ้าใบขาดชำรุด,,Unsafe Condition
HOT-CH-011 ระบุ JSA ไม่ครอบคลุมขั้นตอนการปฏิบัติงาน และตัวหนังสือมีขนาดเล็ก,Unsafe Action,Unsafe Action
ไม่ปิดล้อมพื้นที่ขณะ load heavy hydrocarbon,Unsafe Action,Unsafe Action
ถอดแว่นตาขณะทำงาน Swing blind,,Unsafe Action
HOT-LH-005 ตัวหนังสือมีขนาดเล็ก,Unsafe Action,Unsafe Action
HOT-LH-005 ไม่ลงค่าวัดแก๊สและไม่ได้ลงชื่อแทนเจ้าของพื้นที่,Unsafe Action,Unsafe Action
