Details,Type of finding
ตรวจพบมีการนำรถจักรยานยนต์มาจอดกีดขวางบริเวณจุดอุปกรณ์ฉุกเฉิน,Unsafe Condition
ตรวจสอบพบ Regulator ขาดการตรวจสอบและติดสติกเกอร์ และ ป้ายแสดงงาน H/W Class I Size ไม่ตรงตามข้อกำหนด พบตู้เชื่อมอยู่ในสภาพไม่พร้อมใช้งาน สายไฟหลุดออกจากตู้,Near Miss
ตรวจสอบพบ Safe Work Certificate  SE-F-0286_Rev.002 พบไม่ลงข้อในหัวข้อที่ 1และหัวข้อที่ 3 ตรวจสอบรับรองการปฏิบัติตามข้อกำหนด,Unsafe Condition
ตรวจสอบพบมีการทำงานทาสี พบผู้ปฏิบัติงานไม่สวมใส่ MASK ป้องกันไอระหยจากทินเนอร์ ใน JSA มีระบุให้ MASK ป้องกันตลอดเวลาทำงาน (R95 8247),Near Miss
ตรวจสอบพบไม่สวมใส่ PPE แว่นตานิรภัย JSA กำหนดไว้ชัดเจน,Unsafe Condition
พบตู้เชื่อมอยู่ในสภาพไม่พร้อมใช้งาน สายไฟหลุดออกจากตู้,Near Miss
ประเมินไม่ครอบคลุม,
ตรวจสอบไม่พบเอกสาร WAH,
ไม่มีการปิดกั้นพื้นที่ทำงาน,
ไม่พบเอกสารการบึนทึกผลร่างการเบื้องต้นก่อนเริ่มงาน,
ตรวจสอบพบคู่ร่วมธุรกิจประจำมีการปฏิบัติงานในพื้นที่ สวมใส่ PPE ไม่ครบตามข้อกำหนดไม่มีสายรัดคางใช้งาน,Unsafe Condition
ตรวจสอบอุปกรณืช่วยยกแบตเตอรี่ พบมีการตรวจสอบแต่การตรวจสอบไม่ถูกต้องวันที่ตรวจและวันหมดอายุไม่ถุกต้อง,Unsafe Condition
ตรวจสอบพบป้าย SDS ชำรุดและซีดจาง,
ตรวจสอบพบ Line Chemical Cleaning อยู่บนพื้นหินมีผ้าใบรองแต่ไม่บันป้องกันการรั่วไหล,Unsafe Condition
ตรวจสอบพบสาย Argon คล้องสายที่หัวถัง,
JSA ประเมินไม่ครอบคลุม และ ลงข้อมูลไม่สอดคล้องกับเอกสารที่กำหนด,
พบ Safety Lead  ทำเกินหน้าที่ๆกำหนด            ( Safety ลงมือทำงานกับทีมงานใน Line ),Unsafe Condition
มีการตักแยกแต่ไม่พบเอกสาร,
เอกสาร Lifting plan ตรวจพบว่าไม่ถูกต้อง เนื่องจากพบว่า ผู้ที่ทำหน้าที่เป็น Safety lead ได้มาทำหน้าที่ผู้ผูกยึดและผู้ให้สัญญาณในงานยกด้วย,Near Miss
ตรวจสอบ JSA พบหัวข้อที่ 8 พบมีการปฏิบัติงานแต่ไม่พบการลงชื่อรับทราบใน JSA ,Unsafe Action
ตรวจสอบพบ MASK ป้องกันจากงาน PT-TEST หมดอายุ (ฺBody MASK),Unsafe Condition
ประเมิน JSA ไม่ครอบคลุม เพราะจากหน้างานที่เห็นมีการใช้ Hoist ในการช่วยยก และ ไม่มีประเมินเกี่ยวกับการขึ้นไปยืนทำงานด้านบน ,Near Miss
 พบไม่มีการตรวจสอบหน้างาน ในเอกสาร JSA,
พบจุดเก็บถังน้ำมันของส่วนซ่อมไม่มีถาดรองกันหกรั่งไหล,Near Miss
ตรวจสอบพบ Regulator ยังไม่ได้รับการตรวจสอบในเดือน มิถุนายน สีสติกเกอร์ของเดือนนี้ สีม่วง,Unsafe Condition
ไม่พบ Safety lead คุมงานหน้างาน ( Safety lead ไปเอาเอกสารที่ป้อมหน้า G-1 ROC,Unsafe Condition
ตรวจสอบเอกสาร JSA พบว่าต้องมีการ Lock LOTO แต่หน้า Work Permit ไม่พยการลงข้อมูลการ Lock LOTO,Near Miss
ไม่พบเอกสาร,
ไม่พบเอกสาร,
ไม่พบเอกสาร,
ทราบแต่ไม่ได้ปฏิบัติตามมาตรการที่กำหนด,
พบกระป๋องสีที่ใช้งานแล้วไม่มีการจัดเก็บที่ดี,
ตรวจพบอุปกรณ์ไฟฟ้าไม่มีการตรวจสภาพก่อนนำมาใช้งาน,Near Miss
ตรวจพบถุงปูนวางไว้โดยไม่มีการจัดเก็บที่ดี,
"ตรวจพบมีการนำเครื่องดื่มมาทานภายในห้อง Sub,",
ตรวจสอบพบคู่ธุรกิจ ไม่สวมใส่หน้ากากกรองสารเคมีในขณะทำงาน ,Unsafe Condition
ผู้ขออนุญาต ไม่ประเมินความเสี่ยงเรื่องการทำงานยก และการทำงานบนที่สูง,Unsafe Action
Lifting plan มีการระบุข้อมูลไม่ครบถ้วน ไม่ระบุสถานที่ ไม่ระบุสิ่งของที่จะยก ใส่ชื่อ 4 ผู้ไม่ครบ หัวหน้างานของผู้ขออนุญาต ไม่ได้ลงชื่อรับรอง,Near Miss
ตรวจสอบเอกสาร Safe Work Certificate SE-F-0286_Rev.002 พบมีการปฏิบัติงานแต่ขาดการตรวจสอบลงข้อมูล,Unsafe Condition
ไม่ได้แนบ WAH Certificate แต่มีการทำงานบนที่สูงโดยใช้บันไดทรงเอ,Unsafe Condition
ไม่มีเอกสาร บันทึกผลการตรวจร่างกายผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงานบนที่สูง,Unsafe Action
ตรวจสอบพบผู้ปฏิบัติงานบนที่สูงพบไม่คล้องเกี่ยวขณะปฏิบัติงาน,
ตรวจสอบพบ Regulator ใช้งานอยู่ พบยังไม่ได้รับการตรวจสอบออกสติกเกอร์ ,
ตรวจสอบพบ Windsock สภาพเปื่อยและขาด ใช้งานได้ไม่ 100%,
มีการเปิด work รื้อนั่งร้านใบเดียวแต่ใช้หลาย section,Near Miss
ตรวจสอบพบรถ HIAB ทำการยกก้อนพลาสติกพบการกางขาเพื่อค้ำยัน Balance ตัวรถไม่กางขาครบทั้งข้าง อันตราย,Near Miss
ตรวจสอบเอกสาร HEALTH CHECK พบมีการแปลงเอกสาร SE-F-0277 Rev 006. (เอกสารแนบ),
"ตรวจสอบพบ MASK ไม่พร้อมใช้งานลิ้นวาล์วหายทั้ง 2 ข้างและตลับ MASK ไม่ระบุวันใช้งาน (ไม่อนุญาตให้ใช้งาน)
และตรวจสอบพบไฟติดหมวกยังไม่ผ่านการตรวจสอบ ",Unsafe Condition
ตรวจสอบพบผู้ปฏิบัติงานไม่สวมใส่ MASK ป้องกันอันตรายจากฟูมงานเชื่อม,Unsafe Condition
ประเมิน JSA ไม่ครอบคลุม  มีการลงไปทำงานใต้พื้น Floor และ ทำในตู้ Control แต่ไม่มีการประเมินถึงอันตราย และ มาตรการป้องกัน,Near Miss
ประเมิน JSA ไม่สอดคล้องกับลักษณะงานที่ปฎิบัติ,
พบมีการขีดช่อง Simple Lock แต่ไม่มีลงรายละเอียดนัมเบอร์อุปกรณ์,Unsafe Action
ตรวจสอบพบงานเชื่อมโดยผู้ปฏิบัติงนร่วมในพื้นที่ไม่สวมใส่ MASK ป้องกันอันตรายจากฟูมงานเชื่อม,Unsafe Condition
"พบมีเมวล์ไหลลงรางระบายน้ำด้านหลังแนวถนนทางเข้าลานจอดรถ HD-2,3",Near Miss
พบนั่งร้านที่ตั้งอยู่ข้างอาคารเก็บวัตถุดิบไม่มี tag   ระบุตรวจสภาพ สอบถามเจ้าของงานไม่ได้ตรวจสภาพนานแล้ว,Near Miss
ประเมิน JSA ไม่ครอบคลุม เนื่องจากมีการนำรถเข้ามาในเขตขบวนการผลิต แต่ไม่มีการประเมินเรื่องอันตรายและมาตรการป้องกัน,Unsafe Condition
",มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด",Unsafe Action
ตรวจพบอุปกรณ์ไฟฟ้าไม่ผ่านการตรวจสภาพ และ สภาพชำรุดแต่ยังมีการนำมาใช้งาน และ พบรถเข็นสี-น้ำยา ไม่มีภาชนะในการกักเก็บในกรณีมาการหกรั่วไหล,Near Miss
พบจุดที่มีการเก็บกระป๋องสีและทินเนอร์ Valve ของ Bun มีการเปิดทิ้งไว้ ,Unsafe Condition
จุดเก็บสียังไม่มีป้าย SDS,
ชื่อผู้ควบคุมปั่นจั่น และ ผู้บังคับปั่นจั่น เป็นชื่อเดียวกัน และผู้ขออนุญาตไม่ได้เช็คตรวจสอบมาตรการความปลอดภัยในหัวข้อที่ 2.1,Near Miss
พบถังดับเพลิง สภาพไม่พร้อมใช้งาน ถังมีสนิม เข็มวัดแรงดันภายในถังตก,Near Miss
มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด ซึ่งใน JSA มีมาตรการกำหนดไว้,Unsafe Condition
มีกำหนดการ Lock Off LOYO ใน JSA แต่ไม่มีการลงข้อมูลรายละเอียด ที่ Work Permit  ,Unsafe Condition
ใน JSA ระบุไว้ว่ามีการ Test Run หลังแก้ไขเสร็จ แต่ไม่มีการลงรายละเอียดงานที่เกี่ยวข้องกับไฟฟ้า ที่ Work Permit  ,Unsafe Condition
พบเอกสารเป็น Rev.เก่า,
พบห้องไฟฟ้ามีอุปกรณ์ของทีมซ่อม ME เก็บไว้ด้านในซึ่งมีทั้งน้ำมัน สารไวไฟ และ กระดาษ,Near Miss
พบฝารางระบายน้ำสภาพชำรุด,
ฝารางระบายน้ำแตก,
"ประเเมิน JSA ไม่ครอบคลุม
 เนื่องจากพบมีการสาวรอกด้านบนแต่ใน JSA ไม่มีประเมินการทำงานที่สูงและ มาตรการป้องกัน",Unsafe Condition
มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด ซึ่งใน JSA มีมาตรการกำหนดไว้,Unsafe Condition
"ประเเมิน JSA ไม่ครอบคลุม
 เนื่องจากใน Work Permit ลักษณะงานเป็นงานตัด Support แล lineท่อโดยใช้เลื่อยในการตัด แต่ใน JSA ไม่มีประเมินการทำงานตัดด้วยเลื่อยไฟฟ้า และ มาตรการป้องกัน",Near Miss
พบเอกสาร WAH ไม่ Up Date,
มีการปิดกั้นพื้นที่แต่ไม่มีเอกสารชี้บ่งที่จุดปิกกั้น,
พบเอกสาร WAH ไม่ Up Date,
Hot work certifcate เป็น Revised 7 ซึ่งไม่ใช่ เอกสาร Revised ปัจจุบัน,
Hot work certifcate เป็น Revised 7 ซึ่งไม่ใช่ เอกสาร Revised ปัจจุบัน,
ตรวจสอบพบ MASK ไม่ระบุวันและเวลาที่นำมาใช้และไม่สามารถระบุวันที่นำใช้และวันเปิดออกจากซอง,Unsafe Condition
ตรวจสอบพบผู้ร่วมธุรกิจ ยาแนว Silicone ไม่สวมใส่ MASK ป้องกันอันตรายเพราะ Silicone มีกลิ่นกรดรุนแรงอันตรายกับระบบทางเดินหายใจ,Near Miss
ตรวจสอบพบ JSA ขาดการประเมินในหัวข้อที่ 5 ,
ตรวจสอบพบ JSA ไม่ตรงกับงานที่ปฏิบัติ,
ตรวจสอบพบมีการปฏิบัติงานแล้ว พบ JSA ยังขาดการตรวจสอบมาตราการใน JSA หัวข้อที่ 6.1,
ตรวจสอบพบ Permit to Work ตรวจสอบหน้างานโดย Permit Requestor ก่อนเริ่มทำงานในช่วงบ่าย หัวข้อที่ 4,Near Miss
Hot work certifcate เป็น Revised 7 ซึ่งไม่ใช่ เอกสาร Revised ปัจจุบัน,
พี่สมฤกษ์ ผจผ. Safety Audit พื้นที่บริเวณจุด LPG พบว่าอุปกรณ์ฉุกเฉินมีการปิด Valve,Near Miss
จุดเก็บถัง LPG กีดขวางอุปกรณ์ฉุกเฉิน และ ล้นออกมาโดยไม่มีการผูกรัด,Near Miss
พี่สมฤกษ์ ผจผ. Safety Audit Line Tranter Rew Material ให้ตรวจสอบเรื่องสายกราวด์,Near Miss
มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด ซึ่งใน JSA มีมาตรการกำหนดไว้,Unsafe Condition
ตรวจพบ Boll Valve ของอุปกรณ์ Shower EVE Shower สภาพชำรุด,Unsafe Condition
ผู้ปฏิบัติงานบนที่สูงไม่ได้ตรวจร่างกายเบื้องต้นก่อนเริ่มทำงาน ,Unsafe Action
งาน load Fouled HAXANE ขั้นตอนก่อนการ load ผู้ปฏิบัติงานมีการตามไม่ปฎิบัติตามขั้นตอนการทำงานถูกต้อง  รถไม่ดึงกุญแจออก ไม่หนุนไม้ลองล้อรถ ไม่นำถังดับเพลิงออกมาวางยังหน้ารถ  มีการคีบกราวด์ค่าความต้านทานต่ำกว่า 10 โอห์ม  nitrogen purge 30min ทำงานบนที่สูง คล้องเกี่ยวกันตก,HNM
ตรวจสอบพบรถส่ง Pallet ไม่หนุนล้อระหว่างการปฏิบัติงานของ Fork Lift,Unsafe Condition
ตรวจสอบพบ JSA ขาดการตรวจสอบมาตราการ หัวข้อ 6.1 ,
ตรวจสอบพบ JSA ขาดการตรวจสอบมาตราการ หัวข้อ 6.1 ,
ตรวจสอบงาน Lifting พบการใช้ Pallet วางของและจะทำการยก ตรวจสอบ Pallet สภาพไม่พร้อมยกและ Pallet ไม่เหมาะสมกับการนำมาใช้ยก ไม่อนุญาตให้ทำการยก,Near Miss
ตรวจสอบพบ Work Permit ขาดการตรวจสอบและเซ็นเอกสารรับรองหัวข้อใน Work Permit หัวข้อที่ 3 (มีการปฏิบัติงานแล้ว),Unsafe Action
"ตรวจสอบ JSA ไม่ครบขาดเอกสาร JSA หน้าที่ 2 หัวข้อ 5,6,7,8 การปฏฺิบัติงานใน JSA มีระบุเรื่องการ Load โดยใช้รถต้องมีการหนุนล้อทุกครั้ง",Near Miss
ตรวจสอบพบ JSA ขาดการตรวจสอบมาตราการ หัวข้อ 6.1,
ตรวจสอบพบ JSA ขาดการตรวจสอบมาตราการ หัวข้อ 6.1 ,
พบนักงานขับรถรอขึ้นสินค้านอนอยู่ใต้สแตน,
ตรวจพบมีการนำอุปกรณ์ไฟฟ้าไม่ผ่านการตรวจสภาพมาใช้งาน,Unsafe Condition
ตรวจพบว่ามาตรการที่ระบุใน JSA ไม่มีการตรวจสอบก่อนเริ่มงาน,Unsafe Action
พบsafety harness Tagตรวจสภาพการใช้งานจากส่วนซ่อม ยังไม่อัพเดทเป็นTag ปัจจุบัน,Near Miss
ไม่มีbarricade tag ที่หน้างาน,
ไม่มี barricade tag ติดตั้งไว้ที่หน้างาน,Unsafe Condition
ทำงานที่สูง แต่ไม่มีWAH Certificate แนบกับ work permit,Unsafe Condition
ทำงานที่สูง แต่ไม่ได้ตรวจร่างกายผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงาน,Near Miss
พบพนักงานขับรถ Fork lift ของหน่วยงานพ้สดุไม่ปฎิบัติตาม BBS ที่กำหนด (ไม่คาดเข็มขัดนิรภัย),Unsafe Condition
ตรวจพบอุปกรณืไฟฟ้าที่นำมาใช้งานบริเวณการทำงานขัด Screw ยังไม่ผ่านการตรวจสภาพ,Near Miss
ตรวจสอบพบตู้เชื่อมมีการตรวจสอบเรียบร้อยแต่สภาพไม่พร้อมใช้งานโดยสายไฟหลังตู้มีการหลุดออกจากเต้าไฟ และ Regulator ยังไม่ผ่านการตรวจสอบและออกสติกเกอร์ของเดือนกรกฏาคม,Near Miss
พี่สมฤกษ์ ผจผ. Area Audit พบรถจักรยานสภาพไม่พร้อมใช้งาน,Unsafe Condition
ใบผ่านการอบรมปั่นจั่นเกิน 2 ปี ตามที่กฎหมายกำหนดไว้,
พี่สมฤกษ์ ผจผ. Area Audit พบ Handrail บริเวณอุปกรณ์ Model M-5301 สภาพโกงและเอียง,Unsafe Condition
พบเก้าอี้ชำรุด วางไว้ไม่ได้ใช้งาน แต่ไม่ได้ติดป้ายเตือน ชำรุดห้ามใช้งาน,Unsafe Condition
ตรวจสอบพบผู้ปฏิบัติงานกำลังปฏิบัติงานยาแนว Silicone พบไม่สวมใส่ MASK ป้องกันอันตราย,Unsafe Action
พบพนักงานขับรถ Fork lift ของหน่วยงานพ้สดุไม่ปฎิบัติตาม BBS ที่กำหนด (ไม่คาดเข็มขัดนิรภัย),Unsafe Condition
ตรวจสอบพบช่างเชื่อมทำการเชื่อม Line Pipe พบไม่สวมใส่ MASK ป้องกัน อันตรายจากฟูม ,Unsafe Condition
ตรวจสอบไม่พบเอกสารการตรวจร่างกายเบื้องต้น ,
ตรวจสอบเอกสารไม่ถูกต้อง เนื่องจากมีการติ๊คการตัดระบบและมีการประเมินใน JSA แต่ไม่มีการลงนัมเบอร์ของอุปกรณ์ของกุญแจที่ Lock ใน Work Permit,Near Miss
ตรวจสอบมีการปิดกั้นพื้นที่แต่ไม่มีป้ายชี้บ่ง,
JSA ที่แนบมาไม่สอดคล้องกับงานที่ปฎิบัติ,
ตรวจสอบพบ Sling Shackle มีการใช้งานแต่ไม่พบการตรวจสอบและออกสติกเกอร์,
ตรวจสอบพบการปฏิบัติงาน ใช้ฆ้อนแบบเหล็ก มาใช้งาน ,Unsafe Condition
พบไม่มีการลงข้อมูล Tag Out. ใน Work permit ซึ่งไม่ตรงกับมาตรการใน JSA ที่กำหนด,Unsafe Condition
พบไม่มีการเช็คตรวจสอบมาตรการหน้างาน,
มีเอกสาร บันทึกผลการตรวจร่างกายผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงาน และผลตรวจวัดอยู่ในค่ามาตรฐานแต่เป็นเวอร์ชั่นเก่า,Near Miss
JSA ไม่สอดคล้องกับงานที่ปฎิบัติ (หน้างานเป็นงานเปลี่ยน Boll Valve แต่ JSA ที่แนบเป็นถอดประกอบเครื่องจักร ),Near Miss
พบว่า JSA ที่เอามาแนบเป็นงานถอดประกอบเครื่องจักร แต่มาเขียนงานติดตั้งดะแกรงรางระบายน้ำเพิ่มเติม,Near Miss
พบ JSA ไม่มีการประเมินการใช้รอก,
"พบ JSA ไม่มีการประเมินการใช้รอก
",
พบประตูหลัง จุดเก็บพัสดุ ล้ม,
ตรวจสอบพื้นที่พบทางขึ้นเครื่องชั่งฝั่งขาออก พื้นผิวคอนกรีตชำรุด แตกร้าว เป็นแอ่ง ,Near Miss
ตรวจสอบพื้นที่ พบSling ยกของยังไม่ได้อัพเดท Tag ตรวจสอบอุปกรณ์ช่วยยกประจำเดือน ให้เป็นปัจจุบัน,Near Miss
พบเอกสาร JSA ไม่มีการตรวจสอบมาตรการหน้างานก่อนมีการปฏิบัติงาน,
"ตรวจสอบพื้นที่ พบตู้น้ำเย็นที่ TC-Wax มีจุดที่ต้องแก้ไขดังนี้
1.สายปลั๊กเสียบไม่มี Ground
2.ด้านหลังมีไม้พาเลทอยู่",Near Miss
มีการกั้นพื้นที่ด้วยกรวยจราจร แต่ไม่มีป้ายชี้บ่งอันตราย,Unsafe Condition
ตรวจสอบเอกสารพบเป็นเอกสารเก่า,
พบมีการปิดกั้นพื้นที่ทำงาน แต่ไม่มีเอกสารชี้บ่งอันตายที่หน้างาน,
พบเอกสารที่แนบมาเป็นแบบเก่า,
พบการขับขี่จักรยานในพื้นที่ process ซึ่งมีป้ายเตือนชัดเจน ว่าห้ามรถทุกชนิดเข้าโดยเด็ดขาด,Unsafe Condition
พบInsulation ที่ถอดออกมา ไม่ได้จัดเก็บใส่ถุงที่ปิดมิดชิด,Unsafe Action
พบTag นั่งร้านหมดอายุ,
ไม่มีการปิดล้อมพื้นที่ ไม่มีป้าย Barricade tag,
ตรวจสอบพบผู้ปฏิบัติงานบนรถ HIAB สวมใส่ Safety Harness แต่ไม่คล้องเกี่ยว,Unsafe Condition
ตรวจสอบ ปากคีบ Hydraulic น๊อตล๊อคไม่ใส่ปลิ้นล๊อค ขณะกำลังปฏิบัติงานน๊อตคลายออก (รูป) ,Near Miss
"ตรวจสอบพบมีการปฏิบัติงานตั้งนั่งร้านตรวจสอบ Work Permit 
พบหัวข้อ 1.7 ลงชื่อตรวจสอบหัวหน้าของ Permit Requester ขาดการตรวจสอบความครบถ้วนและมาตราการ ",Near Miss
"ตรวจสอบพบมีการปฏิบัติงานตั้งนั่งร้านตรวจสอบ Work Permit 
พบหัวข้อ 1.7 ลงชื่อตรวจสอบหัวหน้าของ Permit Requester ขาดการตรวจสอบความครบถ้วนและมาตราการ 
",Near Miss
"พบกระจกโค้งมองมุมอับบนถนนหน้า
ลาน Waste พัสดุมีสภาพไม่พร้อมใช้งาน",Unsafe Condition
ตรวจพบภายในห้องตู้ไฟฟ้ามีเศษวัสดุที่เป็นเชื้อเพลิงเก็บรวมอยู่เป็นจำนวนมาก,Near Miss
มี bigbag ที่ใส่ floss drain จาก BG101 ที่เป็นวัสดุติดไฟวางอยู่,Unsafe Condition
ตรวจสอบพบไม่มีการลงรายละเอียดของการ Lock LO/TO ที่ Work Permit ตามมาตรการใน JSA ที่กำหนดไว้,Unsafe Condition
คู่ธุรกิจ MYC ที่ไม่เกี่ยวข้องกับงานนั่งร้าน แต่มาทำงาน modify นั่งร้าน,
พบโครงสร้างแขวนรอก ระบุน้ำหนักที่ยกได้ไว้ 150 kg. แต่อุปกรณ์ที่ยกน้ำหนักประมาณ 900 kg.,Unsafe Condition
ตรวจสอบพบอุปกรณ์ช่วยยก ยังไม่ได้รับการตรวจสอบและออกสติกเกอร์,
"ตรวจสอบพบเอกสาร JICA พบมีการประเมินในหัวข้อที่ 5.1 
พื้นที่เข้า-ออก คับแคบต้องปีข้ามปีนรอด
หัวข้อ 5.2
พื้นที่จุดปฏิบัติงานต้องก้มต้องเงยนอน
พบการประเมินแต่ไม่ประเมิน JSA เพิ่ม",Unsafe Condition
"ตรวจสอบพบผู้ปฏิบัติงานไม่ปฏิบัติตามข้อกำหนด ตามเอกสาร Safe Work Certificate 
หัวข้อที่ 15 (ติ๊กผ่าน)ผู้ปฏิบัติงานฉีดน้ำ Water Jet และผู้ควบคุม Foot Valve ต้องเป็นคนเดียวกัน 

และ Foot Valve ไม่ต่อสายน้ำ Return กลับเข้าเครื่อง Water Jet",HNM
"ตรวจสอบพบ Safety Lead ขาดการประเมิน JSA หัวข้อ 6.1ตรวจสอบมาตราการหน้างาน
หัวข้อ 5 ข้อย้อย 5.1 และ หัวข้อ 5.2",Unsafe Condition
ตรวจสอบพบ Safety Sling สภาพไม่พร้อมใช้งาน สลิงแตกเกลียวอันตรายเมื่อถูกมือเวลาปฏิบัติอาจจะทิ่มแทงได้,Near Miss
ตรวจพบเอกสาร JSA การวิเคราะห์งานเพื่อความปลอดภัยไม่สอดคล้องกับการปฎิบัติงาน,
พบอุปกรณ์ไม่ผ่านการตรวจสภาพ,
พบTag นั่งร้านไม่มีการ Up Dealt ในเรื่องของการตรวจสภาพ,
ตรวจสอบพบ Grander 4 นิ้ว ปฏิบัติงานไม่สวมใส่ Handle ,
ตรวจสอบมีการปฏิบัติงานเป่าลม Air Compressor พบสายลมขาดการล๊อคสายลมด้วย Safety Sling cและจุดล๊อคไม่มีพินล๊อค,Near Miss
ยังไม่มีผู้อนุมัติใน work permit,
ตรวจสอบพบ Regulator Argon ยังไม่ได้ตรวจสอบและออกสติกเกอร์ (เปิดใช้งานแล้ว),Unsafe Condition
ตรวจสอบพบคู่ร่วมธุรกิจกำลังปฏิบัติงานไม่สวมใส่ PPE ตามที่กำหนดไว้ในเอกสาร Work Permit หัวข้อ 1.6 ,Unsafe Condition
"ตรวจสอบเอกสาร JSA 
- พบขาดการตรวจสอบมาตราการ หัวข้อ 1.6 (Safety Lead)
- พบขาดการวิเคราะห์ หัวข้อ 5  5.1,5.2",Near Miss
กรอกข้อมูลไม่ครบถ้วน,
K. สมฤกษ์ น. ผจผ. Safety ตรวจ SWP เอกสารงานติดตั้งนั่งร้าน Silo TK-3451 B พบว่าเอกสาร Working at Hight เป็นเอกสารตัวเก่า,Near Miss
K. สมฤกษ์ น. ผจผ. Safety ตรวจ SWP งานทำแผนช่วยเหลือ Demon  Silo TK-3451 B พบว่าพบว่าจุดที่ทำการซ้อมแผนช่วยเหลือไม่ปลอดภัยเนื่องจากอยู่ตรงบริเวณบันไดทางขึ้นลงอาจพลาดตกลงมา,Near Miss
กำหนดมาตรการในข้อ 1.6 อุปกรณืป้องกันการหายใจ ระบุไว้เป็นผ้าปิดจมูก ซึ่งแนวปฏิบัติที่ถูกคือต้องระบุชนิดให้ชัดเจน ว่าเป็นแบบใด ซึ่งต้องเป็นชนิดป้องกันทินเนอร์และสีได้,Unsafe Condition
พบมีการทิ้งขยะทั่วไปรวมกับขยะปนเปื้อน,
พบเอกสาร Lifting Plan เป็น Rev. เก่า (002 ),
"พบทีมซ่อม ME นำน้ำยา Clean มาใส่ในขวดน้ำดื่มเพื่อใช้งานโดยไม่มีเอกสาร SDS ติดชี้บ่ง
",Near Miss
ตรวจสอบพบมีการปฏิบัติงาน Remove Scaffolding ตรวจสอบเอกสารแนบ Safe Work Certificate SE-F-0286_REV.003 Working at Height ไม่พบการตรวจสอบประเมินหน้างาน,Near Miss
ตรวจสอบพบ เอกสาร SE-F-0337 Rev.001_Safe Work Certificate High Pressure Water Jet Work ขาดการประเมินมาตราการก่อนเริ่มงาน,HNM
ตรวจสอบพบงานทาสี Line Pipe พบคู่ร่วมธุรกิจ บริษัท PROTECH สวมใส่ MASK ป้องกันไอระเหย ผิด สวมใส่ (N95 ป้องกันฝุ่น) ตรวจสอบ JSA พบข้อ 2.1.2.2 Permit Requestor ได้กำหนดให้ใส่ (R95 ป้องกันอนุภาคอันตรายที่เป็นฝุ่น ละออง แก๊ซ ไอระเหย,Near Miss
ตรวจสอบเอกสาร HEALTH CHECK พบผู้ตรวจสอบ ขาดการตรวจสอบและเซ็นเอกสารตรวจสอบก่อนเริ่มงาน,Near Miss
มีกองวัสดุและถังน้ำมันวางกีดขวางทางเข้าหม้อแปลง  ในกรณีที่เกิดเหตุฉุกเฉินจะเข้าไปในพื้นที่ได้ยาก,Near Miss
ตรวจพบใน JSA มีกำหนดการ Off ฺ Breaker และ กดปุ่ม Emergency แต่ที่ Work Permit ไม่มีการลงรายละเอียดการตัดระบบ,Unsafe Condition
ตรวจพบไม่มีการตรวจสอบมาตรการที่กำหนดไว้ใน JSA,Unsafe Action
ตรวจพบใน JSA มีกำหนดการ Off ฺ Breaker แต่ที่ Work Permit ไม่มีการลงรายละเอียดการตัดระบบ,Unsafe Condition
ตรวจสอบพบงานเจียร์ Line Pipe พบวิธีปฏิบัติไม่ถูกต้องโดยใช้ถังพลาสติกรองจุดงานที่เจียร์,
ตรวจสอบพบ Safety Sling สลิงแตกออกจากเกลียว อันตรายต่อการใช้งานอาจจเกิดอุบัติเหตุได้ (ระบุใน JSA พร้อมใช้งาน),Near Miss
พบเครื่องฉีดน้ำอุปกรณ์ไม่ผ่านการตรวจสภาพ,
พบมีการลงข้อมูลผลตรวจ แต่ไม่มีการลงนามรับรองในเอกสาร,
ตรวจพบอุปกรณ์ไม่ผ่านการตรวจสภาพ,
ตรวจสอบพบพนักงานทาสี พบสวมใส่ MASK แต่ไม่มีตลับกรอง,Unsafe Condition
ตรวจพบว่าไม่มีการลงรายละเอียด Lock LOTOใน work permit ซึ่งไม่สอดคล้อง jsa,Unsafe Action
ใช้งานเอกสาร WAH version ที่ไม่ update,
จุดคล้องเกี่ยวไม่เหมาะสม จุดคล้องเกี่ยวที่ถูกต้อง ต้องอยู่สูงกว่าผู้ปฏิบัติงาน,Unsafe Condition
พบไม่มีการลงจำนวนผู้เข้าปฏิบัติงานใน Work permit,
ตรวจสอบพบเอกสาร Health Check SE-F-0277 Rev 006  ขาดการตรวจสอบโดย Permit Requestor ,Unsafe Condition
ตรวจสอบพบช่างเชื่อมขณะปฏิบัติงานเชื่อมไม่สวมใส่ MASK ป้องกันอันตรายจากฟูมงานเชื่อม (2097)ตามที่ JSA กำหนด,Unsafe Condition
ตรวจสอบ JSA พบ Safety Lead ขาดการตรวจสอบมาตราการ ข้อ 6.1 ,
ตรวจสอบเอกสาร Safe Work Certificate SE-F-0286_REV.003 พบขาดการตรวจสอบ โดย Safety Lead และ Permit Requestor,Near Miss
