FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Details,TranslateDetails,Frequency,CleansingFinding,TranslateFinding
462,HDPE3,-,-,Unsafe Condition,Installation/ Alignment,"ตรวจพบขวดใส่น้ำมันหล่อลื่นนำสติ๊กเกอร์ Waste label ,มาติดซึ่งไม่ถูกต้อง",งานติดตั้งนั่งร้าน M-5302,Installation of scaffolding M-5302,1,"ตรวจพบขวดใส่น้ำมันหล่อลื่นนำสติ๊กเกอร์ waste label , มาติดซึ่งไม่ถูกต้อง","The lubricant bottle was found to have a waste label sticker attached, which was not correct."
463,HDPE2,-,-,Unsafe Condition,PPE,พบในเอกสาร JSA ไม่มีการขั้นตอนการใช้รถ Fork lift และ ไม่มีการผูกรัดถังก่อนทำการขนย้าย,ขนย้าย Used lube oil,Transport Used lube oil,1,"พบในเอกสาร jsa ไม่มี ขั้นตอนใช้รถfork lift , ไม่มีการผูกรัดถังก่อนทำการขนย้าย","Found in the jsa docs, there is no fork lift procedure, no tying of the tank before transporting."
466,CPD Pipe Site3,-,-,Unsafe Condition,Lifting,พบในเอกสาร JSA ข้อที่/ มีการกำหนดมาตรการ Lock LOTO และมีการตรวจสอบมาตรการหน้างานแล้ว แต่ที่ Work Permit ไม่มีการลงรายละเอียดนัมเบอร์ LOTO ที่ทำการ Lock,"PM line-8,9","PM line-8,9",20,"พบในเอกสาร jsa ข้อที่ , มี กำหนดมาตรการ lock loto , มีที่ทำการตรวจสอบมาตรการหน้างานแล้ว แต่ที่ work permit ไม่มีลงรายละเอียดนมเบอร์loto lock","Found in the jsa document No. , There is a lock loto measure, there is an office to check the measures on site, but the work permit does not have lotto lock details."
466,CPD Pipe Site3,-,-,Unsafe Condition,Lifting,พบในเอกสาร JSA ข้อที่/ มีการกำหนดมาตรการ Lock LOTO และมีการตรวจสอบมาตรการหน้างานแล้ว แต่ที่ Work Permit ไม่มีการลงรายละเอียดนัมเบอร์ LOTO ที่ทำการ Lock,งานเปลี่ยน Motor Classifire,Motor Classifire replacement work,20,"พบในเอกสาร jsa ข้อที่ , มี กำหนดมาตรการ lock loto , มีที่ทำการตรวจสอบมาตรการหน้างานแล้ว แต่ที่ work permit ไม่มีลงรายละเอียดนมเบอร์loto lock","Found in the jsa document No. , There is a lock loto measure, there is an office to check the measures on site, but the work permit does not have lotto lock details."
466,CPD Pipe Site3,-,-,Unsafe Condition,Lifting,พบในเอกสาร JSA ข้อที่/ มีการกำหนดมาตรการ Lock LOTO และมีการตรวจสอบมาตรการหน้างานแล้ว แต่ที่ Work Permit ไม่มีการลงรายละเอียดนัมเบอร์ LOTO ที่ทำการ Lock,"PM Air Line-W1,W2","PM Air Line-W1,W2",20,"พบในเอกสาร jsa ข้อที่ , มี กำหนดมาตรการ lock loto , มีที่ทำการตรวจสอบมาตรการหน้างานแล้ว แต่ที่ work permit ไม่มีลงรายละเอียดนมเบอร์loto lock","Found in the jsa document No. , There is a lock loto measure, there is an office to check the measures on site, but the work permit does not have lotto lock details."
469,HDPE4,-,-,Unsafe Condition,Water jet,Lifting plan ยังไม่อัพเดทเป็น Rev.ปัจจุบัน,ยกเปลี่ยน Blower by crane 70 ton,lift and change Blower by crane 70 ton,7,lifting plan ยังไม่อัดเป็น revamp.ปัจจุบัน,The lifting plan hasn't been recorded yet. revamp.current
470,HDPE4,-,-,Unsafe Condition,PPE,มีการนำรถเข้าเขตกระบวนการผลิต แต่ผู้ขออนุญาตไม่ได้เช็คว่ามีการแนบเอกสารการนำรถ ในหัวข้อที่ 1.4 หน้าwork permit,นำรถเข้าเขตกระบวนการผลิต ติดตั้งนั่งร้าน,bring the car into the production area install scaffolding,1,มีการนำรถเข้าเขตกระบวนการผลิต แต่ผู้ขออนุญาตไม่ได้เช็คว่ามีwork permitแนบเอกสารการนำรถ ในหัวข้อที่ 1.4 หน้าwork permit,"The car is brought into the production area. but the requester did not check that there was work permit, attach documents for bringing a car in topic 1.4, work permit page"
471,Store Site7,-,-,Unsafe Condition,Civil,มีงานขุดและแนบCer.งานขุด แต่ผู้ขออนุญาตไม่ได้เช็คว่ามีCer. งานขุดที่ข้อ 1.4 บน work permit,เทปูน ขุดดิน ปรับพื้น,"Plastering, digging, leveling the ground",13,"มีงานขุด , แนบcern.งานขุด แต่ผู้ขออนุญาตไม่ได้เช็คว่ามีcern. งานขุดที่ข้อ 1.4 บน work permit","There is an excavation work, attached cern. Excavation work But the applicant did not check that there was cern. Mining work at clause 1.4 on the work permit"
474,PP2,-,-,Unsafe Condition,Chemical Work,"ตรวจสอบพบ Barricade ใช้แบ Euro Tape ที่ได้ยกเลิกไป 01 มีนาคม 63 และไม่มี Tag Barricade ",ขนเศษเหล็ก Lifting By HIAB,Steel Scrap Lifting By HIAB,1,"ตรวจสอบพบ barricade ใช้แบบ zero tape ที่ได้ยกเลิกไป มีหนาม , ไม่มี tag barricade","Checked barricade using zero tape type that has been canceled, barricade, no barricade tag."
476,Pilot plant complex,-,-,Unsafe Condition,Water jet,"มีการใส่Blind ที่Line Pipeเรียบร้อย แต่ไม่มีเอกสารตัดแยกระบบ ",ตัด เจียร์ เชื่อม Modify Line Pipe,"Cut, grind, weld Modify Line Pipe",1,มีใส่blind ที่line pipeเรียบร้อย แต่ไม่มีเอกสารตัดแยกระบบ,There is a blind on the line pipe already. But there is no separate document.
477,Pilot plant complex,-,-,Unsafe Condition,Water jet,ผู้ปฏิบัติงานไม่ได้ล๊อคกุญแจ,ตัด เจียร์ เชื่อม Modify Line Pipe,"Cut, grind, weld Modify Line Pipe",1,ผู้ปฏิบัติงานไม่ได้ล๊อคกุญแจ,The operator did not lock the padlock.
478,Pilot plant complex,-,-,Unsafe Condition,Water jet,ยังไม่มีเอกสาร Blind list,ตัด เจียร์ เชื่อม Modify Line Pipe,"Cut, grind, weld Modify Line Pipe",1,ยังไม่มีเอกสาร blind list,There is no blind list documented yet.
480,Pilot plant complex,-,-,Unsafe Condition,Water jet,ยังไม่มีเอกสาร,ตัด เจียร์ เชื่อม Modify Line Pipe,"Cut, grind, weld Modify Line Pipe",1,ยังไม่มีเอกสาร,No documents yet
484,PP3,-,-,Unsafe Condition,-,Permit Virifier ยังไม่ได้ลงชื่อ,เปลี่ยนโคมไฟ,change lamp,5,permit rectifier ยังไม่ได้ลงชื่อ,The permit rectifier has not been signed.
486,HDPE1,-,-,Unsafe Condition,Electrical & Grounding,ผู้ปฏิบัติงานตั้งนั่งร้าน ยืนอยู่บน blower,ตั้งนั่งร้านบริเวณ C400,Install scaffolding around C400,1,ผู้ปฏิบัติงานตั้งนั่งร้าน ยืนอยู่บน blower,"A worker erects a scaffold, standing on the blower."
488,PP2,-,-,Unsafe Condition,PTW & JSA,"ตรวจสอบ JSA พบขาดการวิเคราะห์ในหัวข้อที่ 5 และ 5.1,5.2 และพบ Permit Requester และ File VerIfier ยังไม่เซ็นเอกสารตรวจสอบมาตราการ",Welding Cutting Flare,Welding Cutting Flare,56,"ตรวจสอบ jsa พบขาด วิเคราะห์ในหัวข้อที่ , 5.1 , 5.2 , พบ permit requestor , file verifyfiber ยังไม่เซ็นเอกสารตรวจสอบมาตราย","Check jsa found missing, analyzed in topics , 5.1 , 5.2 , found permit requestor , file verifyfiber has not signed the document to verify the clause"
492,Blownfilm,-,-,Unsafe Condition,-,พบไม่มีการลงข้อมูลในช่อง Simple Lock ในเอกสาร Work Permit,"งานติดตั้ง Gear ",Gear installation work,29,พบไม่มีwork permitลงข้อมูลในช่อง simple lock ในเอกสาร work permit,There is no work permit found. Enter the information in the simple lock field in the work permit document.
494,HDPE4,-,-,Unsafe Condition,-,"พบว่าพนักงานผู้ขออนุญาต และเป็น safety lead ควบคุมงานด้วย จากการสอบถามพนักงานและขอดูบัตร safety lead พบว่ายังไม่มีบัตรเพราะไม่ได้ขึ้นทะเบียนsafety lead ",ขนย้าย Battery Substation,Transport Battery Substation,11,"พบว่าพนักงานผู้ขออนุญาต , เป็น safety lead ควบคุมงานด้วย จากสอบถามพนักงาน , ขอดูบัตร safety lead พบว่ายังไม่มีบัตรเพราะไม่ได้ขึ้นระเบียบsafety lead","It was found that the employee who asked for permission, was a safety lead, also supervising the work. From asking the staff, asking to see the safety lead card, it was found that there was no card because safety lead regulations were not posted."
499,HDPE4,-,-,Unsafe Condition,-,พบว่ายังไม่มีการตัดแยกระบบ ไนโตรเจน ออกจากLine ที่ connect กับ Blower แต่มีการตัดแยกระบบพลังงานไฟฟ้าแบบ simple lock ที่Substation เรียบร้อยแล้ว,Replace belt blower C-7402B,Replace belt blower C-7402B,1,"พบว่ายังไม่มี ตัดแยกระบบ ไนโตรเจนเนอร์เรเตอร์ ออกจากline ที่ connect , blower แต่มีพตัดแยกระบบลังงานไฟฟ้าแบบsimple lock ที่ substationเรียบร้อย แล้ว","Found that the nitrogen generator system has not been disconnected from the line that connects, the blower, but the simple lock electrical power system at the substation has already been disconnected."
500,HDPE4,-,-,Unsafe Condition,-,พบว่าสีของ Tag out เป็นสีแดง ซึ่งไม่ถูกต้องตามมาตรฐาน SE-O-0010_Rev. 016_การแขวนกุญแจและป้ายเตือนความปลอดภัย การตัดแยกแหล่งพลังงานอันตราย (Lock out Tag out),Replace belt blower C-7402B,Replace belt blower C-7402B,1,"พบว่าสีของ tag out เป็นสีแดง ซึ่งไม่ถูกต้องตามาตรฐาน _revamp.แขวนกุญแจ , out เตือน ความปลอดภัยตัดแยกแหน่งลังงานอันตราย lock out tag out","Found that the color of the tag out is red, which is not correct according to the standard. _revamp.hang key , out warning safety cut off dangerous energy lock out tag out"
501,Catalyst&Pilot plant,-,-,Unsafe Condition,-,มีถัง200ลิตรที่เป็นสารไวไฟ ใกล้จุดปฏิบัติงาน ที่มีงานเชื่อม,ตัดเชื่อม TnBT,Welding cutting TnBT,1,มีถัง ลิตรที่เป็นสารไว้ไฟ ใกล้จุดปฏิบัติงาน ที่มีงานเชื่อม,There is a liter tank that is a flammable substance. near the operating point with welding work
504,GA Site7,-,-,Unsafe Condition,-,ตรวจสอบjsaยังประเมิน ขั้นตอนการทำงานไม่ครบถ้วน,ตีเส้นจราจร,mark the traffic,22,ตรวจสอบjsaยังประเมิน ขั้นตอนการทำงานไม่ครบถ้วน,check jsa also evaluate The procedure is incomplete.
505,GA Site7,-,-,Unsafe Condition,-,มีการปิดกั้นพื้นที่แต่ไม่มีป้ายติดพื้นที่ปฏิบัติงาน,ตีเส้นจราจร,mark the traffic,10,มีการปิดกั้นพื้นที่แต่ไม่มีติดพื้นที่ปฏิบัติงาน,The area is blocked but not attached to the working area.
508,Catalyst&Pilot plant,-,-,Unsafe Condition,SL Performance,"ตรวจสอบการเติมน้ำมันเครื่อง Generator พบไม่มีถาดรองน้ำมัน ",Welding Cutting Pipe Line,Welding Cutting Pipe Line,4,ตรวจสอบเติมน้ำมันเครื่อง generator พบไม่มีถาดรองน้ำมัน,"Check to fill the generator oil, found no oil tray."
509,Catalyst&Pilot plant,-,-,Unsafe Condition,SL Performance,ตรวจสอบพบ Regulator ยังไม่ได้ตรวจสอบและออกสติกเกอร์,Welding Cutting Pipe Line,Welding Cutting Pipe Line,4,"ตรวจสอบพบ regulator ยังไม่ได้ตรวจสอบ , ออกสติ๊กเกอร์","Verify that the regulator has not yet inspected, issued a sticker"
511,PP1,-,-,Unsafe Condition,-,ตรวจสอบ Work Permit พบหัวข้อ 1.3 และหัวข้อที่ 3 Safety Lead ไม่เซ็นเอกสาร (ผู้ปฏิบัติงานทำงานแล้ว),"Open Inspection Fillter ",Open Inspection Fillter,2,"ตรวจสอบ work permit พบหัวข้อ 1.3 , หัวข้อที่ safety lead ไม่เซ็นเอกสาร ผู้ปฏิบัติงานทำงานแล้ว","Check the work permit found section 1.3, the section that the safety lead did not sign the document. Worker is working"
515,PP2,-,-,Unsafe Condition,-,งานประกอบหน้าแปลนผู้ปฏิบัติงานอยู่ในตำแหน่ง line of fire ถ้าค้อนหลุดมือจะโดนผู้ปฏิบัติงานที่อยู่ด้านตรงข้ามได้,ประกอบ PCS line,Assembly PCS line,1,งานประกอบหน้าแปลนผู้ปฏิบัติงานอยู่ในตำแหน่ง line of fire ถ้าค้อนหลุดมือจะโดนผู้ปฏิบัติงานที่อยู่ด้านตรงข้ามได้,"In flange assembly work, the worker is in line of fire position. If the hammer slips, it will hit the worker on the opposite side."
517,PP1,-,-,Unsafe Condition,PPE,"พบเอกสาร SWC WAH ทาง SAFETY LEAD , PERMIT REQUESTOR ลงชื่อรับรองก่อนรวจสอบมาตรการ WAH",REPLACE VALVE  LINE STEAM D-201,REPLACE VALVE  LINE STEAM D-201,1,"พบเอกสาร swp wah ทาง safety lead , permit requestor ลงชื่อรับรองก่อนรวจสอบมาตรการ wah","found document swp wah via safety lead, permit requestor sign and certify before inspecting wah measures"
519,HDPE4,-,-,Unsafe Condition,PPE,Lifting Plan ยังไม่ได้คำนวณ ข้อ 2.7 Lifting Condition,ขนย้ายอุปกรณ์นั่งร้านด้วยรถบรรทุกเฮี้ยบ,Move the scaffolding equipment with a heavy truck.,16,lifting plan ยังไม่ได้คำนวณ ข้อ 2.7 lifting condition,lifting plan has not been calculated item 2.7 lifting condition
521,HDPE4,-,-,Unsafe Condition,PPE,"ไม่ได้ระบุ หมายเลข LOTO ลงบนwork permit ",Install line steam,Install line steam,22,ไม่ได้ระบุ หมายเลข loto ลงบนwork permit,The loto number is not specified on the work permit.
522,HDPE3,-,-,Unsafe Condition,SL Performance,ไม่พบเอกสารการบันทึกผลการตรวจร่างกายเบื้องต้น,งานหุ้ม Insulation,Insulation work,13,ไม่พบเอกสารร่างบันทึกผลตรวจรางกายเบื้องต้น,The preliminary physical examination result record document was not found.
523,PP1,-,-,Unsafe Condition,Work at height,ตรวจสอบ Safe Work Certificate Working at Height พบการประเมินหัวข้อ 12 หน้างานไม่เกี่ยวข้อง ติ๊กข้อมูล ผ่าน,Install Support Conduit,Install Support Conduit,38,ตรวจสอบ safe work certificate workinject stat height พบการประเมินหัวข้อ หน้างานไม่เกี่ยวข้อง ติ๊กข้อมูล,"check safe work certificate workinject stat height topic assessment found The job page is not relevant, tick the information."
525,PP3,-,-,Unsafe Condition,-,มีการใช้เครื่องสกัดปูน แบบไฟฟ้า แต่ไม่ได้ระบุที่ work permit,ซ่อมพื้นปูน,cement floor repair,1,มีwork permitใช้เครื่องสกัดปูน แบบไฟฟ้า แต่ไม่ได้ระบุที่ work permit,"There is a work permit to use an electric masonry machine, but it is not specified on the work permit."
527,PP1,-,-,Unsafe Condition,SL Performance,ตรวจสอบพบจุดต่อ Argon เข้าเครื่องเชื่อมไม่ใช้ เข็มขัดรัดสาย,Welding Cutting Valve Frank M-302,Welding Cutting Valve Frank M-302,1,ตรวจสอบพบจุดต่อ argon เข้าเครื่องเชื่อมไม่ใช้ เข็มขัดรัดสาย,Check that the argon connection point to the welding machine is not used. strap belt
528,LLDPE,-,-,Unsafe Condition,Process & Operation,"ตรวจสอบงาน Lifting By Crane 70 ton พบเอกสาร Safe Work Certificate แนบไม่ Update 
เดิม SE-F-0213 Rev.002
ใหม่ SE-F-0213 Rev.004",Install Pump Cooling D-900C,Install Pump Cooling D-900C,39,"ตรวจสอบงาน lifting by พบเอกสาร safe work certificate แนบไม่ update , เดิม revamp. , rev revamp.","check lifting by job found safe work certificate attached not update , original revamp. , rev revamp."
530,HDPE3,-,-,-,-,ประเมินไม่ครบ,Water Jet Plat E-4402B,Water Jet Plat E-4402B,1,ประเมินไม่ครบ,not fully assessed
530,HDPE3,-,-,-,-,ประเมินไม่ครบ,Water Jet Plat E-4402B,Water Jet Plat E-4402B,1,ประเมินไม่ครบ,not fully assessed
530,HDPE3,-,-,-,-,ประเมินไม่ครบ,ตั้งนั่งร้าน,set up scaffolding,1,ประเมินไม่ครบ,not fully assessed
531,PP1,-,-,Unsafe Condition,-,ตรวจสอบ Work Permit พบเอกสารแนบ แบบฟอร์มการวางแผนการยก (Lifting Plan)แต่ไม่ติ๊กข้อมูลใน Work Permit หัวข้อ 1.4,Lifting Big Frank Cleaning C-203,Lifting Big Frank Cleaning C-203,17,ตรวจสอบ work permit พบเอกสารแนบ แบบแอร์1.4วางแผนยก liftingplan ไม่ แต่ติ๊กข้อมูลwork permitใน หัว ข้อ,"Check the work permit, find the attachment type Air Conditioning 1.4, no plans to lift the lifting plan, but check the work permit information in the topic"
531,PP1,-,-,Unsafe Condition,-,ตรวจสอบ Work Permit พบเอกสารแนบ แบบฟอร์มการวางแผนการยก (Lifting Plan)แต่ไม่ติ๊กข้อมูลใน Work Permit หัวข้อ 1.4,Lifting Big Frank C-203,Lifting Big Frank C-203,17,ตรวจสอบ work permit พบเอกสารแนบ แบบแอร์1.4วางแผนยก liftingplan ไม่ แต่ติ๊กข้อมูลwork permitใน หัว ข้อ,"Check the work permit, find the attachment type Air Conditioning 1.4, no plans to lift the lifting plan, but check the work permit information in the topic"
532,HDPE3,-,-,Unsafe Condition,PPE,ไม่มีผู้ควบคุมไฟฟ้าที่หน้างาน,modify platform D5110A,modify platform D5110A,1,ไม่มีผู้ควบคุมไฟฟ้าที่หน้างาน,There is no electric operator on site.
533,PP1,-,-,Unsafe Condition,Hot Work,"ตรวจสอบพบงานทาสี Line พบไม่สวมใส่ MASK ป้องกันและตรวจสอบ JSA ไม่พบการประเมินระบุไว้ ","ถอดประกอบ + ทาสี #200,#300","Disassemble + paint #200,#300",1,"ตรวจสอบพบงานทาสี line พบไม่สวมใส่ mask ป้องกัน , ตรวจสอบ jsa ไม่พบการประเมินระบุไว้","Inspect line paint job, found not wearing protective mask, check jsa, not found the specified assessment."
534,HDPE4,-,-,Unsafe Condition,-,มีการทำLOTO แต่หน้าwork permit ไม่ได้ลงเลข Lock box,Clean OB silo,Clean OB silo,21,มีwork permitทำloto แต่หน้าwork permit ไม่ได้ลงเลข lock box,"Have a work permit to do loto, but the work permit page does not enter the lock box number"
537,HDPE2,-,-,Unsafe Condition,Water jet,ใน JSA มีการประเมินที่ไม่ครอบคลุม เนื่องจากไม่มีการประเมินเกี่ยวกับทำงานที่สูง และ เครื่อง Water Jet ที่เป็นอุปกรณ์ไฟฟ้า,Water Jet Plat E-4402B,Water Jet Plat E-4402B,1,"ใน jsa มีการประเมินที่ไม่ครอบคลุม เนื่องจากไม่มีการประเมินเกี่ยว , ทำงานที่สูง , เครื่อง water jet ที่เป็นอุปกรณ์ไฟฟ้า","In jsa there is a non comprehensive evaluation. Because there is no appraisal about, working at height, the water jet is an electrical device."
540,HDPE2,-,-,Unsafe Condition,Water jet,ไม่มีการสวมใส่อุปกรณ์,Water Jet Plat E-4402B,Water Jet Plat E-4402B,1,ไม่มีสวมใส่อุปกรณ์,no wearing equipment
541,PP3,-,-,Unsafe Condition,-,WAH Certificate เป็น revise เก่ายังไม่อัพเดท,Install scaffolding,Install scaffolding,8,wah certificate เป็น reuse เก่ายังไม่อัด,"wah certificate is the old reuse, uncompressed"
543,HDPE4,-,-,Unsafe Condition,Chemical Work,เอกสารJSAไม่ครบ,เจาะใส่valve bund Diesel Generator,Drilling into the valve bund Diesel Generator,10,เอกสารjsaไม่ครบ,missing jsa documentation
544,HDPE4,-,-,Unsafe Condition,Lifting,ไม่ได้ลงเลข LOTO ที่หน้า work permit,ยกปั้มด้วยเครน 70ตัน,Lift the pump with a 70 ton crane.,30,ไม่ได้ลงเลข loto ที่หน้า work permit,did not enter the loto number on the work permit page
545,HDPE4,-,-,Unsafe Condition,Pressure test,"วิศวกร ME ยังไม่ได้เซ็นรับรอง ",เจาะติดตั้งรางระบายน้ำ,drilling holes to install drains,1,วิศวกร measurement ยังไม่ได้เซ็นรับรอง,The measurement engineer has not yet signed the certification.
546,HDPE4,-,-,Unsafe Condition,-,มีการทำงานที่สูงแต่ ไม่ได้เลือก WAH Certificate ที่ work permit,Uninstall Insulation,Uninstall Insulation,23,มีการทำงานที่สูงแต่ ไม่ได้เหลือ wah certificate ที่ work permit,Have a high work but do not have a wah certificate left at the work permit
547,HDPE2,-,-,Unsafe Condition,Installation/ Alignment,ไม่พบเอกสาร Work at Height,งานติดตั้งนั่งร้าน บ่อ API,"Installation of scaffolding, API wells",24,ไม่พบเอกสาร work stat height,The work stat height document was not found.
549,Store Site7,-,-,Unsafe Condition,Civil,มีการทำงานบดอัดดินด้วยเครื่องตบดิน แต่ไม่ได้ระบุลักษณะงาน และเครื่องมือที่ใช้ บนwork permit,เข้าแบบ ผูกเหล็ก บดอัดดิน,"Enter the form, bind the steel, compact the soil.",1,"มีการทำงานบดอัดดินด้วยเครื่องตบดิน แต่ไม่ได้ระบุลักษณะงาน , เครื่องมือที่ใช้ บนwork permit","There is work to compact the soil with a soil compaction machine. but does not specify the nature of work, tools used on the work permit"
554,PP2,-,-,Unsafe Condition,-,"ตรวจสอบ Lifting By HIAB 8 Ton พบเอกสาร Safe Work Certificate แนบไม่ Update 
- เดิม SE-F-0213 Rev.002
- ใหม่ SE-F-0213 Rev.004",Lifting Water Jet,Lifting Water Jet,35,"ตรวจสอบ lifting by พบเอกสาร safe work certificate แนบไม่ update , เดิมrevamp . , revrevamp.","check lifting by found safe work certificate attached not update , former revamp . , revrevamp."
556,PP1,-,-,Unsafe Condition,-,ตรวจสอบพบ JSA ข้อ 5.1 ขาดการประเมิน,Loose Bolt Z-501,Loose Bolt Z-501,69,ตรวจสอบพบ jsa ข้อ 5.1 ขาดการประเมิน,Check found jsa clause 5.1 is missing evaluation.
557,Bagging Site3,-,-,Unsafe Condition,SL Performance,พบอุปกรณ์ช่วยยกไม่ผ่านการตรวจสภาพ และ สภาพไม่พร้อมใช้งาน,งานตัด-เจียร-ถอดประกอบอุปกรณ์ตรวจจับโลหะ,Cutting-Grinding-Disassembly of metal detector equipment,11,"พบอุปกรณ์ช่วยยกไม่ ตรวจสภาพ , สภาพไม่พร้อมใช้งาน","Lifting equipment was found not inspected, the condition was not ready to use."
558,PP1,-,-,Unsafe Condition,Process & Operation,"ตรวจสอบ Work Permit พบ 
หัวข้อ 1.2 (จำนวนคนทำงาน)และ
หัวข้อ 1.3 (ไม่ลงชื่อ Safety Lead)",ประกอบชิ้นงาน Chemical Cleaning,Assembling Chemical Cleaning,56,"ตรวจสอบ work permit พบ , หัวข้อ 1.2 จำนวนคนทำงาน , หัวข้อ 1.3 ไม่ลงชื่อ safety lead","Check the work permit found, section 1.2 number of people working, section 1.3 without safety lead sign."
560,HDPE1,-,-,Unsafe Condition,-,"ตรวจสอบพบเอกสาร Safe Work Certificate ไม่ Update Version เก่า  ","ถอดฝา D-901 ",Remove D-901 cap.,22,ตรวจสอบพบเอกสาร safe work certificate ไม่ update version เก่า,Detect safe work certificate document not update old version
563,Catalyst&Pilot plant,-,-,Unsafe Condition,Hot Work,"ตรวจสอบ JSA พบหัวข้อ 5 5.1 และ 5.2 ประเมินการทำงานไม่ตรงกับหน้างานจริง มีการมุด มีการปีน ลอด
",Welding Cutting Pipe/Spool,Welding Cutting Pipe/Spool,9,"ตรวจสอบ jsa พบหัวข้อ 5.1 , 5.2 ประเมินการทำงานไม่ตรง , หน้างานจริง มีลอดหมุด มีปีนหลอด","Examine jsa, found topics 5.1, 5.2, assessment of work is not correct, at the actual work site, there are pins and tubes."
565,HDPE2,-,-,Unsafe Condition,SL Performance,พบทีมงานนำรอกมาเกี่ยวไว้กับช่องของท่อ Pipe นั่งร้านเพื่อยกอุปกรณ์ขึ้นประกอบ ซึ่งไม่ตรงตามขั้นตอนวิธีการทำงานที่กำหนดใน JSA,งานประกอบ Blind,Blind Assembly,1,"พบทีมงานนำรอกมาเกี่ยวไว้ , ช่องของท่อ pipe นั่งร้าน , ยกอุปกรณ์ขึ้นประกอบ ซึ่งไม่ตรงตามขั้นตอนวิธีการทำงานที่กำหนดใน jsa","Found the team bringing the pulley to hook, the channel of the scaffolding pipe, lifting the equipment to assemble. which does not meet the working algorithm defined in jsa"
566,HDPE4,-,-,Unsafe Condition,Work at height,"JSA ไม่ได้ประเมินความเสี่ยงเกี่ยวกับการใช้บล๊อกลม ","ถอด Plate Exchanger ",Remove Plate Exchanger,1,"jsa ไม่ได้ประเมินความเสี่ยงเกี่ยว , ล๊อกลมใช้ลอก","jsa does not assess the risks associated with , wind locks use peel"
567,PP3,-,-,Unsafe Condition,Work Procedure,อุปกรณ์ช่วยยก (สลิงผ้า) ยังไม่ผ่านการตรวจสภาพ,"ติดตั้งมิตเตอร์ / ยกPipe ",Install Meter / Raise Pipe,6,อุปกรณ์ช่วยยก สลิง ยังไม่ตรวจสภาพ,"Lifting equipment, slings, unchecked condition"
568,PP3,-,-,Unsafe Condition,Work Procedure,Lifting Plan ยังไม่อัพเดท ยังใช้ Rev.เก่า,"ติดตั้งมิตเตอร์ / ยกPipe ",Install Meter / Raise Pipe,5,lifting plan ยังไม่อัด ยังใช้ revamp.เก่า,"The lifting plan hasn't been recorded yet, still using the old revamp."
569,Catalyst&Pilot plant,-,-,Unsafe Condition,Process & Operation,"ตรวจสอบ JSA พบขาดการตรวจสอบมาตราการจหัวข้อ 6.1 โดย Safety Lead ","PM Grounding System ",PM Grounding System,29,ตรวจสอบ jsa พบขาด6.1ตรวจสอบมาตรายหัวข้อโดยsafety lead,check jsa found missing 6.1 check topic section by safety lead
569,Catalyst&Pilot plant,-,-,Unsafe Condition,Process & Operation,"ตรวจสอบ JSA พบขาดการตรวจสอบมาตราการจหัวข้อ 6.1 โดย Safety Lead ","PM Function Test Fire Alarm FM-01,02","PM Function Test Fire Alarm FM-01,02",29,ตรวจสอบ jsa พบขาด6.1ตรวจสอบมาตรายหัวข้อโดยsafety lead,check jsa found missing 6.1 check topic section by safety lead
570,Catalyst&Pilot plant,-,-,Unsafe Condition,-,"ตรวจสอบ Work Permit พบมีการทำงานบนที่สูงแต่ไม่ลงข้อมูลในหัวข้อ 1.4 งานบนที่สูง ",งานติดตั้งฉนวน,insulation installation,33,ตรวจสอบ work permit พบมีการทำงานบนที่สูงแต่ไม่ลงข้อมูลในหัวข้อ 1.4 งานบนที่สูง,"Check the work permit, found working at height but not posting information in section 1.4 Work at height"
571,Catalyst&Pilot plant,-,-,Unsafe Condition,-,ตรวจสอบการทำงานพบมีการทำงานบนที่สูง ตรวจสอบ Safe work certificate งานบนที่สูงพบไม่มีการตรวจสอบในเอกสารและเซ็นเอกสารโดย Permit Requester,งานติดตั้งฉนวน,insulation installation,85,"ตรวจสอบการทำงานพบมีการทำงานบนที่สูง ตรวจสอบ safe work certificate งานบนที่สูงพบไม่มีตรวจสอบในเอกสาร , เซ็นเอกสารโดย permit requestor","Work inspection, found work at height, check safe work certificate Work at height, found no check on documents, document signed by permit requestor"
573,Bagging Site3,-,-,Unsafe Condition,Water jet,พบมีการนำน้ำยา WD-40 มาใช้ที่หน้างานและไม่มีการจัดเก็บโดยวางทิ้งไว้บริเวณหน้างานตัด-เจียร,งานตัด-ติดตั้งประกอบอุปกรณ์ตรวจจับโลหะ,Cutting-Installation of Metal Detector Equipment,1,"พบมีการนำน้ำยา มาใช้ที่หน้างาน , ไม่มีจัดเก็บโดยวางทิ้งไว้บริเวณหน้างานตัด เจียร์","It was found that the drug Come to use at the work site, no storage by leaving it in the cutting and grinding work area."
576,LDPE,-,-,Unsafe Condition,Water jet,ไม่ลงข้อมูล no. กุญแจ simple lock ใน work permit,ถอด blower B-703A,Remove the blower B-703A.,9,ไม่ลงข้อมูล no. กุญแจ simple lock ใน work permit,Do not enter information no. key simple lock in work permit
