words,spell,correct,frequency
ทรัพย์สิน,['ทรัพย์สิน'],ทรัพย์สิน,3
ทราบ,['ทราบ'],ทราบ,4
ทราย,['ทราย'],ทราย,26
ทริป,['ทริป'],ทริป,3
ทรุด,['ทรุด'],ทรุด,2
ทวน,['ทวน'],ทวน,2
ท่วม,['ท่วม'],ท่วม,2
ทอ,['ทอ'],ทอ,2
ท่อ,['ท่อ'],ท่อ,467
ท่อไอเสีย,['ท่อไอเสีย'],ท่อไอเสีย,8
ทอง,['ทอง'],ทอง,3
ทอง,['ท้อง'],ท้อง,3
ท้อง,['ท้อง'],ท้อง,3
ทองเหลือง,['ทองเหลือง'],ทองเหลือง,2
ทองแดง,['ทองแดง'],ทองแดง,2
ท้อน,['ท้อน'],ท้อน,2
ท่อน้ำ,['ท่อน้ำ'],ท่อน้ำ,2
ท่อระบายน้ำ,['ท่อระบายน้ำ'],ท่อระบายน้ำ,2
ทั้ง,['ทั้ง'],ทั้ง,8
ทั้งสอง,['ทั้งผอง'],ทั้งผอง,2
ทั้งหมด,['ทั้งหมด'],ทั้งหมด,2
ทัน,['ทัน'],ทัน,3
ทันที,['ทันที'],ทันที,2
ทับ,['ทับ'],ทับ,2
ทับซ้อน,['ทับซ้อน'],ทับซ้อน,5
ทั่ว,['ทั่ว'],ทั่ว,3
ทั่วไป,['ทั่วไป'],ทั่วไป,108
ทา,['ทำ'],ทำ,3
ทา,['ทา'],ทา,2
ท่า,['ท่า'],ท่า,4
ท้า,['ท้า'],ท้า,2
ทํา,"['ทำ', 'ท่า', 'ทา', 'ทรา', 'ท้า', 'ทยา', 'ทนา', 'ทวา', 'ทมา', 'ทศา', 'ทหา']",ทํา,242
ทาง,['ทาง'],ทาง,24
ทางเข้า,['ทางเข้า'],ทางเข้า,8
ทางเดิน,['ทางเดิน'],ทางเดิน,18
ทางขึ้น,"['ทางขึ้น', 'ข้างขึ้น', 'ท้องขึ้น', 'ฟังขึ้น']",ทางขึ้น,14
ทางลง,"['ทาง', 'ทางหลวง', 'ทางใน', 'กาหลง', 'ทางค์', 'ยางลบ', 'ทาล', 'ลางลิง', 'ทางค']",ทาง,2
ทางออก,['ทางออก'],ทางออก,4
ท่าทาง,['ท่าทาง'],ท่าทาง,2
ทาน,['ทาน'],ทาน,10
ท้าย,['ท้าย'],ท้าย,50
ทาส,['ทาสี'],ทาสี,5
ทาสี,['ทาสี'],ทาสี,460
ทำ,['ทำ'],ทำ,256
ทำเป็น,['ทำเป็น'],ทำเป็น,2
ทำให้,['ทำให้'],ทำให้,43
ทำให้เกิด,['ทำให้เกิด'],ทำให้เกิด,6
ทำการ,['ทำการ'],ทำการ,77
ทำความ,"['ความ', 'ตีความ', 'บทความ', 'หาความ', 'ใจความ', 'พลความ', 'สความ', 'เสความ']",ทำความ,2
ทำความสะอาด,['ทำความสะอาด'],ทำความสะอาด,44
ทำงาน,['ทำงาน'],ทำงาน,139
ทำต่อ,"['ต่อ', 'ท่อ', 'ทำท่า', 'ทำตัว', 'ทำตา', 'ทื่อ', 'คำย่อ', 'เต่อ', 'คอต่อ', 'จต่อ', 'ลต่อ', 'ตต่อ']",ทำต่อ,2
ทำตัว,['ทำตัว'],ทำตัว,2
ทำบุญ,['ทำบุญ'],ทำบุญ,2
ทำรัง,"['กำลัง', 'ทรง', 'ดำรง', 'ทำนอง', 'รัง', 'บำรุง', 'ทำตัว', 'สำรอง', 'ลำพัง', 'ตำรับ', 'ตรัง', 'ธำรง', 'ทรวง', 'ทำหนัง', 'สำรับ', 'ทัง', 'ทรัย', 'ดำรัส', 'กำบัง', 'ทดรอง', 'จีรัง', 'ทำครัว', 'ทำฟัน', 'จำรัส', 'ฟรัง', 'ตะรัง', 'กรัง', 'ทรัพ', 'ทราง', 'ทรัล', 'ยะรัง', 'ทอรัส', 'อำรุง', 'ทรัม', 'กะรัง', 'ทรัฟ', 'ปรัง', 'ฝรัง', 'ครัง', 'จำบัง', 'ทำลิง', 'ทรับ', 'ทรัส', 'สปรัง', 'หรัง']",กำลัง,2
ทิง,['ทิ้ง'],ทิ้ง,2
ทิ้ง,['ทิ้ง'],ทิ้ง,27
ทินเนอร์,['ทินเนอร์'],ทินเนอร์,5
ทิศใต้,['ทิศใต้'],ทิศใต้,2
ทิศตะวันตก,['ทิศตะวันตก'],ทิศตะวันตก,2
ทิศทาง,['ทิศทาง'],ทิศทาง,3
ที,['ที่'],ที่,6
ที,['ที'],ที,5
ที่,['ที่'],ที่,557
ที่เก็บ,['ที่เก็บ'],ที่เก็บ,9
ที่เกิด,['ที่เกิด'],ที่เกิด,2
ที่แล้ว,['ที่แล้ว'],ที่แล้ว,2
ที่จะ,"['ที่จะ', 'ที่', 'ที่มา', 'ทีละ', 'ที่นา', 'ท่ะ', 'ที่่', 'ที่ม', 'ที่ฮ', 'ทีจ']",ที่จะ,10
ที่ทำงาน,['ที่ทำการ'],ที่ทำการ,21
ทีม,['ทีม'],ทีม,10
ทีมงาน,['ทีมงาน'],ทีมงาน,23
ที่มา,['ที่มา'],ที่มา,7
ทีละ,['ทีละ'],ทีละ,3
ที่วัด,['ที่วัด'],ที่วัด,3
ที่สูง,"['ที่สูง', 'ที่สุด', 'ที่ทาง', 'ใฝ่สูง']",ที่สูง,25
ที่อยู่,['ที่อยู่'],ที่อยู่,5
ทุก,['ทุก'],ทุก,10
ทุกคน,"['ทุกคน', 'ทุกหน']",ทุกคน,2
ทุกครั้ง,['ทุกครั้ง'],ทุกครั้ง,2
ทุกครั้งที่,['ทุกครั้งที่'],ทุกครั้งที่,2
ทุกๆ,"['ทุก ๆ', 'ทุก', 'ทุกข']",ทุก ๆ,2
ทุน,['ทุ่น'],ทุ่น,10
ทุ่น,['ทุ่น'],ทุ่น,10
ทุ้น,['ทุ่น'],ทุ่น,10
ทุ๊น,['ทุ่น'],ทุ่น,10
ทุ่นลอยน้ำ,['ทุ่นลอยน้ำ'],ทุ่นลอยน้ำ,6
ธง,['ธง'],ธง,6
ธรรมดา,['ธรรมดา'],ธรรมดา,2
ธี,['ธี'],ธี,4
ธุรกิจ,['ธุรกิจ'],ธุรกิจ,5
นก,['นก'],นก,4
นข,['นข'],ขา,15
นขา,['ขา'],ขา,3
น้ง,['นั่ง'],นั่ง,2
นม,['นม'],นม,2
นวณ,['นวณ'],นวณ,6
นวณ,['นวณ'],นวณ,4
นวน,['นวน'],นวน,5
นวน,['นวณ'],นวณ,4
นอ,['นอ'],นอก,3
นอก,['นอก'],นอก,17
น้อง,['น้อง'],น้อง,7
น้อต,"['น็อต', 'น้อย', 'น้อง', 'น้อม', 'น็อต', 'นอต', 'น้อ', 'น้อน', 'ช้อต', 'น้อบ']",น็อต,2
น๊อต,"['น็อต', 'น้อย', 'น้อง', 'น้อม', 'น็อต', 'นอต', 'น้อ', 'น้อน', 'ช้อต', 'น้อบ']",น็อต,9
น็อต,"['น็อต', 'น้อย', 'น้อง', 'น้อม', 'น็อต', 'นอต', 'น้อ', 'น้อน', 'ช้อต', 'น้อบ']",น็อต,16
นอน,"['น็อต', 'น้อย', 'น้อง', 'น้อม', 'น็อต', 'นอต', 'น้อ', 'น้อน', 'ช้อต', 'น้อบ']",น็อต,5
น้อยกว่า,['น้อยกว่า'],น้อยกว่า,3
น้อยกว่า,['น้อยกว่า'],น้อยกว่า,2
นัง,['นั่ง'],นั่ง,70
นั่ง,['นั่ง'],นั่ง,59
นั้ง,['นั้ง'],นั่ง,100
น่ัง,"['นั่ง', 'นัง', 'น่อง', 'น่าง', 'น่ง']",นั่ง,6
นั่งร้าน,['นั่งร้าน'],นั่งร้าน,2719
นั้น,['นั้น'],นั้น,9
นั้นๆ,['นั้น ๆ'],นั้น ๆ,2
นัั่ง,['นั่ง'],นั่ง,3
น้า,['น้า'],น้ำ,2
น้้า,"['น้า', 'น้าา', 'นห้า']",น้ำ,2
นํ้า,"['น้า', 'นห้า']",น้ำ,128
นาน,['นาน'],นาน,2
นาบ,['นาบ'],นาบ,5
นำ,['นำ'],นำ,473
นำ้,"['น้ำ', 'นี้', 'นำ', 'นู้']",น้ำ,2
น้ำ,['น้ำ'],น้ำ,126
น้ำ,['น้ำ'],น้ำ,20
น้ำ,['น้ำ'],น้ำ,2
น้ำ,['น้ำ'],น้ำ,2
น้้ำ,['น้ำ'],น้ำ,3
น้ำเงิน,['น้ำเงิน'],น้ำเงิน,2
น้ำเสีย,['น้ำเสียง'],น้ำเสียง,2
น้ำแข็ง,['น้ำแข็ง'],น้ำแข็ง,2
น้ำใต้ดิน,['น้ำใต้ดิน'],น้ำใต้ดิน,3
นำไปใช้,['นำไปใช้'],นำไปใช้,2
น้ำดื่ม,['น้ำดื่ม'],น้ำดื่ม,6
น้ำท่วม,['น้ำท่วม'],น้ำท่วม,3
น้ำทิ้ง,"['น้ำทิ้ง', 'น้ำผึ้ง', 'น้ำจิ้ม', 'น้ำทรง']",น้ำทิ้ง,13
น้ำฝน,['น้ำวน'],น้ำวน,2
น้ำมัน,['น้ำมัน'],น้ำมัน,40
น้ำมันเครื่อง,['น้ำมันเครื่อง'],น้ำมันเครื่อง,3
นำมา,"['นำมา', 'นำพา']",นำมา,12
นำมาใช้,['นำมาใช้'],นำมาใช้,6
น้ำยา,['น้ำยา'],น้ำยา,30
น้ำยาล้างจาน,['น้ำยาล้างจาน'],น้ำยาล้างจาน,3
น้ำหนัก,['น้ำหนัก'],น้ำหนัก,25
น้ำหอม,['น้ำหอม'],น้ำหอม,2
นิด,['นิด'],นิด,10
นิรภัย,['นิรภัย'],นิรภัย,4
นิ้ว,['นิ้ว'],นิ้ว,2
นี้,['นี้'],นี้,2
นี้งร้าน,['นั่งร้าน'],นั่งร้าน,1
นุ,['นุ'],นุ,2
บ,"['พบ', 'บน', 'ใบ', 'บท', 'จบ', 'บา', 'ลบ', 'บี', 'สบ', 'รบ', 'คบ', 'งบ', 'ตบ', 'บ่', 'โบ', 'บก', 'บู', 'บุ', 'อบ', 'เบ', 'กบ', 'ไบ', 'บิ', 'ทบ', 'บะ', 'บด', 'บอ', 'แบ', 'ซบ', 'ขบ', 'บบ', 'บล', 'บง', 'บร', 'บำ', 'บม', 'นบ', 'ดบ', 'ยบ', 'บถ', 'ชบ', 'มบ', 'หบ', 'บช', 'บส', 'วบ', 'บญ', 'บค', 'ผบ', 'ปบ', 'บต', 'ญบ', 'ฉบ', 'บศ', 'ภบ', 'บจ', 'ษบ', 'ฝบ', 'ถบ', 'บึ', 'ธบ']",พบ,2
บ่,['บ่อ'],บ่อ,3
บ่ง,['บ่ง'],บ่ง,2
บ่งชี้,['บ่งชี้'],บ่งชี้,3
บด,['บด'],บด,211
บน,['บน'],บน,282
บบ,['บบ'],บบ,5
บรร,['บรร'],บรร,5
บรรจุ,['บรรจุ'],บรรจุ,2
บรรทุก,['บรรทุก'],บรรทุก,36
บราง,"['บาง', 'บ้าง', 'ราง', 'คราง', 'บรา', 'พราง', 'ปราง', 'บ่าง', 'บราว', 'ทราง', 'วราง', 'สราง', 'บราม', 'บลาง', 'บ๊าง', 'ตราง', 'ศราง', 'บราน', 'บราส']",บาง,4
บริ,['บริ'],บริ,2
บริเวณ,['บริเวณ'],บริเวณ,571
บริษัท,['บริษัท'],บริษัท,7
บล็อก,['บล็อก'],บล็อก,2
บวน,['บวน'],บวน,2
บ่อ,['บ่อ'],บ่อ,113
บอเนต,['บอเนต'],บอเนต,3
บอก,['บอก'],บอก,7
บอก,['บอก'],บอก,4
บอน,['บอน'],บอน,5
บ่อย,['บ่อย'],บ่อย,5
บะ,['บะ'],บะ,3
บัง,['บัง'],บัง,2
บังคับ,['บังคับ'],บังคับ,3
บังหน้า,['บังหน้า'],บังหน้า,2
บัด,['บัด'],บัด,4
บัตร,['บัตร'],บัตร,4
บัน,['บัน'],บัน,2
บันใด,['บันได'],บันได,2
บันได,['บันได'],บันได,50
บันได,['บันได'],บันได,49
บันไดลิง,['บันไดลิง'],บันไดลิง,10
บัว,['บัว'],บัว,2
บัส,['บัส'],บัส,4
บาง,['บาง'],บาง,5
บาง,['บาง'],บาง,5
บางครั้ง,['บางครั้ง'],บางครั้ง,4
บางส่วน,['ทางด่วน'],ทางด่วน,2
บาด,['บาด'],บาด,8
บาดเจ็บ,['บาดเจ็บ'],บาดเจ็บ,5
บาท,['บาท'],บาท,5
บาน,['บาน'],บาน,3
บานพับ,['บานพับ'],บานพับ,2
บาย,['บาย'],บาย,11
บ่าย,['บ่าย'],บ่าย,4
บำรุง,['บำรุง'],บำรุง,4
บิด,['บิด'],บิด,2
บี,['บิด'],บิด,2
บุ,['บุ'],บุ,2
บุญ,['บุญ'],บุญ,5
ป,"['ไป', 'ปี', 'ปา', 'ปู', 'ปน', 'ปก', 'ปะ', 'โป', 'ปิ', 'ปม', 'ปอ', 'เป', 'ปร', 'ปุ', 'แป', 'ปง', 'อป', 'ปด', 'สป', 'ปต', 'ลป', 'ปฏ', 'รป', 'ใป', 'ปฤ', 'ปล', 'ปป', 'ปท', 'ยป', 'ดป', 'ทป', 'ตป', 'ปฐ', 'ธป', 'ปำ', 'ปจ', 'ปบ', 'ปณ', 'ปญ', 'ฑป', 'ปช', 'ปถ', 'ปส', 'ปค', 'ปึ', 'ถป', 'วป', 'ปพ']",ไป,16
ปกติ,['ปกติ'],ปกติ,6
ปกติ,['ปกติ'],ปกติ,5
ปกรณ์,['อุปกรณ์'],กรณ์,6
ปข,['ปก'],ปก,5
ปค,['ปค'],ปก,5
ปฎิบัติ,['ปฏิบัติ'],ปฏิบัติ,12
ปฏิบัติ,['ปฏิบัติ'],ปฏิบัติ,4
ปฏิบัติงาน,['ปฏิบัติงาน'],ปฏิบัติงาน,85
ปฐม,['ปฐม'],ปฐม,2
ปฐมพยาบาล,['ปฐมพยาบาล'],ปฐมพยาบาล,2
ปรก,['ปกติ'],ปก,7
ประ,['ประ'],ประ,24
ประเภท,['ประเภท'],ประเภท,10
ประเมิน,['ประเมิน'],ประเมิน,21
ประแจ,['ประแจ'],ประแจ,16
ประกอบ,['ประกอบ'],ประกอบ,1413
ประกอบการ,['ประกอบการ'],ประกอบการ,5
ประกันภัย,['ประกันภัย'],ประกันภัย,2
ประกายไฟ,['ประกายไฟ],ประกายไฟ,2
ประคอง,['ประคอง'],ประคอง,2
ประจำ,['ประจำ'],ประจำ,3
ประจำเดือน,['ประจำเดือน'],ประจำเดือน,4
ประจำปี,['ประจำ'],ประจำ,3
ประตู,['ประตู'],ประตู,20
ประตูรั้ว,['ประตูรั้ว'],ประตูรั้ว,2
ประมาณ,['ประมาณ'],ประมาณ,22
ปรับ,['ปรับ'],ปรับ,199
ปรับปรุง,['ปรับปรุง'],ปรับปรุง,2
ปรับพื้น,['ปรับพื้น'],ปรับพื้น,3
ปรับระดับ,['ปรับระดับ'],ปรับระดับ,93
ปรากฏ,['ปรากฏ'],ปรากฏ,2
ปริมาณ,['ปริมาณ'],ปริมาณ,2
ปรุง,['ปรุง'],ปรุง,2
ปลด,['ปลด'],ปลด,17
ปลอก,['ปลอก'],ปลอก,2
ปล่อง,['ปล่อง'],ปล่อง,43
ปลอด,['ปลอด'],ปลอด,6
ปลอดภัย,['ปลอดภัย'],ปลอดภัย,9
ปล่อย,['ปล่อย'],ปล่อย,2
ปลั๊กไฟ,['ปลั๊กไฟ'],ปลั๊กไฟ,3
ปลา,['ปลาย'],ปลาย,5
ปลาย,['ปลาย'],ปลาย,7
ปลิว,['ปลิว'],ปลิว,3
ป้อง,['ป้อง'],ป้อง,2
ป๋อง,['ป๋อง'],ป๋อง,6
ป้องกัน,['ป้องกัน'],ป้องกัน,38
ปัก,['ปัด'],ปัด,3
ปัจจุบัน,['ปัจจุบัน'],ปัจจุบัน,3
ปัญหา,['ปัญหา'],ปัญหา,5
ปัด,['ปัด'],ปัด,20
ปั่น,['ปั่น'],ปั่น,3
ปั่น,['ปั่น'],ปั้น,3
ปั้น,['ปั้น'],ปั้น,5
ปั่นไฟ,['ปั่นไฟ'],ปั่นไฟ,4
ปั้นจั่น,['ปั้นจั่น'],ปั้นจั่น,4
ปั้นจั่น,['ปั้นจั่น'],ปั้นจั่น,3
ปั้ม,['ปั๊ม'],ปั๊ม,5
ปาก,['ปาก'],ปาก,6
ปาด,['ปาด'],ปาด,3
ป่าย,['ป่าย'],ป่าย,4
ป้าย,['ป้าย'],ป้าย,36
ป้าย,['ป้าย'],ป้าย,5
ป่าว,['ป่าว'],ป่าว,2
ปิด,['ปิด'],ปิด,51
ปิดกั้น,['ปิดกั้น'],ปิดกั้น,20
ปิดงาน,"['ปิดงาน', 'จัดงาน', 'ปิดปาก', 'ปิดตาย', 'ปิดใน']",ปิดงาน,3
ปิดล้อม,"['ปิดล้อม', 'แวดล้อม']",ปิดล้อม,58
ปี,['ปีน'],ปีน,4
ปีน,['ปีน'],ปีน,13
ปีนป่าย,['ปีนป่าย'],ปีนป่าย,3
ปุ,['ปุก'],ปุก,2
ปุก,['ปุก'],ปุก,3
ปุ่ม,['ปุ่ม'],ปุ่ม,7
ปู,['ปู'],ปู,79
ปูน,['ปูน'],ปูน,447
ปูพื้น,['ปูพื้น'],ปูพื้น,2
ผนัง,['ผนัง'],ผนัง,284
ผล,['ผล'],ผล,5
ผลกระทบ,['ผลกระทบ'],ผลกระทบ,2
ผลงาน,['ผลงาน'],ผลงาน,5
ผลัก,['ผลัก'],ผลัก,6
ผลิ,['ผลิต'],ผลิต,5
ผลิด,['ผลิด'],ผลิต,7
ผลิต,['ผลิต'],ผลิต,2
ผสม,['ผสม'],ผสม,5
ผัส,['ผัส'],ผัส,5
ผ่า,['ผ่า'],ผ่า,4
ผ้า,['ผ้า'],ผ้า,57
ผ้า,['ผ้า'],ผ้า,5
ผ้าใบ,['ผ้าใบ'],ผ้าใบ,45
ผ่าน,['ผ่าน'],ผ่าน,35
ผ่าน,['ผ่าน'],ผ่าน,2
ผิ,['ผิด'],ผิด,77
ผิด,['ผิด'],ผิด,10
ผิด,['ผิด'],ผิด,9
ผิดปกติ,['ผิดปกติ'],ผิดปกติ,7
ผิว,['ผิว'],ผิว,183
ผึ้ง,['ผึ้ง'],ผึ้ง,4
ผุ,['ผุ'],ผุ,2
ผุกร่อน,['ผุกร่อน'],ผุกร่อน,2
ผู่,['ผู้'],ผู้,40
ผู้,['ผู้'],ผู้,40
ผู้แสดง,['ผู้แสดง'],ผู้แสดง,3
ผูก,['ผูก'],ผูก,295
ผูกมัด,['ผูกมัด'],ผูกมัด,18
ผู้ควบคุม,['ผู้ควบคุม'],ผู้ควบคุม,2
ผู้ช่วย,['ผู้ช่วย'],ผู้ช่วย,7
ผู้ตรวจ,['ผู้ตรวจ'],ผู้ตรวจ,2
ผู้ปฏิบัติงาน,['ผู้ปฏิบัติงาน'],ผู้ปฏิบัติงาน,119
ผู้รับเหมา,['ผู้รับเหมา'],ผู้รับเหมา,4
ผู้รับผิดชอบ,['ผู้รับผิดชอบ'],ผู้รับผิดชอบ,2
ผู้หญิง,['ผู้หญิง'],ผู้หญิง,3
ฝน,['ฝน'],ฝน,2
ฝนตก,"['ฝนตก', 'นัก', 'นอก', 'ตก', 'นึก', 'หนัก', 'นก', 'ฝน', 'ฝึก', 'สนุก', 'แตก', 'ฝาก', 'นรก', 'ผนวก', 'นาก', 'นิก', 'วิตก', 'เนตร', 'ยนต์', 'มนต์', 'ฝัก', 'ผนึก', 'พนัก', 'ชนก', 'กนก', 'เนก', 'สนิก', 'เนต', 'เนติ', 'คอตก', 'ทนต์', 'หนอก', 'ภนต์', 'นุก', 'ชนัก', 'เน็ก', 'นต', 'แนต', 'โตก', 'หนุก', 'ฉนาก', 'หนวก', 'ขนาก', 'รนต์', 'หนก', 'ไนต์', 'เนต์', 'แนก', 'เนติก', 'หนึก', 'ธนิก', 'นีก', 'ขนูก', 'ฝีก', 'สโตก', 'เตก', 'จนก', 'แน็ก', 'อันตก', 'มนต', 'มนัก', 'นต์', 'เน้ก', 'หาตก', 'สเตก', 'สนึก', 'ตแตก', 'ฝก', 'ในต์ก', 'พนวก', 'สนัก', 'คนต', 'ผนก', 'โนก', 'ปนิก', 'ฝูก']",ฝนตก,6
ฝัก,['ฝัก'],ฝัก,2
ฝักบัว,['ฝักบัว'],ฝักบัว,2
ฝัง,['ฝัง'],ฝัง,5
ฝั่ง,['ฝั่ง'],ฝั่ง,11
ฝา,['ฝา'],ฝา,147
ฝาครอบ,"['ฝาครอบ', 'ครอบ']",ฝาครอบ,2
ฝุ่น,['ฝุ่น'],ฝุ่น,8
พนักงาน,['พนักงาน'],พนักงาน,8
พบ,['พบ'],พบ,137
พบเห็น,"['พบเห็น', 'เห็น', 'อีเห็น']",พบเห็น,4
พยาบาล,['พยาบาล'],พยาบาล,3
พร้อม,['พร้อม'],พร้อม,7
พร้อมกัน,['พร้อมกับ'],พร้อมกับ,8
พร้อมทั้ง,['พร้อมทั้ง'],พร้อมทั้ง,2
พลัดตก,"['พลัดตก', 'พลัด', 'พลั่ก', 'พลัก']",พลัดตก,5
พลาส,['พลาส'],พลาส,5
พลาสติก,['พลาสติก'],พลาสติก,8
พอ,['พอ'],พอ,2
พัก,['พัก'],พัก,17
พัง,['พัง'],พัง,3
พัด,['พัด'],พัด,30
พัดลม,['พัดลม'],พัดลม,24
พัดลมระบายอากาศ,['พัดลมระบายอากาศ'],พัดลมระบายอากาศ,3
พัน,['พัน'],พัน,12
พับ,['พับ'],พับ,3
พา,['พา'],พา,18
พาด,['พาด'],พาด,21
พาน,['พาน'],พาน,2
พาหนะ,['พาหนะ'],พาหนะ,4
พาหะ,['พาหะ'],พาหะ,2
พิกัด,['พิกัด'],พิกัด,3
พิง,['พิง'],พิง,2
พิจารณา,['พิจารณา'],พิจารณา,2
พิวเตอร์,['พิวเตอร์'],พิวเตอร์,4
พิษ,['พิษ'],พิษ,2
พี่,['พี่'],พี่,3
พืช,['พืช'],พืช,3
พืน,['พื้น'],พื้น,5
พื่น,['พื้น'],พื้น,2
พื้น,['พื้น'],พื้น,70
พื้นคอนกรีต,['พื้นคอนกรีต'],พื้นคอนกรีต,23
พื้นดิน,['พื้นดิน'],พื้นดิน,2
พื้นที่,['พื้นที่'],พื้นที่,655
พื้นผิว,['พื้นผิว'],พื้นผิว,22
พุก,['พุก'],พุก,5
พุ่ง,['พุ่ง'],พุ่ง,2
พุด,['พูด'],พูด,3
พูดคุย,['พูดคุย'],พูดคุย,2
ฟ้,"['ฟ้า', 'ฟู', 'ฟา', 'ฟี', 'ฟิ', 'ฟอ', 'ฟะ', 'ฟุ', 'ฟก', 'ฟง', 'ฟ้ง', 'ฟ้อ', 'ฟม', 'ใฟ้', 'ฟต', 'ฟฎ', 'ฟี้', 'ฟด', 'ฟ้น', 'ฟล', 'โฟ้', 'ไฟ้', 'ฟจ', 'ฟู้', 'ฟน']",ฟ้า,2
ฟ้า,['ฟ้า'],ฟ้า,4
ฟาง,['ฟาง'],ฟาง,3
ฟ้าผ่า,['ฟ้าผ่า'],ฟ้าผ่า,3
ฟุ้ง,['ฟุ้ง'],ฟุ้ง,6
ฟุ้งกระจาย,['ฟุ้งกระจาย'],ฟุ้งกระจาย,5
ฟุต,['ฟุต'],ฟุต,2
ฟุตบาท,['ฟุตบาท'],ฟุตบาท,2
ภอด,"['ยอด', 'จอด', 'อด', 'ทอด', 'รอด', 'กอด', 'ถอด', 'ปอด', 'สอด', 'ลอด', 'แอด', 'ออด', 'มอด', 'บอด', 'ขอด', 'ฉอด', 'ตอด', 'คอด', 'วอด', 'โอด', 'ดอด', 'ซอด', 'พอด', 'ฟอด', 'ฮอด', 'เอด', 'นอด', 'ภอ', 'งอด', 'ผอด', 'ชอด']",ยอด,3
ภัย,['ภัย'],ภัย,6
ภาชนะ,['ภาชนะ'],ภาชนะ,2
ภาพ,['ภาพ'],ภาพ,5
ภายใน,['ภายใน'],ภายใน,47
ภายนอก,['ภายนอก'],ภายนอก,23
มอเตอร์,['มอเตอร์'],มอเตอร์,97
มอง,['มอง'],มอง,4
มองเห็น,['มองเห็น'],มองเห็น,4
มองไม่เห็น,['มองไม่เห็น'],มองไม่เห็น,2
มะลอ,['มะลอ'],มะลอ,2
มัด,['มัด'],มัด,8
มัน,['มัน'],มัน,3
มั่น,['มั่น'],มั่น,4
มั่นคง,['มั่นคง'],มั่นคง,3
มั่นคงแข็งแรง,['มั่นคงแข็งแรง'],มั่นคงแข็งแรง,2
มา,['มา'],มา,92
มาก,['มาก'],มาก,6
มากเกินไป,['มากเกินไป'],มากเกินไป,3
มากกว่า,"['มากกว่า', 'หากว่า', 'มาตรว่า']",มากกว่า,14
มากขึ้น,"['มากขึ้น', 'มือขึ้น']",มากขึ้น,2
มาจาก,"['มาจาก', 'จาก', 'มาก', 'วาจา', 'มาร์ก', 'มาลา', 'มายา', 'มาดา', 'มาดาม', 'มาตา', 'มาติก', 'ยาจก', 'มายากล', 'ตีจาก', 'กาฝาก', 'นกจาก', 'วาจก', 'อาจาด', 'อาจาร', 'มมาก', 'มาจ', 'ม้าก', 'มาสก', 'มลาก', 'มาจจ์', 'มาปก', 'สจาก', 'มาแขก', 'มายากร', 'มราก']",มาจาก,10
มาณ,['มาณ'],มาณ,2
มาตร,['มาตร'],มาตร,2
มาตรการ,['มาตรการ'],มาตรการ,37
มาตรการป้องกัน,['มาตรการป้องกัน'],มาตรการป้องกัน,8
มาตรฐาน,['มาตรฐาน'],มาตรฐาน,4
มาถ,['มาตร'],มารถ,5
ม่าน,['ม่าน'],ม่าน,3
มาบ,['มาบตาพุต'],มาบตาพุต,3
มายัง,['มายัง'],มายัง,2
มารถ,['มารถ'],มารถ,5
มิเตอร์,['มิเตอร์'],มิเตอร์,2
มิดชิด,['มิดชิด'],มิดชิด,5
มี,['มี'],มี,698
มีโอกาส,['โอกาส'],โอกาส,16
มีค่า,['มีค่า'],มีค่า,3
มีปัญหา,"['มีปัญหา', 'ขบปัญหา']",มีปัญหา,6
มีผลกระทบ,"['มีผลกระทบ', 'ผลกระทบ']",มีผลกระทบ,2
มีพิษ,['มีพิษ'],มีพิษ,4
มีส่วน,['มีส่วน'],มีส่วน,3
มืด,['มืด'],มืด,2
มือ,['มือ'],มือ,10
มือชื่อ,['มือชื่อ'],มือชื่อ,10
มือถือ,"['มือถือ', 'มือปืน', 'มือเสือ', 'มือมืด']",มือถือ,2
มือวัด,['มือวัด'],มือวัด,2
มุม,['มุม'],มุม,4
มูล,['มูล'],มูล,2
ยก,['ยก'],ยก,1229
ยกเครื่อง,['ยกเครื่อง'],ยกเครื่อง,6
ยกเลิก,['ยกเลิก'],ยกเลิก,2
่ยน,"['โยน', 'ย่น', 'เยน', 'ยน', 'แยน']",โยน,2
ยนต์,['ยนต์'],ยนต์,19
ยะ,['ยะ'],ยะ,2
ยัง,['ยัง'],ยัง,45
ยังมี,"['ยังมี', 'ยัง', 'ยังไง', 'ยังคง', 'รังสี', 'รัศมี', 'ยังชีพ', 'ยังงี้', 'มั่งมี', 'ยัม', 'ยักษี', 'ยังค์', 'ยังก์', 'มังสี']",ยังมี,3
ยัด,['ตัด'],ตัด,2
ยัน,['ยัน'],ยัน,2
ยา,['ย้าย'],ย้าย,127
ยาก,['ยาก'],ยาก,3
ยาง,['ยาง'],ยาง,5
ยาน,['ยาน'],ยาน,2
ยาน,['ย้าย'],ย้าย,2
ย้าน,['ย้าย'],ย้าย,18
ยานพาหนะ,['ยานพาหนะ'],ยานพาหนะ,2
ยาย,['ยาย'],ย้าย,3
ย้าย,['ย้าย'],ย้าย,97
ย้า่ย,['ย้าย'],ย้าย,2
ย้ายออก,['ย้ายออก'],ย้ายออก,3
ยาว,['ยาว'],ยาว,3
ย้ำ,['ย้ำ'],ย้ำ,2
ยิง,['ยิง'],ยิง,159
ยึด,['ยึด'],ยึด,24
