FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Details,TranslateDetails
300,CPD Site1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Safe Work Certificate พบการลงข้อมูลไม่สัมพันธ์ กับการปฏิบัติงาน และตรวจสอบพบ Safety Harness cและบันไดทรง A ยังไม่ได้ผ่านการตรวจและออกสติกเกอร์,"Check Safe Work Certificate, found that the data entry is not related. With the operation and found, Safety Harness c and the A-style ladder have not been inspected and issued a sticker."
301,CPD Site1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบการกั้น Barricade ด้วย EURO Tape ที่ทำการยกเลิกการใช้งานเมื่อ 1 มีนาคม 63 ,"Barricade blocking was detected with EURO Tape deprecated on March 1, 2020."
302,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบในช่อง Permit Verifier มีการลงชื่อแทน การเซ็นต์ออนไลน์,Detected in the Permit Verifier field. An alias is signed. online cents
303,Bagging Site3,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบนั่งร้านไม่มีการ UP Date ตามมาตรการที่กำหนด ( Up Date ล่าสุด 8/3/65 ),Scaffolding is detected without UP Date according to the specified measures (latest Up Date 8/3/65)
304,Warehouse Site 3,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบ อุปกรณ์ป้องกันการตกสติ๊กเกอร์หมดอายุ,Detected that the anti-drop sticker has expired.
305,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบรถเข็นที่สำหรับใส่อุปกรณ์นั่งร้านระบบเบรคใช้งานไม่ได้,"Check the wheelchair that can put the scaffolding device, the brake system is not working."
306,GA Site1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบมีการทำงานหยอดยางมะตอย ไม่พบการประเมิน JSA ,Verify that asphalt dipping is working. The JSA assessment was not found.
307,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบขาดการตรวจสอบหน้างาน,"Inspect JSA, found a lack of on-site inspection."
308,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบขาดการตรวจสอบมาตราการหัวข้อ 1.6 หน้างาน,"Inspecting JSA, found a lack of review of Section 1.6 on the job site."
309,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Work Permit เปิดเป็นงานติดตั้ง Metal Sheet พบมีการทำงานที่ต่างจากที่ Work เปิดทำงานมีงานแทรกเพิ่มคืองานเจียร์แต่งปูน,"Found Work Permit. Opened as installation of Metal Sheet. Found that there was a different job from the open Work. There was additional insertion work, which was grinding work."
310,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบงานเจียร์แต่งปูนพบ Grander ไม่สวมใส่ Handle และผู้ปฏิบัติงานด้วยกันไม่สวมใส่ Face Shield ,"Inspecting the masonry work, Grander is not wearing a handle and the operator and face shield are not wearing."
311,Bagging Site1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ Safe Work Certificate งานบนที่สูง SE-F-0286_Rev.002 ไม่พบการตรวจสอบ,Check Safe Work Certificate for work at height SE-F-0286_Rev.002 no check found
312,LLDPE,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบงาน water jet ไม่ล้อมพื้นที่,Check that the water jet work does not surround the area.
313,Blownfilm,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบ SDS ที่ติดอยู่ด้านหน้ากับของที่เก็บ ในห้อง Waste ไม่ตรง,SDS detected not aligned to the front of the storage in the Waste room.
314,Warehouse Site 3,Unknown,Unknown,Near Miss,Unknown,ตรวจพบ Battery Fork lift No.28 ตัววัดระดับน้ำกลั่นมีปัญหา,Battery Fork lift No.28 detected. There is a problem with the distilled water level meter.
315,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจเอกสารพบจำนวนคนที่ระบุใน Work ไม่ตรงกับจำนวนผู้มาปฎิบัติงาน Workลง 20 มาจริง10 ),Document inspection found that the number of people specified in the work did not match the number of people who came to work. Work actually came down to 20. 10 )
316,HDPE3,Unknown,Unknown,Near Miss,Unknown,ตรวจสอบไม่พบเอกสารบันทึกผลการตรวจร่างกายผู้ปฎิบัติงานเบื้องต้นก่อนเริ่มงาน,Can't find any document recording results of preliminary physical examination of workers before starting work
317,PP2,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบ JSA พบการประเมิน JSA หัวข้อ 5 5.1,5.2 ผิด เพราะตรวจสอบอันตราย ทางเข้า-ออก และ อันตรายจากตำแหน่งพื้นที่ปฏิบัติ ไม่ปลอดภัย","JSA audit found JSA assessment item 5 5.1,5.2 wrong because it checks for hazards, entrance-exit and hazards from unsafe operation areas."
318,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบมีการตรวจสอบมาตราการครบ พบผู้ปฏิบัติงานไม่ปฏิบัติตามที่ JSA กำหนด ทำการยาแนวด้วย Silicone ไม่สวมใส่ MASK ป้องกัน พบ MASK หมดอายุ เกิน 6 เดือน,"Inspecting JSA, found that there was a complete inspection of the scale. Found operators who did not comply with the requirements of the JSA. Sealed with silicone. Do not wear protective MASK. Found MASK expired more than 6 months."
319,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบ JSA พบมีการตรวจสอบมาตราการครบ
ส่วนผู้ปฏิบัติงานไม่ปฏิบัติตามที่ JSA กำหนดไว้ ทำงานปูนต้องสวมใส่ถุงมือยาง (ผู้ปฏิบัติงานไม่สวมใส่ถุงมือยาง)","Inspecting JSA, found that there was a complete inspection of the scale.
The worker who does not comply with the requirements of the JSA must wear rubber gloves. (operators do not wear rubber gloves)"
320,Pilot plant complex,Unknown,Unknown,Unsafe Action,Unknown,"11.30 ตรวจสอบ Work permit พบว่า ผู้ขออนุญาติ , safety lead ยังไม่ได้ลงการตรวจสอบหน้างานตามที่ระบุไว้ใน work permit( ข้อ4 การตรวจสอบสภาพงาน ที่ขณะปฏิบัติงาน, ตามมาตรการ ระบุไว้ทุก 2 ชั่วโมง ) สอบถาม ผู้ขออนุญาติ และSafety lead แล้วพบว่า  แจ้งว่าลืมลงข้อมูลแต่อยู่หน้างานตลอดเวลา","11.30 Check the work permit, it was found that the applicant, safety lead, has not entered the on-site inspection as specified in the work permit (item 4, work condition inspection) that while working, according to the measures specified every 2 hours ) inquired the requester and the safety lead and found that they forgot to enter the information but was always in front of the event"
321,Bagging Site1,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจสอบพบการตรวจสอบหน้างานไม่ตรงตามเวลาหน้างานหัวข้อที่ 4 Work Permit Permit Requester ,Safety Lead ,Field Verifier ","Check that the job site inspection is not on time at the job site, item 4 Work Permit Permit Requester ,Safety Lead ,Field Verifier"
322,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีการปิดกั้น,no blocking
323,HDPE4,Unknown,Unknown,Unsafe Condition,Unknown,ไม่มีการปิดล้อมพื้นที่ ไม่มี Barricades Tag ,"No blockade, no Barricades Tag."
324,HDPE4,Unknown,Unknown,Unsafe Condition,Unknown,ไม่มีการปิดล้อมพื้นที่ ไม่มี Barricades Tag ,"No blockade, no Barricades Tag."
325,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานทาสี ผู้ปฏิบัติงานไม่สวมใส่ MASK ป้องกันกลิ่น ตรวจสอบใน JSA มีประเมินเรื่องงานทาสีกำหนดให้สวมใส่ MASK R95,Check the paint job Workers don't wear odor-proof MASK. Checked in JSA. Paintwork is assessed requiring MASK R95 to be worn.
326,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ประเมิน jsa ไม่ครอบคลุมและยังพบมีการนำอุปกรณ์นอกเหนือจากที่กำหนดมาใช้งานซึ่งไม่ตรงกับ work permit ที่เปิด,The jsa assessment is not comprehensive and it is also found that there is a non-specified device being used that does not match the open work permit.
327,CPD Pipe Site3,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบตู้ไฟ panel ไม่มีสติ๊กเกอร์ผ่านการตรวจสภาพ,"Detected cabinet light panel, no sticker passed the condition check."
328,CPD Pipe Site3,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบทีมงานขึ้นทำงานบนเก้าอี้พลาสติกซึ่งไม่ตรงกับมาตรการที่กำหนดไว้ใน jsa เรื่องของการใช้อุปกรณ์ในการทำงาน,The team was found working on plastic chairs which did not meet the measures set forth in the JSA regarding the use of equipment to work.
329,HDPE2,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบทีมงานไม่สวมใส่อุปกรณ์ป้องกันการตกในจุดทำงานที่มีความเสี่ยง,Workers were detected not wearing fall protection equipment at risky work sites.
330,Bagging Site1,Unknown,Unknown,Unsafe Action,Unknown,พบบันไดที่วางอยู่ชั้นบนสุด ( ที่จะออกไป bag filter LL ) ตรวจสภาพประจำเดือนไปล่าสุดเดือนเมษายน,Found a ladder placed on the top floor (to go out bag filter LL). Monthly inspection to the latest April.
331,LDPE,Unknown,Unknown,Unsafe Action,Unknown,ที่เฮี๊ยบที่ใช้ในการขนย้ายถุง big bag จอดอยู่ไม่ได้ใช้ไม้หมอนหนุนกันรถไหล,"The hiab used to transport big bags is parked, not using sleepers to prevent the car from flowing."
332,HDPE1,Unknown,Unknown,Unsafe Condition,Unknown,Guard ครอบเพลา Z425 ฝาครอบที่เป็นรูยึด nut ใช้วิธียึดระหว่าง guard ครอบทั้ง2ด้านด้วยลวด ซึ่งไม่เป็นไปตามมาตรฐาน,Axle Guard Z425 Cover with nut mounting holes is used to secure between the guards on both sides by wire. which does not meet the standards
333,LDPE,Unknown,Unknown,Unsafe Condition,Unknown,จอดรถเฮี๊ยบขณะยก big bag ขึ้นแต่ไม่ใช้หมอนหนุนล้อกันรถไหล,"Park the car while lifting the big bag, but do not use a pillow to support the wheels to prevent the car from flowing."
334,Bagging Site1,Unknown,Unknown,Unsafe Condition,Unknown,บันไดที่วางอยู่ตรงชั้นบนสุดตรงทางออกไปชั้นลอย ไม่ได้ตรวจสภาพ ( ตรวจล่าสุดตามสติ๊กเกอร์ที่ติดอยู่คือเดือนเมษายน ),Stairs placed on the top floor at the exit to the mezzanine. Did not check the condition (the latest check according to the sticker attached is April)
335,Bagging Site1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานเชื่อมพบ Fire Watch และ ผู้ช่วยช่าง ไม่สวมใส่ MASK ป้องกันฟูมงานเชื่อมและพบ Grander ไม่ใส่ Handle ,"Investigated welding work, found Fire Watch and technician assistant not wearing MASK to prevent welding fume and found Grander not wearing handle."
336,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Work Permit พบหัวข้อที่ 4 พบ Permit Requester ไม่ตรวจสอบหน้างานและลงข้อมูลตรวจสอบ,"Examine the Work Permit document, find Section 4, find Permit Requester, do not inspect the job site and enter the audit information."
337,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสาร SE-F-0277 Rev 006 พบการตรวจสอบสุขภาพคู่ร่วมธุรกิจเกินค่าที่กำหนดช่วงหัวใจคลายเกิน 90,"Documents found SE-F-0277 Rev 006 found that the health check of the business partner exceeds the specified value, the heart relaxation period exceeds 90."
338,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบเอกสาร SE-F-0277 Rev 006 พบการตรวจสอบสุขภาพคู่ร่วมธุรกิจเกินค่าที่กำหนดช่วงหัวใจคลายเกิน 90,"Documents found SE-F-0277 Rev 006 found that the health check of the business partner exceeds the specified value, the heart relaxation period exceeds 90."
339,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ไม่พบการบันทึกการลงลายมือชื่อในการส่งงานระหว่างกะและงานซ่อมไม่พบกาบันทึก,No signing record found during shift submission and repair work not found record.
340,Store Site7,Unknown,Unknown,Unsafe Condition,Unknown,ไม่ได้ประเมินความเสี่ยงเรื่องการปฏิบัติงานในบ่อดิน,Did not assess the operational risks in the soil pits.
341,CPD Pipe Site3,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบทีมงานกำลังขัด Screw Line-5 พบว่ามีอุปกรณ์ที่นำมาใช้งานไม่มีสติ๊กเกอร์ผ่านการตรวจสภาพ,Inspecting the team is scrubbing Screw Line-5 found that there is a device that has been used without stickers through the condition check.
342,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบมีการทำงานที่อันตราย ตรวจสอบใน JSA มีการประเมินเรื่องการทำงานบนที่สูงที่ชัดเจนแต่มีการทำงานที่มีความเสี่ยงอันตราย,"Hazardous work is detected. Checked in JSA. There is a clear assessment of working at height, but working at a dangerous risk."
343,LLDPE,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Work Permit หัวข้อที่ 2 กำหนดตรวจสอบงานโดยผู้ขออนุญาตทุกๆ 1 ช.ม พบหัวข้อที่ 4 ขาดการตรวจสอบหน้างานและลงข้อมูลใน Work Permit,"Found Work Permit. Item 2, scheduled to check the work by the applicant every 1 hour. Found Item 4, lack of inspection of the job site and enter the information in the Work Permit."
344,HDPE2,Unknown,Unknown,Near Miss,Unknown,ตรวจสอบไม่พบอกสาร บันทึกผลการตรวจร่างกายผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงาน,Check that the document was not found. Record the results of a preliminary physical examination of the operator before starting work.
345,Store Site3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบฝาตู้อุปกรณ์ฉุกเฉินไม่ได้ Lock,The door of the emergency equipment cabinet was not locked.
346,Store Site3,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจพบมีการนำรถจักรยานยนต์มาจอดกีดขวางบริเวณจุดอุปกรณ์ฉุกเฉิน,Detected that the motorcycle was parked obstructing the emergency equipment area.
347,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Regulator ขาดการตรวจสอบและติดสติกเกอร์ และ ป้ายแสดงงาน H/W Class I Size ไม่ตรงตามข้อกำหนด พบตู้เชื่อมอยู่ในสภาพไม่พร้อมใช้งาน สายไฟหลุดออกจากตู้,The regulator found that the regulator was not inspected and attached stickers and the label showing the work H/W Class I Size did not meet the requirements. The welding cabinet was found in an unusable condition. The power cord fell out of the cabinet.
348,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Safe Work Certificate  SE-F-0286_Rev.002 พบไม่ลงข้อในหัวข้อที่ 1และหัวข้อที่ 3 ตรวจสอบรับรองการปฏิบัติตามข้อกำหนด,Detected Safe Work Certificate SE-F-0286_Rev.002 Found not posted in the topic. 1 and Section 3. Verify compliance with requirements.
349,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบมีการทำงานทาสี พบผู้ปฏิบัติงานไม่สวมใส่ MASK ป้องกันไอระหยจากทินเนอร์ ใน JSA มีระบุให้ MASK ป้องกันตลอดเวลาทำงาน (R95 8247),"It was found that the paint was working. Workers have been found not wearing thinner vapor barrier MASK. In the JSA, MASK is required to protect at all times (R95 8247)."
350,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบไม่สวมใส่ PPE แว่นตานิรภัย JSA กำหนดไว้ชัดเจน,"Detected not wearing PPE, safety goggles, JSA clearly defined"
351,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,พบตู้เชื่อมอยู่ในสภาพไม่พร้อมใช้งาน สายไฟหลุดออกจากตู้,The welding cabinet was found in an unusable condition. The power cord fell out of the cabinet.
352,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ประเมินไม่ครอบคลุม,not comprehensive assessment
353,HDPE3,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบไม่พบเอกสาร WAH,The WAH document was not detected.
354,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีการปิดกั้นพื้นที่ทำงาน,No blocking of workspace
355,HDPE3,Unknown,Unknown,Near Miss,Unknown,ไม่พบเอกสารการบึนทึกผลร่างการเบื้องต้นก่อนเริ่มงาน,The preliminary draft results were not recorded before the start of work.
356,Bagging Site1,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบคู่ร่วมธุรกิจประจำมีการปฏิบัติงานในพื้นที่ สวมใส่ PPE ไม่ครบตามข้อกำหนดไม่มีสายรัดคางใช้งาน,"Check that the business partner regularly operates in the area, does not wear PPE, does not meet the requirements, does not have a chin strap."
357,Ware house Site1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบอุปกรณืช่วยยกแบตเตอรี่ พบมีการตรวจสอบแต่การตรวจสอบไม่ถูกต้องวันที่ตรวจและวันหมดอายุไม่ถุกต้อง,"Check the battery lifter. The inspection was found, but the inspection was invalid, the inspection date and expiration date were incorrect."
358,Store Site1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบป้าย SDS ชำรุดและซีดจาง,Check for damaged and faded SDS labels.
359,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบ Line Chemical Cleaning อยู่บนพื้นหินมีผ้าใบรองแต่ไม่บันป้องกันการรั่วไหล,Check Line Chemical Cleaning found on the stone floor with canvas but not to prevent leakage.
360,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบสาย Argon คล้องสายที่หัวถัง,The Argon cable was found attached to the cylinder head.
361,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,JSA ประเมินไม่ครอบคลุม และ ลงข้อมูลไม่สอดคล้องกับเอกสารที่กำหนด,The JSA assessed the incomprehensibility and entered the data inconsistent with the required documents.
362,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,พบ Safety Lead  ทำเกินหน้าที่ๆกำหนด            ( Safety ลงมือทำงานกับทีมงานใน Line ),"Found Safety Lead doing more than the specified duty (Safety, working with the team in Line)"
363,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,มีการตักแยกแต่ไม่พบเอกสาร,"There was a separate scoop, but no documents were found."
364,HDPE3,Unknown,Unknown,Unsafe Condition,Unknown,เอกสาร Lifting plan ตรวจพบว่าไม่ถูกต้อง เนื่องจากพบว่า ผู้ที่ทำหน้าที่เป็น Safety lead ได้มาทำหน้าที่ผู้ผูกยึดและผู้ให้สัญญาณในงานยกด้วย,The Lifting plan document was detected as invalid. because it was found Those who acted as safety leads also acted as anchors and signal providers in lifting work.
365,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ JSA พบหัวข้อที่ 8 พบมีการปฏิบัติงานแต่ไม่พบการลงชื่อรับทราบใน JSA ,"Checked JSA, found item 8, found operations, but did not find acknowledgment in the JSA."
366,PP2,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ MASK ป้องกันจากงาน PT-TEST หมดอายุ (ฺBody MASK),Detected MASK protection from PT-TEST Expired (Body MASK)
367,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ประเมิน JSA ไม่ครอบคลุม เพราะจากหน้างานที่เห็นมีการใช้ Hoist ในการช่วยยก และ ไม่มีประเมินเกี่ยวกับการขึ้นไปยืนทำงานด้านบน ,"Assessment of JSA is not comprehensive because from the job site, hoist is used to help lift and no assessment about standing up and working on top."
368,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown, พบไม่มีการตรวจสอบหน้างาน ในเอกสาร JSA,Found no job site checks in JSA documents.
369,Bagging Site3,Unknown,Unknown,Unsafe Action,Unknown,พบจุดเก็บถังน้ำมันของส่วนซ่อมไม่มีถาดรองกันหกรั่งไหล,Found the oil tank storage point of the repair part without spill tray.
370,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Regulator ยังไม่ได้รับการตรวจสอบในเดือน มิถุนายน สีสติกเกอร์ของเดือนนี้ สีม่วง,Found Regulator Not reviewed in June This month's sticker color is purple.
371,HDPE3,Unknown,Unknown,Unsafe Condition,Unknown,ไม่พบ Safety lead คุมงานหน้างาน ( Safety lead ไปเอาเอกสารที่ป้อมหน้า G-1 ROC,"Safety lead not found, supervising work on site (Safety lead goes to take the document at the front turret G-1 ROC"
372,Bagging Site3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร JSA พบว่าต้องมีการ Lock LOTO แต่หน้า Work Permit ไม่พยการลงข้อมูลการ Lock LOTO,"Checked the JSA document, found that lock LOTO is required, but the Work Permit page doesn't want to enter the Lock LOTO information."
373,Bagging Site3,Unknown,Unknown,-,Unknown,ไม่พบเอกสาร,Document not found
374,Bagging Site3,Unknown,Unknown,-,Unknown,ไม่พบเอกสาร,Document not found
375,Bagging Site3,Unknown,Unknown,-,Unknown,ไม่พบเอกสาร,Document not found
376,Bagging Site3,Unknown,Unknown,Unsafe Action,Unknown,ทราบแต่ไม่ได้ปฏิบัติตามมาตรการที่กำหนด,Knowing but not complying with the prescribed measures
377,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,พบกระป๋องสีที่ใช้งานแล้วไม่มีการจัดเก็บที่ดี,Found a used paint can without good storage.
378,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบอุปกรณ์ไฟฟ้าไม่มีการตรวจสภาพก่อนนำมาใช้งาน,Detects electrical equipment without a condition check before being used.
379,Warehouse Site 3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบถุงปูนวางไว้โดยไม่มีการจัดเก็บที่ดี,A bag of cement was found to have been placed without good storage.
380,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,"ตรวจพบมีการนำเครื่องดื่มมาทานภายในห้อง Sub,","Found that the drink was brought to eat in the Sub room,"
381,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบคู่ธุรกิจ ไม่สวมใส่หน้ากากกรองสารเคมีในขณะทำงาน ,Check the business partner Do not wear a chemical filter mask while working.
382,PP3,Unknown,Unknown,Unsafe Action,Unknown,ผู้ขออนุญาต ไม่ประเมินความเสี่ยงเรื่องการทำงานยก และการทำงานบนที่สูง,The applicant does not assess the risk of lifting work. and working at height
383,PP3,Unknown,Unknown,Unsafe Condition,Unknown,Lifting plan มีการระบุข้อมูลไม่ครบถ้วน ไม่ระบุสถานที่ ไม่ระบุสิ่งของที่จะยก ใส่ชื่อ 4 ผู้ไม่ครบ หัวหน้างานของผู้ขออนุญาต ไม่ได้ลงชื่อรับรอง,"Lifting plan contains incomplete information. location not specified Do not specify the items to be lifted. Enter the names of 4 incomplete persons, the supervisor of the applicant. not signed"
384,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร Safe Work Certificate SE-F-0286_Rev.002 พบมีการปฏิบัติงานแต่ขาดการตรวจสอบลงข้อมูล,Check Document Safe Work Certificate SE-F-0286_Rev.002 It was found that the operations were performed but the data was not reviewed.
385,PP3,Unknown,Unknown,Unsafe Action,Unknown,ไม่ได้แนบ WAH Certificate แต่มีการทำงานบนที่สูงโดยใช้บันไดทรงเอ,"WAH Certificate not attached, but working at height using A-shaped ladder"
386,PP3,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีเอกสาร บันทึกผลการตรวจร่างกายผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงานบนที่สูง,Undocumented Records of preliminary medical examination results of workers before starting work at height
387,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบผู้ปฏิบัติงานบนที่สูงพบไม่คล้องเกี่ยวขณะปฏิบัติงาน,Check that the worker at height is found to be unrelated while working.
388,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Regulator ใช้งานอยู่ พบยังไม่ได้รับการตรวจสอบออกสติกเกอร์ ,"Found the Regulator active, found it has not been checked out the sticker."
389,LLDPE,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Windsock สภาพเปื่อยและขาด ใช้งานได้ไม่ 100%,Windsock was found to be worn and torn and not working 100%.
390,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,มีการเปิด work รื้อนั่งร้านใบเดียวแต่ใช้หลาย section,There is an opening work to dismantle one piece of scaffolding but use several sections.
391,PP2,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบรถ HIAB ทำการยกก้อนพลาสติกพบการกางขาเพื่อค้ำยัน Balance ตัวรถไม่กางขาครบทั้งข้าง อันตราย,The HIAB car was found to be lifting a plastic lump and found that the legs were spread to support the Balance. The car did not spread the legs completely on either side. It was dangerous.
392,PP2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสาร HEALTH CHECK พบมีการแปลงเอกสาร SE-F-0277 Rev 006. (เอกสารแนบ),"Check the HEALTH CHECK document, find the document has been converted SE-F-0277 Rev 006. (Attachment)"
393,PP2,Unknown,Unknown,Unsafe Condition,Unknown,"ตรวจสอบพบ MASK ไม่พร้อมใช้งานลิ้นวาล์วหายทั้ง 2 ข้างและตลับ MASK ไม่ระบุวันใช้งาน (ไม่อนุญาตให้ใช้งาน)
และตรวจสอบพบไฟติดหมวกยังไม่ผ่านการตรวจสอบ ","The MASK was found to be unusable, the valve valves were missing on both sides and the MASK cartridge had not specified the date of use. (Not allowed to use)
and found that the helmet light has not been inspected"
394,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบผู้ปฏิบัติงานไม่สวมใส่ MASK ป้องกันอันตรายจากฟูมงานเชื่อม,Check that the operator is not wearing a mask to prevent danger from welding fume.
395,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ประเมิน JSA ไม่ครอบคลุม  มีการลงไปทำงานใต้พื้น Floor และ ทำในตู้ Control แต่ไม่มีการประเมินถึงอันตราย และ มาตรการป้องกัน,"The JSA assessment was not covered. Work was carried out under the floor and in the control cabinet, but no assessment of hazards and preventive measures was taken."
396,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,ประเมิน JSA ไม่สอดคล้องกับลักษณะงานที่ปฎิบัติ,The JSA assessment is inconsistent with the nature of the work performed.
397,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,พบมีการขีดช่อง Simple Lock แต่ไม่มีลงรายละเอียดนัมเบอร์อุปกรณ์,"The Simple Lock box was found, but the device number was not detailed."
398,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานเชื่อมโดยผู้ปฏิบัติงนร่วมในพื้นที่ไม่สวมใส่ MASK ป้องกันอันตรายจากฟูมงานเชื่อม,Inspect welding work by local workers without wearing MASK to prevent danger from welding fume.
399,CPD Pipe Site3,Unknown,Unknown,Unsafe Condition,Unknown,"พบมีเมวล์ไหลลงรางระบายน้ำด้านหลังแนวถนนทางเข้าลานจอดรถ HD-2,3","The mew was found flowing into the drainage gutter behind the road leading to the parking lot HD-2,3."
400,Store Site1,Unknown,Unknown,Unsafe Condition,Unknown,พบนั่งร้านที่ตั้งอยู่ข้างอาคารเก็บวัตถุดิบไม่มี tag   ระบุตรวจสภาพ สอบถามเจ้าของงานไม่ได้ตรวจสภาพนานแล้ว,"Found a scaffold located next to the raw material storage building without a tag indicating the condition, asking the owner of the work for not checking the condition for a long time."
401,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ประเมิน JSA ไม่ครอบคลุม เนื่องจากมีการนำรถเข้ามาในเขตขบวนการผลิต แต่ไม่มีการประเมินเรื่องอันตรายและมาตรการป้องกัน,JSA assessment does not cover because the car is brought into the production area. But there was no assessment of hazards and preventive measures.
402,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,",มีกำหนด Simple lock แต่ไม่มีการลงข้อมูลรายละเอียด",",Simple lock is set, but no detailed information"
