FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Frequency,CleansingFinding,TranslateFinding
3132,HOT,E-201A,HDS,Unsafe Condition,Housekeeping,ปลาย Tube เก่าที่ดึงมาวางไว้กีดขวางทางขึ้น-ลง บนนั่งร้าน,7,ปลาย tube เก่าที่ดึงมาวางไว้กีดขวางทางขึ้น-ลง บนนั่งร้าน,The end of the old tube that was pulled to obstruct the way up-down on the scaffolding
1895,HOT,H-100E,RNC,Unsafe Action,Electrical & Grounding,ไม่ได้ตรวจสอบ Panel Breaker ก่อน start generator หลังฝนตก ,1,ไม่ได้ตรวจสอบ panel breaker ก่อน start generator หลังฝนตก,Didn't check panel breaker before starting generator after rain.
1995,HOT,H-100G,RNC,Unsafe Action,CSE,Fire watch ที่ดูแล Cut U-Bend ไม่มี Sticker CSE,3,fire watch ที่ดูแล cut u-bend ไม่มี sticker cse,fire watch that takes care of cut u-bend without sticker cse
1900,HOT,H-100E,RNC,Unsafe Action,Work at height,ปฏิบัติงานตัดเจียร Coil ด้านใน CSE ลืมคล้องเกี่ยว Hook,1,ปฏิบัติงานตัดเจียร coil ด้านใน cse ลืมคล้องเกี่ยว hook,Work cutting the inner coil cse forgot to attach the hook.
3088,HOT,H-100B,RNC,Unsafe Action,Work at height,งาน Re-Tube มีการปฏิบัติงานใกล้ช่องเปิด โดยไม่สวมใส่ Safety Harness,11,งาน re-tube มีการปฏิบัติงานใกล้ช่องเปิด โดยไม่สวมใส่ safety harness,The re-tube job is performed near an opening without wearing a safety harness.
1932,UT,TK-S2411,NALCO,Unsafe Action,Chemical Work,ไม่มี Checklist งาน load chemical,4,ไม่มี checklist งาน load chemical,There is no load chemical job checklist.
2692,HOT,E-325A,HDS,Unsafe Condition,Water jet,Safety Sling ไม่ได้พัน Gum tape,6,safety sling ไม่ได้พัน gum tape,safety sling unwrapped gum tape
3012,HOT,H-100B,HDS,Unsafe Condition,Work at height,วางประแจไว้ในจุดที่เสี่ยงต่อการตกลงด้านล่าง,4,วางประแจไว้ในจุดที่เสี่ยงต่อการตกลงด้านล่าง,Place the wrench where it is prone to falling below.
1913,HOT,H-100E,RNC,Unsafe Condition,Lifting,ใช้รอกต๋งอุปกรณ์ในแนวระนาบ,1,ใช้รอกต๋งอุปกรณ์ในแนวระนาบ,Use hoist equipment in a horizontal plane.
1915,HOT,H-100E,RNC,Unsafe Condition,Housekeeping,ไฟสปอตไลท์กีดขวางพื้นที่ปฏิบัติงาน (ไม่ได้ใช้งาน),1,ไฟสปอตไลท์กีดขวางพื้นที่ปฏิบัติงาน ไม่ได้ใช้งาน,"Spotlights obstruct work areas, not in use."
755,Blownfilm,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบ work permit ไม่มีการลงรายละเอียดการ Lock ระบบ LO/TO ซึ่งไม่สอดคล้องกับเอกสารเจ๊เอที่แนบมา,3,ตรวจสอบ work permit ไม่มีการลงรายละเอียดการ lock ระบบ lo/to ซึ่งไม่สอดคล้องกับเอกสารเจ๊เอที่แนบมา,"Check the work permit. There is no detail on the lo/to system lock, which is inconsistent with the attached JA documents."
3251,HOT,H-100F,BMC,Unsafe Condition,Housekeeping,วาง Pipe นั่งร้านกีดขวางทางเดิน,60,วาง pipe นั่งร้านกีดขวางทางเดิน,Placing scaffolding pipes blocking the walkway
1918,HOT,H-100E,RNC,Unsafe Condition,Work at height,น็อตหลุดจาก U-bolt เกือบหล่นไปด้านล่าง,1,น็อตหลุดจาก u-bolt เกือบหล่นไปด้านล่าง,"The nut fell off the u-bolt, almost fell to the bottom."
1920,HOT,H-100E,RNC,Unsafe Condition,Hot Work,ถัง LPG ไม่มี Foggy และ Checklist,1,ถัง lpg ไม่มี foggy และ checklist,lpg tank without foggy and checklist
3309,COLD,D-665,WTM,Unsafe Condition,Scaffolding,ไม่มีป้ายเตือนระวังอุปกรณ์และป้ายเตือนอันตรายงานติดตั้งนั่งร้าน,66,ไม่มีป้ายเตือนระวังอุปกรณ์และป้ายเตือนอันตรายงานติดตั้งนั่งร้าน,There are no warning signs for equipment and warning signs for scaffolding installation.
1924,Olefins2,Sub Station,TTCL,Unsafe Condition,Housekeeping,เศษ Insulation อุดตันท่อน้ำ,1,เศษ insulation อุดตันท่อน้ำ,Insulation clogs water pipes.
1926,HOT,H-100E,RNC,Unsafe Condition,Hot Work,ผู้ปฏิบัติงานวางขวดน้ำดื่มใกล้จุดงานเชื่อม,1,ผู้ปฏิบัติงานวางขวดน้ำดื่มใกล้จุดงานเชื่อม,An operator places a bottle of drinking water near the welding point.
3175,HOT,H-100F,RNC,Unsafe Condition,Work at height,มีช่องเปิดระหว่าง Chanel,1,มีช่องเปิดระหว่าง chanel,There is an opening between the chanel.
1980,HOT,PSV-2023BC,LEO,Unsafe Action,PPE,งาน test safety ใช้ถุงมือผ้าไม่เหมาะสม,2,งาน test safety ใช้ถุงมือผ้าไม่เหมาะสม,"In test safety work, use of cloth gloves is not appropriate."
2422,HOT,D-240,WTM,Unsafe Action,PTW & JSA,ประเมิน JSA ไม่ครอบคลุม (ระบุ Spec PPE ไม่ละเอียดตามความเสี่ยงของงาน),2,ประเมิน jsa ไม่ครอบคลุม ระบุ spec ppe ไม่ละเอียดตามความเสี่ยงของงาน,Assessment jsa is not comprehensive Spec ppe is not detailed in accordance with the risks of the work.
1941,TFU,TK-1010B,INSEE,Unsafe Condition,Electrical & Grounding,Ground ไม่เป็นไปตามข้อกำหนด (ไม่ต่ำกว่า 16 Sqm.),1,ground ไม่เป็นไปตามข้อกำหนด ไม่ต่ำกว่า 16 sqm.,"ground does not meet the requirements, not less than 16 sqm."
1944,TFU,Interpipe,ACE,Unsafe Condition,Hot Work,งาน HWI ในหลุม CSE ไม่มีพัดลมดูดอากาศ,1,งาน hwi ในหลุม cse ไม่มีพัดลมดูดอากาศ,hwi works in cse pit no exhaust fan
1948,HOT,H-100E,RNC,Unsafe Condition,Housekeeping,ผ้าใบกันแดดไม่ได้ใช้งาน มีน้ำขัง,1,ผ้าใบกันแดดไม่ได้ใช้งาน มีน้ำขัง,"The sun visor is not used, it is waterlogged."
1949,Olefins2,E-S380,-,Near Miss,Scaffolding,อุปกรณ์มีลักษณะยุบ เนื่องจากถูกกระแทก,1,อุปกรณ์มีลักษณะยุบ เนื่องจากถูกกระแทก,The device looks collapsed. due to being hit
1972,UT,T-2400D,SYN,Unsafe Action,Transportation,ปิดกั้นพื้นที่ไม่ครอบคลุมและ Flag man ไม่มีเสื้อสะท้อนแสง,1,ปิดกั้นพื้นที่ไม่ครอบคลุมและ flag man ไม่มีเสื้อสะท้อนแสง,Block areas not covered and the flag man does not have reflective vests.
2467,HOT,PSV-208ABCD,WTM,Unsafe Condition,Scaffolding,ไม่มีป้ายเตือนอันตราย,20,ไม่มีป้ายเตือนอันตราย,No danger warning signs
2038,HOT,H-100G,RNC,Unsafe Action,Installation/ Alignment,ทำงานงานถอดประกอบโดยไม่สวมใส่ถุงมือป้องกันการหนีบ กระแทก,11,ทำงานงานถอดประกอบโดยไม่สวมใส่ถุงมือป้องกันการหนีบ กระแทก,Work on disassembly without wearing gloves to prevent pinch and impact.
2378,TFU,NEGF,PROTECH,Unsafe Condition,Hot Work,มีวัสดุติดไฟ เช่น ถุงกระสอบ บริเวณ Hot box,4,มีวัสดุติดไฟ เช่น ถุงกระสอบ บริเวณ hot box,There are flammable materials such as sacks in the hot box area.
2728,HOT,H-100A,RNC,Unsafe Condition,Lifting,Safety Latch ชำรุด,3,safety latch ชำรุด,safety latch defective
1957,OSBL,Workshop,APP Service,Unsafe Action,PPE,งานเปลี่ยนประตู Workshop ไม่สวมถุงมือ/ ไม่ใส่แว่นตา,1,งานเปลี่ยนประตู workshop ไม่สวมถุงมือ/ ไม่ใส่แว่นตา,"Workshop door replacement work, no gloves/no glasses"
1960,Olefins2,Line blow down,UTOC,Unsafe Condition,Housekeeping,Barricade Generator ทับรางระบายน้ำโดยไม่มี plate รอง,1,barricade generator ทับรางระบายน้ำโดยไม่มี plate รอง,barricade generator over drain without support plate
1963,Olefins2,PS-250A,REPCO (MES),Unsafe Condition,Others,แผ่นอลูมิเนียมสภาพถูกรื้อทำให้มีส่วนแหลมคมยื่นออกมา ขณะที่มีการทำงานอาจทำให้ได้รับบาดเจ็บได้,1,แผ่นอลูมิเนียมสภาพถูกรื้อทำให้มีส่วนแหลมคมยื่นออกมา ขณะที่มีการทำงานอาจทำให้ได้รับบาดเจ็บได้,"The aluminum sheet was dismantled causing sharp protrusions. While working, you may get injured."
2048,HOT,H-100G,RNC,Unsafe Condition,Electrical & Grounding,สายไฟพาดเกี่ยวกับนั่งร้านโดยตรง,71,สายไฟพาดเกี่ยวกับนั่งร้านโดยตรง,The wires are directly connected to the scaffolding.
1965,TFU,Interpipe,ACE,Unsafe Condition,Pressure test,เครื่อง Hydro test ยังไม่ได้ตรวจสภาพ,3,เครื่อง hydro test ยังไม่ได้ตรวจสภาพ,The hydro test machine has not been checked yet.
1967,Olefins2,T-S540,MOC (OPE),Unsafe Condition,Housekeeping,เศษผ้าที่ไม่ได้นำออกหลังจากทำงานติดกับ Line (อุณหภูมิติดลบ) ต้องใช้ Methanol ล้างออก,1,เศษผ้าที่ไม่ได้นำออกหลังจากทำงานติดกับ line อุณหภูมิติดลบ ต้องใช้ methanol ล้างออก,Any rag that is not removed after working next to the negative temperature line must be washed off with methanol.
2078,HOT,H-100G,RNC,Unsafe Action,Work at height,คล้องเกี่ยว Safety Harness กับอุปกรณ์ Plant,11,คล้องเกี่ยว safety harness กับอุปกรณ์ plant,attach safety harness to plant equipment
1969,UT,Waste storage,ECO,Accident,Transportation,(Level 1) Springer ระบบน้ำดับเพลิงฉีดน้ำ เนื่องจากงาของรถ Folk lift กระแทก ขณะทำงานขนย้าย Big bag,1,level 1 springer ระบบน้ำดับเพลิงฉีดน้ำ เนื่องจากงาของรถ folk lift กระแทก ขณะทำงานขนย้าย big bag,level 1 springer fire sprinkler system because the forks of the folk lift hit while working to move the big bag
1848,HOT,H-100E,RNC,Unsafe Condition,Housekeeping,วางอุปกรณ์นั่งร้านกระจัดกระจายบนนั่งร้าน ไม่เป็นระเบียบ,150,วางอุปกรณ์นั่งร้านกระจัดกระจายบนนั่งร้าน ไม่เป็นระเบียบ,Place the scaffolding equipment scattered on the scaffolding. messy
1966,Olefins2,Line blow down,UTOC,Unsafe Condition,Pressure test,งาน Hydro test ไม่มี Safety Valve,2,งาน hydro test ไม่มี safety valve,Hydro test work without safety valve
1979,HOT,PSV-2023BC,LEO,Unsafe Condition,Work at height,งาน test safety ประแจที่นำมาใช้งานบนนั่งร้าน ไม่มีเชือกผูกมัด,1,งาน test safety ประแจที่นำมาใช้งานบนนั่งร้าน ไม่มีเชือกผูกมัด,"Test safety works, wrenches used on scaffolding no rope"
1919,HOT,H-100E,RNC,Unsafe Condition,Hot Work,ปิดล้อมผ้ากันไฟไม่มิดชิด,16,ปิดล้อมผ้ากันไฟไม่มิดชิด,Completely enclosed with fireproof fabric
1325,TFU,TK-1430,WTM,Unsafe Action,Lifting,ผู้ไม่เกี่ยวข้องเข้าไปในจุดที่มีงานยก (Line of fire),3,ผู้ไม่เกี่ยวข้องเข้าไปในจุดที่มีงานยก line of fire,An unrelated person enters the area where the line of fire is being lifted.
3503,UT,UT (CTU-HB-04),Safety,Unsafe Condition,Others,เปิด Fire Hose Box ทิ้งไว้,4,เปิด fire hose box ทิ้งไว้,Leave the fire hose box open.
1993,HOT,H-100G,RNC,Unsafe Condition,Work at height,งานถอดประกอบอุปกรณ์ มีการนำประแจปากตายมาใช้โดยไม่มีเชือกผูกป้องกันการตก,1,งานถอดประกอบอุปกรณ์ มีการนำประแจปากตายมาใช้โดยไม่มีเชือกผูกป้องกันการตก,Equipment disassembly An open-ended wrench is adopted without a fall protection lanyard.
1994,HOT,H-100G,RNC,Unsafe Condition,Electrical & Grounding,ติดตั้งไฟแสงสว่าง โดยหลอดไฟ-สายไฟ วางอยู่พื้นที่น้ำขัง เปียกชื้น,1,ติดตั้งไฟแสงสว่าง โดยหลอดไฟ-สายไฟ วางอยู่พื้นที่น้ำขัง เปียกชื้น,"light fixtures by bulb-wire Placed in a wet, stagnant area"
2219,UT,PIT-3060,HDS,Unsafe Condition,Work at height,ช่องเปิดบริเวณจุด Rescue เสี่ยงต่อการพลัดตก,1,ช่องเปิดบริเวณจุด rescue เสี่ยงต่อการพลัดตก,The opening at the rescue point poses a risk of falling.
1998,HOT,H-100G,RNC,Unsafe Condition,Work at height,กระป๋องน้ำมัน WD ใช้แล้วไม่จัดเก็บ วางไว้หมิ่นเสี่ยงต่อการตก,1,กระป๋องน้ำมัน wd ใช้แล้วไม่จัดเก็บ วางไว้หมิ่นเสี่ยงต่อการตก,Used wd oil cans are not stored. Place it on the verge of falling risks.
1853,HOT,H-100E,HDS,Unsafe Condition,Water jet,เครื่อง Water jet ใช้สาย Ground ไม่เป็นไปตามข้อกำหนด,2,เครื่อง water jet ใช้สาย ground ไม่เป็นไปตามข้อกำหนด,The water jet machine uses a ground wire that does not meet the requirements.
2604,UT,F-3320,CN,Unsafe Condition,Transportation,จอดรถโดยไม่ได้หนุนล้อ,5,จอดรถโดยไม่ได้หนุนล้อ,Park the car without supporting the wheels.
2571,UT,PIT-3060,ตะวัน,Unsafe Action,Work at height,ทำงานใกล้ช่องเปิดโดยไม่ได้คล้องเกี่ยวSafety Harness,12,ทำงานใกล้ช่องเปิดโดยไม่ได้คล้องเกี่ยวsafety harness,Works near openings without safety harness attachment.
3312,HOT,E-201B,REPCO (MES),Unsafe Condition,Lifting,ปิดล้อมพื้นที่ไม่เรียบร้อย,4,ปิดล้อมพื้นที่ไม่เรียบร้อย,Irregularly enclosed area
2120,UT,PIT-3060,HDS,Unsafe Condition,Work at height,ประแจที่นำมาใช้งานไม่มีเชือกผูก,12,ประแจที่นำมาใช้งานไม่มีเชือกผูก,The wrench used does not have a rope.
2007,HOT,H-100G,RNC,Unsafe Condition,Work at height,ช่องเปิด TLE ไม่สามารถติดตั้ง Hard Barricade ได้ เนื่องจากติดอุปกรณ์ Water jet (ใช้แผ่นนั่งร้านปิดไว้ชั่วคราว),1,ช่องเปิด tle ไม่สามารถติดตั้ง hard barricade ได้ เนื่องจากติดอุปกรณ์ water jet ใช้แผ่นนั่งร้านปิดไว้ชั่วคราว,The tle opening cannot be installed with a hard barricade due to the water jet equipment attached.
2010,HOT,H-100G,RNC,Unsafe Action,Work at height,คล้องเกี่ยว Safety Harness จุดที่ไม่มั่นคงแข็งแรง (ตะขอ Hook คล้องเกี่ยวคนละจุดกัน),1,คล้องเกี่ยว safety harness จุดที่ไม่มั่นคงแข็งแรง ตะขอ hook คล้องเกี่ยวคนละจุดกัน,"Hooked on safety harness, unstable point, strong hook hooked on different points"
3201,HOT,H-100F,RNC,Unsafe Condition,Lifting,รอกตาเดียวไม่มี Tag inspection,1,รอกตาเดียวไม่มี tag inspection,Single eye reel without tag inspection
2013,HOT,H-100G,RNC,Unsafe Condition,Lifting,เชือกที่ใช้ผูกหย่อน Coil ไม่รู้พิกัดน้ำหนัก (SWL),1,เชือกที่ใช้ผูกหย่อน coil ไม่รู้พิกัดน้ำหนัก swl,The rope used to tie the coil slack does not know the swl weight rating.
2014,HOT,H-100G,REPCO (EE),Unsafe Condition,Tools & Equipment,ข้อต่อท่อ Conduit สายไฟห้อยลงมาใต้ Manhole Fire Box,1,ข้อต่อท่อ conduit สายไฟห้อยลงมาใต้ manhole fire box,"conduit pipe fitting, wires hanging under manhole fire box"
2015,HOT,H-100G,REPCO (IE),Unsafe Condition,Tools & Equipment,Tube transmitter มีลักษณะโค้งงอ,1,tube transmitter มีลักษณะโค้งงอ,The tube transmitter is curved.
2808,HOT,F-206A,Taratorn M.,Unsafe Condition,Work at height,ช่องเปิดจากการถอด Handrail บริเวณ Valve,1,ช่องเปิดจากการถอด handrail บริเวณ valve,An opening from removing the handrail around the valve
2211,Olefins2,ZZ-220,WTM,Unsafe Condition,Scaffolding,Tag นั่งร้านหมดอายุ,14,tag นั่งร้านหมดอายุ,expired scaffold tag
1575,Olefins2,PR-24,TTCL,Unsafe Condition,Scaffolding,นั่งร้านไม่มี Tag inspect,14,นั่งร้านไม่มี tag inspect,scaffolding without tag inspect
3073,HOT,H-100B,RNC,Unsafe Condition,Work at height,จุดปฏิบัติงานไม่มีราวกันตก,3,จุดปฏิบัติงานไม่มีราวกันตก,The operating point has no railing.
2528,Olefins2,H-S120A,RNC,Unsafe Condition,Hot Work,ปิดล้อมผ้ากันไฟไม่ครอบคลุม มีลูกไฟกระเด็นออกมา,16,ปิดล้อมผ้ากันไฟไม่ครอบคลุม มีลูกไฟกระเด็นออกมา,Enclosed fireproof fabric does not cover Fireballs flew out.
1139,UT,FAR3,MXM,Unsafe Condition,Housekeeping,"อุปกรณ์นั่งร้านรอการขนย้ายจำนวนมาก
",119,"อุปกรณ์นั่งร้านรอการขนย้ายจำนวนมาก
",Scaffolding equipment waiting to be transported in bulk
3134,UT,PR-7B,ECE,Unsafe Condition,Hot Work,ใช้ไม้รองชิ้นงานขณะทำงานเจียร,8,ใช้ไม้รองชิ้นงานขณะทำงานเจียร,Use a wood support while grinding.
2034,HOT,H-100G,RNC,Unsafe Action,Lifting,Rigger ขึ้นไปช่วยประกอบเครน,1,rigger ขึ้นไปช่วยประกอบเครน,rigger goes up to help assemble the crane
3422,HOT,H-100D,RNC,Unsafe Condition,Work at height,วางอุปกรณ์นั่งร้านที่ไม่ได้ใช้งานแล้วทิ้งไว้บนนั่งร้าน,145,วางอุปกรณ์นั่งร้านที่ไม่ได้ใช้งานแล้วทิ้งไว้บนนั่งร้าน,Leave unused scaffolding equipment on the scaffolding.
3193,HOT,H-100F,RNC,Unsafe Condition,Scaffolding,งานติดตั้งนั่งร้านชั้น 4 ไม่ได้ปิดล้อมพื้นที่ กั้นทางขึ้น-ลงบันได,33,งานติดตั้งนั่งร้านชั้น 4 ไม่ได้ปิดล้อมพื้นที่ กั้นทางขึ้น-ลงบันได,The installation of scaffolding on the 4th floor does not enclose the area. Block the way up - down the stairs.
2482,UT,PIT-3060,ตะวัน,Unsafe Condition,Work at height,คล้อง Safety Harness จุดที่ไม่มั่นคงปลอดภัย,4,คล้อง safety harness จุดที่ไม่มั่นคงปลอดภัย,Attach a safety harness to an insecure spot.
2357,Olefins2,E-S256,WTM,Unsafe Condition,Scaffolding,แผ่นนั่งร้านเป็นสนิม,74,แผ่นนั่งร้านเป็นสนิม,The scaffolding plate is rusty.
2858,UT,P-2400E,REPCO (MER),Unsafe Action,PPE,ไม่สวมแว่นตานิรภัยขณะทำงาน,7,ไม่สวมแว่นตานิรภัยขณะทำงาน,Do not wear safety glasses while working.
2570,UT,PIT-3060,ตะวัน,Unsafe Action,Work at height,จุดยืนปฏิบัติงานตัดเหล็กไม่มั่นคง เสี่ยงต่อการพลัดตก,2,จุดยืนปฏิบัติงานตัดเหล็กไม่มั่นคง เสี่ยงต่อการพลัดตก,Unstable steel cutting work stand risk of falling
2117,HOT,H-100G,RNC,Unsafe Condition,Lifting,Safety Latch รอกโซ่ที่นำมาใช้มีสภาพชำรุด ,2,safety latch รอกโซ่ที่นำมาใช้มีสภาพชำรุด,safety latch The chain hoist used is damaged.
1871,HOT,H-100E,REPCO (INDT),Unsafe Condition,CSE,ไม่มีป้ายเตือนที่อับอากาศด้านหน้า Steam Drum,6,ไม่มีป้ายเตือนที่อับอากาศด้านหน้า steam drum,No confined air warning label in front of steam drum
2052,HOT,H-100G,RNC,Unsafe Condition,Housekeeping,น้ำขังบนหลังคาผ้าใบชั้น 6 เสี่ยงที่โครงสร้างนั่งร้านจะพังลงมา,1,น้ำขังบนหลังคาผ้าใบชั้น 6 เสี่ยงที่โครงสร้างนั่งร้านจะพังลงมา,"Water stagnates on the 6th floor canvas roof, risking the scaffolding structure to collapse."
2827,UT,Clarify,ATP,Unsafe Condition,Excavation,Backhole ไม่มีตะแกรงครอบท่อ,1,backhole ไม่มีตะแกรงครอบท่อ,The backhole does not have a pipe cover.
1607,UT,PR-7B,WTM,Unsafe Condition,Scaffolding,งานรื้อถอนนั่งร้าน ไม่ได้ปิดกั้นพื้นที่ตามข้อกำหนด,1,งานรื้อถอนนั่งร้าน ไม่ได้ปิดกั้นพื้นที่ตามข้อกำหนด,Scaffold demolition work Does not block the area according to the requirements
2056,HOT,H-100G,RNC,Unsafe Action,Lifting,งานประกอบฝา Shadow Box ใช้ Hook Safety Harness เกาะ เพื่อยกุปกรณ์แทนการใช้รอก,1,งานประกอบฝา shadow box ใช้ hook safety harness เกาะ เพื่อยกุปกรณ์แทนการใช้รอก,The assembly of the shadow box lid uses a hook safety harness to lift the device instead of using a pulley.
2057,HOT,H-100G,RNC,Unsafe Action,SL Performance,มี Safety Lead ดูแลงานพร้อมกัน 3 จุด,1,มี safety lead ดูแลงานพร้อมกัน 3 จุด,There is a safety lead to take care of work at 3 points at the same time.
2062,TFU,TK-1010B,INSEE,Unsafe Condition,Chemical Work,ปั๊มดูดของรถในงานกวาดตะกอนและขนย้าย Naptha รั่ว,1,ปั๊มดูดของรถในงานกวาดตะกอนและขนย้าย naptha รั่ว,Truck suction pump for sludge and naptha transport leaks.
3211,HOT,H-100F,RNC,Unsafe Condition,Safety Management,งานดึง Tube TLE ชั้น7 แสงสว่างไม่เพียงพอ,6,งานดึง tube tle ชั้น7 แสงสว่างไม่เพียงพอ,"Tube tle pull work, 7th floor, insufficient lighting"
2066,HOT,H-100G,RNC,Unsafe Condition,Lifting,งานดึง/ ตัด Tube ช่างทำจุดแขวนรอกเองโดยไม่ได้คำนวณน้ำหนัก,3,งานดึง/ ตัด tube ช่างทำจุดแขวนรอกเองโดยไม่ได้คำนวณน้ำหนัก,pulling work / tube cutting
2080,HOT,H-100G,RNC,Unsafe Condition,Installation/ Alignment,Lock U-bolt ชั้นเดียว งาน Re-tube TLE (lesson learned tube รูดระหว่างทำงาน),2,lock u-bolt ชั้นเดียว งาน re-tube tle lesson learned tube รูดระหว่างทำงาน,lock u-bolt single layer re-tube work tle lesson learned tube swipe during work
1636,HOT,TK-209,NALCO,Unsafe Action,Chemical Work,งานโหลดสารเคมีไม่สวมใส่ Face Shield,5,งานโหลดสารเคมีไม่สวมใส่ face shield,Workers who load chemicals do not wear face shields.
2073,TFU,TK-1010B,INSEE,Unsafe Condition,CSE,วางถังออกซิเจนที่หมดแล้วกับ spare ใกล้กัน (แนะนำให้ทำป้ายติดบอกสถานะให้ชัดเจน),1,วางถังออกซิเจนที่หมดแล้วกับ spare ใกล้กัน แนะนำให้ทำป้ายติดบอกสถานะให้ชัดเจน,Place the depleted oxygen tank and spare near each other. It is advisable to make a clear label indicating the status.
1883,HOT,H-100E,RNC,Unsafe Condition,Lifting,จุดคล้องเกี่ยวสลิงผ้าใบไม่มีผ้ารองกันบาด,2,จุดคล้องเกี่ยวสลิงผ้าใบไม่มีผ้ารองกันบาด,The canvas sling attachment point does not have a protective cloth.
2374,HOT,D-940,PROTECH,Unsafe Condition,Scaffolding,ไม่มีป้ายเตือนอันตราย งานรื้อนั่งร้าน,68,ไม่มีป้ายเตือนอันตราย งานรื้อนั่งร้าน,No danger warning signs Scaffolding work
2001,HOT,H-100G,RNC,Unsafe Action,Work at height,ทำงานใกล้ช่องเปิดโดยไม่ได้สวม Safety Harness,22,ทำงานใกล้ช่องเปิดโดยไม่ได้สวม safety harness,Work near openings without safety harness.
3494,TFU,JE-4002,REPCO (MER),Unsafe Condition,Scaffolding,ผู้ปฏิบัติงานจะขอใช้งานนั่งร้าน Tag แดง,36,ผู้ปฏิบัติงานจะขอใช้งานนั่งร้าน tag แดง,Workers will ask to use the red tag scaffolding.
2083,HOT,H-100G,RNC,Unsafe Action,SL Performance,งาน Cut Y-piece Safety Lead ไม่อยู่ที่หน้างาน (สุเทพ) และลงชื่อใน PTW 2 จุด ทั้งชั้น 4 และชั้น 1,1,งาน cut y-piece safety lead ไม่อยู่ที่หน้างาน สุเทพ และลงชื่อใน ptw 2 จุด ทั้งชั้น 4 และชั้น 1,The cut y-piece safety lead event was not at the Suthep event and signed in ptw 2 points on both the 4th floor and the 1st floor.
2558,Olefins2,H-S120A,VPE,Unsafe Condition,Hot Work,นำผ้าใบกันลมมาใช้ใน Hot Box,1,นำผ้าใบกันลมมาใช้ใน hot box,A windproof canvas is used in the hot box.
2488,TFU,NEGF,PROTECH,Unsafe Condition,Lifting,วาง pack นั่งร้านซ้อนกันสูงกว่า 1.5 เมตรและไม่ lock pack ป้องกันการร่วงหล่นระหว่างยกขนย้าย,3,วาง pack นั่งร้านซ้อนกันสูงกว่า 1.5 เมตรและไม่ lock pack ป้องกันการร่วงหล่นระหว่างยกขนย้าย,Stack the scaffolding pack higher than 1.5 meters and do not lock the pack to prevent falling during lifting and moving.
2087,HOT,F-206A,REPCO (ME),Unsafe Condition,Work at height,Platform มีช่องเปิด,1,platform มีช่องเปิด,platform has openings
2097,HOT,H-100G,RNC,Unsafe Condition,Insulation,ถุง Insulation ไม่มี Sticker ระบุ,2,ถุง insulation ไม่มี sticker ระบุ,The insulation bag does not have an identification sticker.
2578,HOT,F-206A,HOT,Unsafe Condition,Work at height,น็อตยึดบันไดลิงหาย ใช้ลวดมัดแทน,1,น็อตยึดบันไดลิงหาย ใช้ลวดมัดแทน,"Lost ladder nut, use wire harness instead."
1783,HOT,H-100E,RNC,Unsafe Condition,Scaffolding,กองอุปกรณ์นั่งร้านบน Grating ไม่มี Plate รองสำหรับกระจายน้ำหนัก,8,กองอุปกรณ์นั่งร้านบน grating ไม่มี plate รองสำหรับกระจายน้ำหนัก,Stack the scaffolding equipment on the grating without support plate for weight distribution.
2094,HOT,H-100G,RNC,Unsafe Condition,Hot Work,คล้องสาย Argon ที่จุดเดียว ควรเพิ่มจุดคล้องเพื่อถ่ายเทน้ำหนัก,1,คล้องสาย argon ที่จุดเดียว ควรเพิ่มจุดคล้องเพื่อถ่ายเทน้ำหนัก,"Strap argon at one point, should add strap to transfer weight."
2513,Olefins2,H-S120A,RNC,Unsafe Condition,Tools & Equipment,Manifold ไม่มี Pressure gauge แสดง และแนะนำให้ปิดล้อมพื้นที่บริเวรจุดวางเพื่อป้องกันคนเดินชน Valve,6,manifold ไม่มี pressure gauge แสดง และแนะนำให้ปิดล้อมพื้นที่บริเวรจุดวางเพื่อป้องกันคนเดินชน valve,"The manifold does not have a pressure gauge displayed, and it is advisable to surround the area around the mounting point to prevent pedestrians hitting the valve."
2096,HOT,H-100G,RNC,Unsafe Condition,Hot Work,สาย LPG มีสภาพผุกร่อน แนะนำให้ตรวจสอบก่อนใช้งาน,1,สาย lpg มีสภาพผุกร่อน แนะนำให้ตรวจสอบก่อนใช้งาน,lpg cable is corroded Recommended to check before use.
2098,HOT,H-100G,RNC,Unsafe Condition,Work at height,น็อตที่ถอดมารอการติดตั้ง/ Clamp นั่งร้าน กองกระจัดกระจาย ไม่มีภาชนะใส่,1,น็อตที่ถอดมารอการติดตั้ง/ clamp นั่งร้าน กองกระจัดกระจาย ไม่มีภาชนะใส่,"Removed bolts waiting for installation / scaffolding clamp, scattered piles no container"
2099,HOT,H-100G,RNC,Unsafe Condition,Electrical & Grounding,หลอดไฟแสดงสถานะตู้ไฟ แสงอ่อน มองเห็นไม่ชัดเจน,1,หลอดไฟแสดงสถานะตู้ไฟ แสงอ่อน มองเห็นไม่ชัดเจน,"Indicator lamp, light box, soft light, not clear to see"
2100,HOT,H-100G,RNC,Unsafe Condition,CSE,สายไฟกีดขวางทางเข้า-ออก CSE,1,สายไฟกีดขวางทางเข้า-ออก cse,Power lines obstruct the entrance-exit cse
