No.,Details,Area,SubArea,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
1434,ต่อ ground ร่วมกับ ground plant,Olefins2,H-S120A,MOC (SD),Unsafe Condition,Electrical & Grounding,"ต่อ ground ร่วม, ground plant","Connect the ground together, ground plant"
1435,ไม่ได้ปิดล้อมพื้นที่จุดวาง Carbon activate ,Olefins2,Sub Station,MOC (OPE),Unsafe Condition,Housekeeping,ไม่ได้ปิดล้อมพื้นที่จุดวาง carbon activate,Does not enclose the area where the carbon activates are placed.
1436,ข้อต่อ line drain หลุด น้ำไหลเป็นทาง,Olefins2,Analyzer house,MOC (OPE),Near Miss,Process & Operation,ข้อต่อ line drain หลุด น้ำไหลเป็นทาง,"The line drain connection is loose, the water flows through the path."
1437,น้ำ condensate หยดลงพื้นสะสมจนเป็นคราบตะไคร่ อาจะลื่นหกล้มได้ (ปิดล้อมพื้นที่ชั่วคราวและรอดำเนินการทำความสะอาด),Olefins2,C-S300,MOC (OPE),Unsafe Condition,Process & Operation,"น้ำ condensate หยดลงพื้นสะสมจนเป็นคราบตะไคร่ อาจะลื่นหกล้มได้ (ปิดล้อมพื้นที่ชั่วคราว, รอดำเนินการทำความสะอาด)","Condensate water drips onto the floor and accumulates until it forms algae stains. may slip and fall (Temporarily enclose the area, pending cleaning)"
1438,ปิดล้อมพื้นที่ไม่มีธงขาวแดง,TFU,NEGF,PROTECH,Unsafe Condition,Lifting,ปิดล้อมพื้นที่ไม่มีธงขาวแดง,encircle the area without red and white flags
1439,ไม่ได้คำนวณ load chart สำหรับยกแผ่นรองรถ backhoe (ใช้ radiant เดียวกับรถ backhoe ไม่ได้),UT,PIT-3060,HDS,Unsafe Action,Lifting,"ไม่ได้คำนวณ load chart สำหรับยกแผ่นรองรถ backhoe (ใช้ radiant เดียว, รถ backhoe ไม่ได้)","Load chart for backhoe lift not calculated (single radiant can not be used, backhoe is not)"
1440,มีการตั้งนั่งร้าน hanging ขณะที่มีงานสกัดปูน ซึ่งมีการเดินไปมา (concern line of fire),UT,PIT-3060,HDS,Unsafe Action,Scaffolding,มีการตั้งนั่งร้าน hanging ขณะที่มีงานสกัดปูน ซึ่งมีการเดินไปมา (concern line of fire),A hanging scaffold was set up while masonry work was being carried out. which walks back and forth (concern line of fire)
1441,งานติดตั้งโพลีคาร์บอเนต ไม่มีเชือกคล้องเกี่ยวเครื่องมือที่นำไปใช้งาน,UT,PIT-3060,TSCL,Unsafe Condition,Work at height,งานติดตั้งโพลีคาร์บอเนต ไม่มีเชือกคล้องเกี่ยวเครื่องมือที่นำไปใช้งาน,Installation of polycarbonate There is no lanyard to attach the tools to use.
1442,มีการติดตั้งนั่งร้านรอบ flare ไม่มีทางออก กรณีเกิดเหตุฉุกเฉิน (ติดตั้งป้ายทางออกและนั่งร้านพาดสำหรับทางออกฉุกเฉิน),TFU,NEGF,PROTECH,Unsafe Condition,Scaffolding,"มีการติดตั้งนั่งร้านรอบ flare ไม่มีทางออก กรณีเกิดเหตุฉุกเฉิน (ติดตั้งป้ายทางออก, นั่งร้านพาดสำหรับทางออกฉุกเฉิน)","Scaffolding is installed around the flare with no exit in case of emergency. (install exit signs, scaffolding for emergency exits)"
1443,คำนวณ ventilation flow ไม่ตรงกับหน้างาน,TFU,TK-1010B,NCN,Unsafe Action,CSE,"คำนวณ ventilation flow ไม่ตรง, หน้างาน","Calculate the ventilation flow is not straight, on the job site"
1444,ช่องเปิดนั่งร้านด้านหน้า manhole,TFU,TK-1010B,NCN,Unsafe Condition,Scaffolding,ช่องเปิดนั่งร้านด้านหน้า manhole,scaffold opening in front of manhole
1445,งานทาสี ผู้ปฏิบัติงานไม่สวมใส่หน้ากากป้องกันสารเคมี,TFU,P-1610A,REPCO (MES),Unsafe Action,Paint/ Coat/ Blast,งานทาสี ผู้ปฏิบัติงานไม่สวมใส่หน้ากากป้องกันสารเคมี,Paint work. Workers do not wear chemical protective masks.
1446,สลิงผ้าใบไม่มีผ้ารองกันบาด,TFU,Line N2,ECE,Unsafe Condition,Lifting,สลิงผ้าใบไม่มีผ้ารองกันบาด,Canvas sling without cut protection cloth
1447,modify ท่อไอเสียรถ backhoe ยึดลวดไม่แข็งแรง,UT,PIT-3060,HDS,Unsafe Condition,Excavation,modify ท่อไอเสียรถ backhoe ยึดลวดไม่แข็งแรง,modify car exhaust backhoe fixing wire is not strong
1448,ผู้ปฏิบัติงานยืนอยู่ใต้ boom crane (Line of fire) ขณะทำการยก valve ติดตั้ง,TFU,Line N2,ECE,Unsafe Action,Lifting,ผู้ปฏิบัติงานยืนอยู่ใต้ boom crane (line of fire) ขณะทำการยก valve ติดตั้ง,The operator stands under the boom crane (line of fire) while lifting the mounting valve.
1449,clamp นั่งร้านไม่ได้ล็อค ส่วนที่ค้ำยันนั่งร้าน มีโอกาสหลุดและตกลงมาได้,TFU,NEGF,PROTECH,Unsafe Condition,Scaffolding,"clamp นั่งร้านไม่ได้ล็อค ส่วนที่ค้ำยันนั่งร้าน มีโอกาสหลุด, ตกลงมาได้","clamp scaffolding is not locked The supporting part of the scaffolding has a chance of falling off, falling."
1450,ติดตั้งแผ่นกันตกมีช่องโหว่ขนาดใหญ่,TFU,NEGF,PROTECH,Unsafe Condition,Scaffolding,ติดตั้งแผ่นกันตกมีช่องโหว่ขนาดใหญ่,"Install a fall protection plate, there is a large gap."
1451,ไม่มีอุปกรณ์ป้องกันเสียงดัง,UT,PIT-3060,HDS,Unsafe Action,Scaffolding,ไม่มีอุปกรณ์ป้องกันเสียงดัง,no noise protection
1452,ไม่ได้แนบ deviation สำหรับการ sign work แยกของ Operation,TFU,TK-1010B,NCN,Unsafe Action,PTW & JSA,ไม่ได้แนบ deviation สำหรับการ sign work แยกของ operation,Deviation for separate sign work of operation is not attached.
1453,ใช้งาน Harness ที่ยังไม่ได้ตรวจสอบ,Olefins2,"Line DV 16""",RNC,Unsafe Condition,Work at height,ใช้งาน harness ที่ยังไม่ได้ตรวจสอบ,Use an unchecked harness.
1454,งานเชื่อมติดตั้ง supportไม่มี Fire watch man ที่หน้างาน,Olefins2,"Line DV 16""",RNC,Unsafe Action,Hot Work,งานเชื่อมติดตั้ง supportไม่มี fire watch man ที่หน้างาน,"Welding work, installation support, no fire watch man at the job site."
1455,ใช้ถุงมือผ้าปิดหุ้ม jacket insulation,HOT,P-206A,WTM,Unsafe Action,Insulation,ใช้ถุงมือผ้าปิดหุ้ม jacket insulation,Use gloves to cover the jacket insulation.
1456,งานขัดสี Line pipe ด้วยหินเจียรใบปัดหางเปีย ไม่ได้ปิดล้อมผ้ากันไฟ มีประกายไฟออกมา (Identify scope งานไม่ครอบคลุม (งานมีประกายไฟระบุเป็น HW II)),TFU,NEGF,PROTECH,Unsafe Condition,Hot Work,งานขัดสี line pipe ด้วยหินเจียรใบปัดหางเปีย ไม่ได้ปิดล้อมผ้ากันไฟ มีประกายไฟออกมา (identify scope งานไม่ครอบคลุม (งานมีประกายไฟระบุเป็น hw ii)),"Line pipe polishing work with a grinding wheel not enclosed fireproof cloth Sparks came out (identify scope, work not covered. (The work has a spark marked hw ii))"
1457,Generator ไม่ได้ตรวจสอบ daily checklist ,TFU,TK-1010B,NCN,Unsafe Condition,Electrical & Grounding,generator ไม่ได้ตรวจสอบ daily checklist,generator not checking daily checklist
1458,ไม่ได้ตรวจสอบตู้ control panel ก่อนเริ่มทำงาน,TFU,TK-1010B,NCN,Unsafe Condition,Electrical & Grounding,ไม่ได้ตรวจสอบตู้ control panel ก่อนเริ่มทำงาน,The control panel was not inspected before starting.
1459,SL ไม่อยู่ที่หน้างาน (แจ้งว่าออกไปซื้อของด้านนอก plant),TFU,TK-1010B,NCN,Unsafe Condition,SL Performance,sl ไม่อยู่ที่หน้างาน (แจ้งว่าออกไปซื้อของด้านนอก plant),sl not at the job site (Informed that I went out to buy things outside the plant)
1460,ผู้ปฏิบัติงานไม่มีหน้ากาก R95 งานขนย้าย sludge,TFU,TK-1010B,NCN,Unsafe Condition,PPE,ผู้ปฏิบัติงานไม่มีหน้ากาก r95 งานขนย้าย sludge,worker without mask r95 sludge transport work
1461,"อุปกรณ์ blind flange และ nut, bolt วางอยู่บนจุดเสี่ยงต่อการตก",HOT,H-100E (���5),MOC (OPE),Unsafe Condition,Work at height,"อุปกรณ์ blind flange , nut , bolt วางอยู่บนจุดเสี่ยงต่อการตก","Device blind flange , nut , bolt placed on the point of risk of falling."
1462,HOT-HH-002 ใช้ Lifting plan version เก่า,HOT,D-203,REPCO (MES),Unsafe Action,PTW & JSA,hot-hh-002 ใช้ lifting plan version เก่า,hot-hh-002 use lifting plan old version
1463,Rigger ใส่เสื้อสะท้อนแสงสีน้ำเงิน,HOT,CT-300,REPCO (MER),Unsafe Action,Lifting,rigger ใส่เสื้อสะท้อนแสงสีน้ำเงิน,rigger wearing a blue reflective jacket
1464,OLE2-LC-004 ใช้ Work at height certificate version เก่า,Olefins2,PDG-S373,REPCO (IE),Unsafe Action,PTW & JSA,ole2-lc-004 ใช้ work at height certificate version เก่า,ole2-lc-004 use old work at height certificate version
1465,JSA งาน load chemical มีขนาดเล็ก,COLD,TK-509,MOC (OPE),Unsafe Action,PTW & JSA,jsa งาน load chemical มีขนาดเล็ก,jsa load chemical job is small
1466,ไม่มีถาดรองกระป๋องสี/ ผสมสี,ARU,E-877,WTM,Unsafe Condition,Paint/ Coat/ Blast,"ไม่มีถาดรองกระป๋องสี, ผสมสี","No paint can tray, mix color"
1467,จัดวางกล่อง speacial tool โดยไม่ได้ปิดล้อมพื้นที่,HOT,GTG,MOC (OPE),Unsafe Condition,Housekeeping,จัดวางกล่อง speacial tool โดยไม่ได้ปิดล้อมพื้นที่,Place the speacial tool box without enclosing the area.
1468,HOT-HH-008 ใช้ Lifting plan version เก่า,HOT,TK-259,MOC (OPE),Unsafe Action,PTW & JSA,hot-hh-008 ใช้ lifting plan version เก่า,hot-hh-008 use lifting plan old version
1469,"อุปกรณ์และเครื่อง water jet ไม่เป็นไปตามมาตรการ
- สายไฟเปลือกทองแดงไม่มีฉนวนหุ้ม
- ตู้ Panel ไม่มี Checklist ตรวจสอบ, ไม่มีกุญแจล็อค และไม่มีรายชื่อผู้รับผิดชอบ
- ไม่มี sticker ตรวจสอบประจำเดือน",ARU,Jet yard,REPCO (EE),Unsafe Condition,Electrical & Grounding,"อุปกรณ์, เครื่อง water jet ไม่เป็นไปตามมาตรการ, - สายไฟเปลือกทองแดงไม่มีฉนวนหุ้ม, - ตู้ panel ไม่มี checklist ตรวจสอบ , ไม่มีกุญแจล็อค , ไม่มีรายชื่อผู้รับผิดชอบ, - ไม่มี sticker ตรวจสอบประจำเดือน","Equipment, the water jet does not comply with the measures, - uninsulated copper sheathed wires, - no checklist panel cabinet , no key lock , no list of responsible persons, - no monthly check sticker"
1470,ผู้ปฏิบัติงานไม่สวมใส่กระบังหน้าป้องกันสะเก็ดงานเจียรขัดสี,TFU,NEGF,PROTECH,Unsafe Action,Hot Work,ผู้ปฏิบัติงานไม่สวมใส่กระบังหน้าป้องกันสะเก็ดงานเจียรขัดสี,The operator does not wear a visor to protect the abrasive flakes.
1471,ข้อมูลใน WAH Certificate ไม่ครบถ้วน,Olefins2,SDF-211,REPCO (MES),Unsafe Action,PTW & JSA,ข้อมูลใน wah certificate ไม่ครบถ้วน,The information in the wah certificate is incomplete.
1472,ตัวล็อคท้ายกระบะ lugger box ล็อคไม่ปลอดภัย,UT,PIT-3060,HDS,Unsafe Condition,Transportation,ตัวล็อคท้ายกระบะ lugger box ล็อคไม่ปลอดภัย,The rear lock of the lugger box is not secured.
1473,ตะแกรงครอบท่อ Generator อยู่ในสภาพไม่พร้อมใช้งาน,TFU,NEGF,PROTECH,Unsafe Condition,Tools & Equipment,ตะแกรงครอบท่อ generator อยู่ในสภาพไม่พร้อมใช้งาน,The generator pipe cover is in unusable condition.
1474,ไม่ได้ลงค่าวัดแก๊ส/ ตรวจสอบพื้นที่ก่อนเริ่มงาน,TFU,Pipe Reck (FV-2081),WTM,Unsafe Action,PTW & JSA,"ไม่ได้ลงค่าวัดแก๊ส, ตรวจสอบพื้นที่ก่อนเริ่มงาน","Did not enter the gas meter, check the area before starting work"
1475,งานขัดสนิมและทาสีไม่สวมใส่หน้ากาก R95,ARU,E-877,REPCO (MES),Unsafe Action,PPE,"งานขัดสนิม, ทาสีไม่สวมใส่หน้ากาก r95","Rust polishing work, paint without mask r95"
1476,งานหุ้ม Foam glass แนบ JSA ไม่ครบถ้วน,Olefins2,STR-S402,REPCO (MES),Unsafe Action,PTW & JSA,งานหุ้ม foam glass แนบ jsa ไม่ครบถ้วน,Foam glass cover work. Not complete jsa attachment.
1477,ผู้ปฏิบัติงานสวมใส่หน้ากากผ้าขณะปฏิบัติงาน clear waste ที่มีกลิ่นรุนแรงจากกระเช้า ใส่หลังกระบะ,UT,PIT-3060,HDS,Unsafe Action,PPE,ผู้ปฏิบัติงานสวมใส่หน้ากากผ้าขณะปฏิบัติงาน clear waste ที่มีกลิ่นรุนแรงจากกระเช้า ใส่หลังกระบะ,"Operators wear cloth masks while working, clear waste with strong smells from baskets, put them on the back of pickup trucks."
1478,ไม่ได้ลงค่า lifting plan จริงก่อนเริ่มงาน,UT,PIT-3060,HDS,Unsafe Action,PTW & JSA,ไม่ได้ลงค่า lifting plan จริงก่อนเริ่มงาน,The actual lifting plan was not written before the start of the work.
1479,ไม่ได้ลงค่า LEL ตรวจวัดแก๊สก่อนเริ่มงาน,ARU,AH-12,MOC (OPE),Unsafe Action,PTW & JSA,ไม่ได้ลงค่า lel ตรวจวัดแก๊สก่อนเริ่มงาน,"No lel value, check the gas before starting work."
1480,ลงชื่อตรวจวัดแก๊สแทน FO (FO ไม่ได้มาตรวจเอง),ARU,AH-12,REPCO (EE),Unsafe Action,PTW & JSA,ลงชื่อตรวจวัดแก๊สแทน fo (fo ไม่ได้มาตรวจเอง),Sign up to measure gas instead of fo (fo didn't come to check it myself)
1481,W/P เปิด เป็น Hot work class II แต่มีการล้อมผ้ากันไฟ เนื่องจากมีการใช้หัวขัดเป็นประเภทลวดที่ทำให้เกิดประกายไฟ,TFU,NEGF,REPCO (OPM),Unsafe Action,PTW & JSA,"w, p เปิด เป็น hot work class ii แต่มีการล้อมผ้ากันไฟ เนื่องจากมีการใช้หัวขัดเป็นประเภทลวดที่ทำให้เกิดประกายไฟ","w, p open is hot work class ii, but is surrounded by fireproof cloth. Because the polishing head is used as a type of sparking wire."
1482,ผู้ขออนุญาตตรวจสอบ WAH Cert. มาล่วงหน้า ไม่ได้ประเมินที่หน้างาน,TFU,NEGF,REPCO (OPM),Unsafe Action,PTW & JSA,ผู้ขออนุญาตตรวจสอบ wah cert. มาล่วงหน้า ไม่ได้ประเมินที่หน้างาน,"Applicants requesting permission to inspect wah cert. come in advance, not assessed on site"
1483,ลงชื่อตรวจวัดแก๊สแทน FO (FO ไม่ได้มาตรวจเอง),TFU,NEGF,REPCO (OPM),Unsafe Action,PTW & JSA,ลงชื่อตรวจวัดแก๊สแทน fo (fo ไม่ได้มาตรวจเอง),Sign up to measure gas instead of fo (fo didn't come to check it myself)
1484,ฝนตกแล้วโดนแท่งคอนกรีต ( วางรอกำจัด ) อาจทำให้ฝนที่ตกชะล้างสารปนเปื้อน(Waste)หรือคาบ Oil ที่อยู่กับแท่งคอนกรีตไหลลงรางระบายน้ำได้,UT,PIT-3060,HDS,Unsafe Condition,Chemical Work,"ฝนตกแล้วโดนแท่งคอนกรีต ( วางรอกำจัด ) อาจทำให้ฝนที่ตกชะล้างสารปนเปื้อน(waste)หรือคาบ oil ที่อยู่, แท่งคอนกรีตไหลลงรางระบายน้ำได้","Rain and hit the concrete rods (laying for disposal) may cause the rain to wash off contaminants (waste) or the oil in it, the concrete rods can flow into the drainage gutter."
1485,ใช้ขวดน้ำดื่มใส่น้ำหล่อเย็น,UT,PIT-3060,HDS,Unsafe Condition,Chemical Work,ใช้ขวดน้ำดื่มใส่น้ำหล่อเย็น,Use a water bottle to cool the water.
1486,ผู้ปฏิบัติงานนั่งบนคอนกรีตที่กำลังตัดเพื่อยกออก มีความเสี่ยงที่จะตกไปพร้อมกัน (คล้อง Safety Harness),UT,PIT-3060,HDS,Unsafe Condition,Work at height,"ผู้ปฏิบัติงานนั่งบนคอนกรีตที่กำลังตัด, ยกออก มีความเสี่ยงที่จะตกไปพร้อมกัน (คล้อง safety harness)","Operator sits on concrete being cut, lifted off. There is a risk of falling together (with safety harness)."
1487,Eye washer ไม่ได้ตรวจสภาพและไม่พร้อมใช้งาน,UT,RO,NALCO,Unsafe Condition,Chemical Work,"eye washer ไม่ได้ตรวจสภาพ, ไม่พร้อมใช้งาน","eye washer unchecked, not available"
1488,ทำงานสกัดคอนกรีตโดยไม่ได้สวมใส่ถุงมือ,UT,PIT-3060,HDS,Unsafe Action,PPE,ทำงานสกัดคอนกรีตโดยไม่ได้สวมใส่ถุงมือ,Work in concrete chiseling without gloves.
1489,Face shield มีลักษณะขุ่น/ ลาย ไม่พร้อมใช้งาน,UT,PIT-3060,HDS,Unsafe Condition,PPE,"face shield มีลักษณะขุ่น, ลาย ไม่พร้อมใช้งาน","The face shield looks cloudy, the pattern is not usable."
1490,ข้อต่อ Eye Shower ชำรุด,ARU,FV-629,MOC (Safety),Unsafe Condition,Others,ข้อต่อ eye shower ชำรุด,The eye shower connector is damaged.
1491,ไม่มี Toe board กันของตกและผู้ปฏิบัติงานคล้องเกี่ยว Harness กับ Handrail ที่ไม่แข็งแรง,UT,PIT-3060,HDS,Unsafe Condition,Work at height,"ไม่มี toe board กันของตก, ผู้ปฏิบัติงานคล้องเกี่ยว harness , h, rail ที่ไม่แข็งแรง","No toe board to prevent falling, operator attaches harness , h, unhealthy rail"
1492,งานยกถังน้ำมันด้วยรถเฮี้ยบ สวมเสื้อสะท้อนแสงสีน้ำเงิน,TFU,Oiler House,REPCO (ME),Unsafe Action,Lifting,งานยกถังน้ำมันด้วยรถเฮี้ยบ สวมเสื้อสะท้อนแสงสีน้ำเงิน,Lifting the oil tank with a hip truck wearing a blue reflective shirt
1493,แผ่นกันตกบนนั่งร้านมีช่องโหว่,TFU,NEGF,PROTECH,Unsafe Condition,Scaffolding,แผ่นกันตกบนนั่งร้านมีช่องโหว่,The fall protection plates on the scaffolding have holes.
1494,ผู้ปฏิบัติงานไม่คล้องเกี่ยว Safety Harness,TFU,FV-2081,WTM,Unsafe Action,Work at height,ผู้ปฏิบัติงานไม่คล้องเกี่ยว safety harness,Operators are not involved in safety harness
1495,แผ่นนั่งร้านเป็นสนิม,Olefins2,E-S256,WTM,Unsafe Condition,Scaffolding,แผ่นนั่งร้านเป็นสนิม,The scaffolding is rusted.
1496,ไม่สวมใส่ Goggle ขณะปฏิบัติงาน,HOT,P-206A,WTM,Unsafe Action,Insulation,ไม่สวมใส่ goggle ขณะปฏิบัติงาน,Do not wear goggles while working.
1497,ใช้ lifting plan ฉบับเก่า,HOT,TK-259,MOC (OPE),Unsafe Action,PTW & JSA,ใช้ lifting plan ฉบับเก่า,Use the old lifting plan.
1498,ผู้ปฏิบัติงานไม่คล้องเกี่ยว Safety Harness งานขัดสี Pipe บนนั่งร้าน ,TFU,NEGF,PROTECH,Unsafe Action,Work at height,ผู้ปฏิบัติงานไม่คล้องเกี่ยว safety harness งานขัดสี pipe บนนั่งร้าน,"Workers are not involved in safety harness, pipe polishing work on scaffolding."
1499,งานเชื่อม ถังดับเพลิง stand by ไม่เพียงพอ,TFU,NEGF,PROTECH,Unsafe Condition,Hot Work,"งานเชื่อม ถังดับเพลิง st, by ไม่เพียงพอ","Welding fire extinguishers st, by not enough"
1500,"ใช้ SL คนเดียวกัน 2 Area (ARU-LH-004, OCU-LH-001)",ARU,-,REPCO (INDT),Unsafe Action,PTW & JSA,"ใช้ sl คนเดียวกัน 2 area (aru-lh-004 , ocu-lh-001)","Use the same sl in 2 areas (aru-lh-004 , ocu-lh-001)"
1501,ผู้ปฏิบัติงานยกขนย้ายนั่งร้านโดยไม่สวมใส่ถุงมือ,UT,T-2400D,WTM,Unsafe Action,PPE,ผู้ปฏิบัติงานยกขนย้ายนั่งร้านโดยไม่สวมใส่ถุงมือ,The operator lifts the scaffolding without wearing gloves.
1502,"หินเจียรไม่มี Handle
",TFU,NEGF,PROTECH,Unsafe Condition,Hot Work,"หินเจียรไม่มี h, le,","Grinding stone no h, le,"
1503,มีถุงกระสอบและเศษวัสดุติดไฟบริเวณที่มีการทำงาน HW I,TFU,NEGF,PROTECH,Unsafe Condition,Hot Work,"มีถุงกระสอบ, เศษวัสดุติดไฟบริเวณที่มีการทำงาน hw i","with sacks, flammable debris in the working area hw i"
1504,งาน change carrier gas ปิดล้อมพื้นที่ไม่ครอบคลุม,Olefins2,"AH-01, 02",REPCO (IE),Unsafe Condition,Installation/ Alignment,งาน change carrier gas ปิดล้อมพื้นที่ไม่ครอบคลุม,Change carrier gas work to enclose the area that is not covered
1505,ผู้ปฏิบัติงานไม่มีหน้ากาก R95 งานขนย้าย sludge,TFU,TK-1010B,NCN,Unsafe Action,Chemical Work,ผู้ปฏิบัติงานไม่มีหน้ากาก r95 งานขนย้าย sludge,worker without mask r95 sludge transport work
1506,ไม่ได้ตรวจสอบ daily checklist air compressor,TFU,TK-1010B,NCN,Unsafe Action,Tools & Equipment,ไม่ได้ตรวจสอบ daily checklist air compressor,Did not check the daily checklist air compressor
1507,ตะแกรงครอบท่อ Generator อยู่ในสภาพไม่พร้อมใช้งาน,TFU,TK-1010B,NCN,Unsafe Condition,Tools & Equipment,ตะแกรงครอบท่อ generator อยู่ในสภาพไม่พร้อมใช้งาน,The generator pipe cover is in unusable condition.
1508,ขนย้ายวาง support ซ้อนกัน 2 ชั้นบนหลังรถกระบะ มีโอกาสหล่นได้,TFU,TK-1010B,NCN,Unsafe Condition,Transportation,ขนย้ายวาง support ซ้อนกัน 2 ชั้นบนหลังรถกระบะ มีโอกาสหล่นได้,Transport and place support stacked on 2 floors behind the pickup truck. have a chance to play
1509,สายไฟพาดปาก manhole โดยไม่ได้รองผ้ากันบาด,TFU,TK-1010B,NCN,Unsafe Condition,CSE,สายไฟพาดปาก manhole โดยไม่ได้รองผ้ากันบาด,Wires across the manhole mouth without cut protection.
1510,ปิดล้อมพื้นที่ (ธงขาว-แดง) ไม่ครอบคลุม,HOT,D-940,PROTECH,Unsafe Condition,Scaffolding,ปิดล้อมพื้นที่ (ธงขาว-แดง) ไม่ครอบคลุม,The area enclosed (white-red flags) is not covered.
1511,พบลูกโป่งจากงานวันลอยกระทง,TFU,TK-1010B,-,Unsafe Condition,Housekeeping,พบลูกโป่งจากงานวันลอยกระทง,Found balloons from Loy Krathong festival
1512,ไม่มีป้ายเตือนอันตราย งานรื้อนั่งร้าน,HOT,D-940,PROTECH,Unsafe Condition,Scaffolding,ไม่มีป้ายเตือนอันตราย งานรื้อนั่งร้าน,no danger sign scaffolding work
1513,ชื่อผู้ให้สัญญาณใน WP ไม่ใช่คนเดียวกับที่ปฏิบัติงาน,HOT,D-203,PROTECH,Unsafe Action,Lifting,"ชื่อผู้ให้สัญญาณใน wp ไม่ใช่คนเดียว, ที่ปฏิบัติงาน","The signal provider name in wp is not the only one, operating."
1514,เอกสาร Lifting plan version เก่า,HOT,TK-259,MOC (OPE),Unsafe Action,PTW & JSA,เอกสาร lifting plan version เก่า,Document lifting plan old version
1515,ใช้หินเจียรไม่มี Handle,TFU,NEGF,PROTECH,Unsafe Action,Hot Work,"ใช้หินเจียรไม่มี h, le","use grinding stone, no h, le"
1516,มีวัสดุติดไฟ เช่น ถุงกระสอบ บริเวณ Hot box,TFU,NEGF,PROTECH,Unsafe Condition,Hot Work,มีวัสดุติดไฟ เช่น ถุงกระสอบ บริเวณ hot box,There are flammable materials such as sacks in the hot box area.
1517,งาน Remove compact จอดรถขวางถนนโดยไม่ได้ปิดล้อมพื้นที่และเหยียบรางระบายน้ำ,TFU,FT-6424,Flow Lab,Unsafe Condition,Lifting,"งาน remove compact จอดรถขวางถนนโดยไม่ได้ปิดล้อมพื้นที่, เหยียบรางระบายน้ำ","Remove compact work, park the car blocking the road without enclosing the area, step on the drain"
1518,SL ไม่ได้ลงชื่อตรวจสอบหน้างานตามมาตรการทุก 2 ชั่วโมง,UT,PIT-3060,WTM,Unsafe Action,PTW & JSA,sl ไม่ได้ลงชื่อตรวจสอบหน้างานตามมาตรการทุก 2 ชั่วโมง,sl does not sign the job site check every 2 hours
1519,ไม่มีเชือกคล้องเกี่ยวอุปกรณ์เครื่องมือ,Olefins2,R-520,HDS,Unsafe Condition,Work at height,ไม่มีเชือกคล้องเกี่ยวอุปกรณ์เครื่องมือ,No lanyard to attach tools
1520,ไฟ LED 24 volt (ค้างประเด็นการนำเข้า CSE ต้องเป็น Explosion prrof),TFU,TK-1010B,NCN,Unsafe Condition,CSE,ไฟ led 24 volt (ค้างประเด็นการนำเข้า cse ต้องเป็น explosion prrof),"24 volt leds (frozen cse import issue, must be explosion prof)"
1521,ฉนวนหุ้มสายไฟหลุดจาก Cable,TFU,TK-1010B,NCN,Unsafe Condition,Electrical & Grounding,ฉนวนหุ้มสายไฟหลุดจาก cable,Insulating wires come off the cable.
1522,วางลังเครื่องมือพิงกับ Air compressor,UT,PIT-3060,ตะวัน,Unsafe Condition,Housekeeping,"วางลังเครื่องมือพิง, air compressor",Place the tool crate against the air compressor.
1523,อุปกรณ์นั่งร้านกีดขวางทางเดินขึ้น Furnace,HOT,Furnace,-,Unsafe Condition,Housekeeping,อุปกรณ์นั่งร้านกีดขวางทางเดินขึ้น furnace,Scaffolding devices block the path up the furnace.
1524,นั่งร้านไม่ได้ update Tag,HOT,D-203,WTM,Unsafe Condition,Scaffolding,นั่งร้านไม่ได้ update tag,Scaffolding can't update tag
1525,งานยก Burner ใช้อุปกรณ์ทุ่นแรงไม่เหมาะสม ไม่มีรอกประคองขณะยก,TFU,NEGF,PROTECH,Unsafe Condition,Lifting,งานยก burner ใช้อุปกรณ์ทุ่นแรงไม่เหมาะสม ไม่มีรอกประคองขณะยก,Lifting the burner uses improper energy-saving equipment. No hoist to support while lifting
1526,ใช้ถังดับเพลิง plant stand by งานขัดสนิมทาสี,ARU,-,REPCO (MES),Unsafe Action,Paint/ Coat/ Blast,"ใช้ถังดับเพลิง plant st, by งานขัดสนิมทาสี","Using fire extinguishers plant st, by polishing, rusting, painting"
1527,ถังรับน้ำหนักงาน load chemical แตกชำรุด,ARU,-,SUEZ,Unsafe Condition,Chemical Work,ถังรับน้ำหนักงาน load chemical แตกชำรุด,The load chemical tank is broken and damaged.
1528,เอกสาร Lifting plan version เก่า,Olefins2,TK-2426,NALCO,Unsafe Action,PTW & JSA,เอกสาร lifting plan version เก่า,Document lifting plan old version
1529,ผู้ให้สัญญาณสวมเสื้อสะท้อนแสงสีเขียว,UT,CCB,MOC (OPE),Unsafe Action,Lifting,ผู้ให้สัญญาณสวมเสื้อสะท้อนแสงสีเขียว,The signal provider wears a green reflective vest.
1530,SL ไม่ขึ้นไปควบคุมงานติดตั้งนั่งร้านด้านบน,HOT,D-203,WTM,Unsafe Action,SL Performance,sl ไม่ขึ้นไปควบคุมงานติดตั้งนั่งร้านด้านบน,sl does not go up to control the installation of the upper scaffolding
1531,งานขัดสนิมทาสีไม่มีถุงมือยางและไม่มีหน้ากาก R95,HOT,D-387,PROTECH,Unsafe Action,PPE,"งานขัดสนิมทาสีไม่มีถุงมือยาง, ไม่มีหน้ากาก r95","Rust polishing, paint work, no rubber gloves, no r95 mask"
